idx,matchtype,partid,ppartid
0,0,n159-1,n230
1,0,n397-1,n532
2,0,n397-2,n635
3,0,n483-1,n712
4,0,n588-1,n814
5,0,n483-2,n893
6,0,n588-2,n993
7,0,n753-1,n1110
8,0,n389-1,n526
9,0,n389-2,n628
10,0,n374-1,n513
11,0,n387-1,n521
12,0,n374-2,n616
13,0,n387-2,n623
14,0,n64-1,n49
15,0,n140-1,n117
16,0,n64-2,n168
17,0,n285-1,n431
18,0,n291-1,n435
19,0,n354-1,n492
20,0,n385-1,n518
21,0,n291-2,n539
22,0,n354-2,n595
23,0,n385-2,n618
24,0,n484-1,n715
25,0,n547-1,n773
26,0,n594-1,n818
27,0,n484-2,n895
28,0,n547-2,n954
29,0,n594-2,n997
30,0,n660-1,n1049
31,0,n876-1,n1209
32,0,n886-1,n1215
33,0,n897-1,n1222
34,0,n907-1,n1228
35,0,n919-1,n1235
36,0,n920-1,n1239
37,0,n931-1,n1242
38,0,n932-1,n1247
39,0,n943-1,n1253
40,0,n957-1,n1260
41,0,n958-1,n1265
42,0,n964-1,n1272
43,0,n130-1,n113
44,0,n304-1,n449
45,0,n391-1,n530
46,0,n304-2,n552
47,0,n391-2,n632
48,0,n497-1,n727
49,0,n497-2,n907
50,0,n129-1,n112
51,0,n364-1,n502
52,0,n364-2,n606
53,0,n557-1,n783
54,0,n557-2,n966
55,0,n115-1,n102
56,0,n128-1,n110
57,0,n115-2,n220
58,0,n711-1,n1101
59,0,n46-1,n36
60,0,n113-1,n93
61,0,n127-1,n105
62,0,n46-2,n154
63,0,n113-2,n212
64,0,n158-1,n225
65,0,n169-1,n235
66,0,n198-1,n262
67,0,n260-1,n323
68,0,n169-2,n336
69,0,n198-2,n364
70,0,n260-2,n426
71,0,n292-1,n438
72,0,n305-1,n450
73,0,n347-1,n479
74,0,n351-1,n489
75,0,n398-1,n531
76,0,n292-2,n540
77,0,n305-2,n551
78,0,n347-2,n581
79,0,n351-2,n588
80,0,n398-2,n633
81,0,n402-1,n638
82,0,n413-1,n648
83,0,n424-1,n657
84,0,n439-1,n668
85,0,n451-1,n677
86,0,n456-1,n687
87,0,n471-1,n697
88,0,n482-1,n708
89,0,n477-1,n711
90,0,n485-1,n717
91,0,n498-1,n730
92,0,n540-1,n759
93,0,n544-1,n769
94,0,n589-1,n812
95,0,n402-2,n820
96,0,n413-2,n830
97,0,n424-2,n840
98,0,n439-2,n850
99,0,n451-2,n860
100,0,n456-2,n869
101,0,n471-2,n879
102,0,n482-2,n889
103,0,n477-2,n892
104,0,n485-2,n897
105,0,n498-2,n908
106,0,n540-2,n939
107,0,n544-2,n948
108,0,n589-2,n994
109,0,n642-1,n1034
110,0,n709-1,n1093
111,0,n752-1,n1106
112,0,n767-1,n1116
113,0,n797-1,n1143
114,0,n859-1,n1205
115,0,n44-1,n31
116,0,n44-2,n150
117,0,n390-1,n524
118,0,n390-2,n626
119,0,n640-1,n1032
120,0,n42-1,n26
121,0,n47-1,n34
122,0,n48-1,n42
123,0,n42-2,n144
124,0,n47-2,n153
125,0,n48-2,n160
126,0,n375-1,n511
127,0,n388-1,n519
128,0,n375-2,n613
129,0,n388-2,n621
130,0,n638-1,n1026
131,0,n643-1,n1037
132,0,n644-1,n1042
133,0,n15-1,n4
134,0,n28-1,n22
135,0,n45-1,n32
136,0,n63-1,n44
137,0,n65-1,n54
138,0,n79-1,n65
139,0,n114-1,n97
140,0,n147-1,n120
141,0,n28-2,n140
142,0,n45-2,n149
143,0,n63-2,n164
144,0,n65-2,n173
145,0,n79-2,n184
146,0,n114-2,n217
147,0,n226-1,n289
148,0,n270-1,n326
149,0,n273-1,n334
150,0,n226-2,n391
151,0,n284-1,n429
152,0,n293-1,n436
153,0,n333-1,n475
154,0,n349-1,n481
155,0,n355-1,n494
156,0,n386-1,n515
157,0,n293-2,n538
158,0,n333-2,n578
159,0,n349-2,n583
160,0,n355-2,n592
161,0,n386-2,n617
162,0,n486-1,n716
163,0,n526-1,n754
164,0,n542-1,n762
165,0,n548-1,n774
166,0,n595-1,n817
167,0,n486-2,n898
168,0,n526-2,n937
169,0,n542-2,n943
170,0,n548-2,n955
171,0,n595-2,n998
172,0,n611-1,n1003
173,0,n624-1,n1022
174,0,n641-1,n1031
175,0,n659-1,n1044
176,0,n661-1,n1054
177,0,n675-1,n1065
178,0,n710-1,n1098
179,0,n825-1,n1170
180,0,n875-1,n1207
181,0,n26-1,n13
182,0,n43-1,n24
183,0,n49-1,n40
184,0,n66-1,n58
185,0,n81-1,n71
186,0,n112-1,n87
187,0,n26-2,n132
188,0,n43-2,n143
189,0,n49-2,n161
190,0,n66-2,n176
191,0,n81-2,n190
192,0,n112-2,n206
193,0,n258-1,n320
194,0,n258-2,n422
195,0,n301-1,n443
196,0,n306-1,n448
197,0,n331-1,n472
198,0,n392-1,n529
199,0,n301-2,n545
200,0,n306-2,n548
201,0,n331-2,n573
202,0,n392-2,n630
203,0,n420-1,n656
204,0,n440-1,n672
205,0,n452-1,n681
206,0,n467-1,n691
207,0,n472-1,n701
208,0,n494-1,n724
209,0,n499-1,n729
210,0,n524-1,n750
211,0,n420-2,n834
212,0,n440-2,n853
213,0,n452-2,n862
214,0,n467-2,n872
215,0,n472-2,n882
216,0,n494-2,n901
217,0,n499-2,n911
218,0,n524-2,n932
219,0,n622-1,n1014
220,0,n639-1,n1024
221,0,n645-1,n1040
222,0,n662-1,n1057
223,0,n677-1,n1071
224,0,n708-1,n1087
225,0,n857-1,n1201
226,0,n9-1,n3
227,0,n11-1,n6
228,0,n13-1,n9
229,0,n78-1,n60
230,0,n93-1,n74
231,0,n95-1,n85
232,0,n138-1,n118
233,0,n142-1,n121
234,0,n144-1,n128
235,0,n78-2,n179
236,0,n93-2,n193
237,0,n95-2,n204
238,0,n272-1,n333
239,0,n287-1,n434
