onset_sec,duration_sec,pitch,velocity,track,channel,id
0.42735082,1.2190182,58,51,0,0,n0
1.2115396,0.17948735,63,62,0,0,n1
1.391027,2.1068397,63,54,0,0,n2
1.4337621,0.80769306,55,35,0,0,n3
1.442309,2.4444468,51,33,0,0,n4
1.864318,0.74893236,58,37,0,0,n5
2.241455,0.7403853,55,37,0,0,n6
2.6132503,0.7692315,58,35,0,0,n7
2.9423106,0.9871804,67,67,0,0,n8
2.9818404,0.9049154,55,36,0,0,n9
3.3824818,0.504274,58,39,0,0,n10
3.4978666,0.19978651,63,67,0,0,n11
3.697653,1.0491463,63,68,0,0,n12
3.7339778,2.4209425,53,38,0,0,n13
3.7393198,0.85042816,56,34,0,0,n14
4.1826963,0.5641031,58,34,0,0,n15
4.5320554,1.702993,62,61,0,0,n16
4.589748,0.71688104,56,33,0,0,n17
4.932697,1.2243601,58,36,0,0,n18
5.306629,0.9284197,56,43,0,0,n19
5.6292787,0.6057698,63,67,0,0,n20
5.66133,0.5737185,55,40,0,0,n21
5.6848345,0.5502142,51,39,0,0,n22
6.097228,1.5512835,65,64,0,0,n23
6.1549206,1.5320528,53,41,0,0,n24
6.1570573,0.14850442,58,42,0,0,n25
6.164536,1.4743603,50,42,0,0,n26
6.495733,0.36645335,58,47,0,0,n27
6.862186,0.38247898,58,54,0,0,n28
7.2147503,0.47222266,67,65,0,0,n29
7.244665,0.39423114,58,48,0,0,n30
7.277785,0.40918842,48,31,0,0,n31
7.2863317,0.4006414,51,37,0,0,n32
7.601503,0.5373937,68,71,0,0,n33
7.638896,0.4284192,50,47,0,0,n34
7.638896,0.39743626,58,42,0,0,n35
7.6421013,0.4946586,46,41,0,0,n36
7.6485114,0.4006414,65,41,0,0,n37
7.98505,0.5651715,70,68,0,0,n38
8.036332,0.46474403,58,46,0,0,n39
8.04488,0.50534236,53,42,0,0,n40
8.049153,0.11965823,65,47,0,0,n41
8.067315,0.48290643,50,44,0,0,n42
8.446589,0.9444453,68,64,0,0,n43
8.4882555,0.9027786,51,42,0,0,n44
8.501077,0.4059833,58,31,0,0,n45
8.504282,0.88675296,65,35,0,0,n46
8.90706,0.40918842,58,38,0,0,n47
9.287402,0.85256493,67,44,0,0,n48
9.314112,0.97970176,39,37,0,0,n49
9.316248,0.18482924,58,22,0,0,n50
9.335479,0.83867604,63,37,0,0,n51
9.741463,0.55235094,58,33,0,0,n52
10.139967,0.84081274,67,70,0,0,n53
10.160266,0.8205136,51,53,0,0,n54
10.174155,0.38461575,63,54,0,0,n55
10.558771,0.37500036,63,61,0,0,n56
10.681634,0.29914558,68,72,0,0,n57
10.696591,0.2841883,53,55,0,0,n58
10.903856,1.5876083,70,73,0,0,n59
10.919882,1.5715827,55,58,0,0,n60
10.933771,0.23183782,63,48,0,0,n61
11.330139,0.3547012,63,44,0,0,n62
11.68484,0.38247898,63,45,0,0,n63
12.004285,0.4903851,67,71,0,0,n64
12.053431,0.4380346,51,52,0,0,n65
12.067319,0.40705168,63,48,0,0,n66
12.408132,0.45512864,72,74,0,0,n67
12.456208,0.40705168,56,56,0,0,n68
12.474371,0.34829092,63,39,0,0,n69
12.760695,0.5352569,68,76,0,0,n70
12.769243,0.5267099,53,59,0,0,n71
12.822661,0.4059833,63,43,0,0,n72
13.186978,1.5630357,70,71,0,0,n73
13.214756,1.5438049,55,49,0,0,n74
13.228645,0.18055573,63,43,0,0,n75
13.603645,0.3322653,63,33,0,0,n76
13.93591,0.37713712,63,51,0,0,n77
14.277791,0.5170945,71,73,0,0,n78
14.313047,0.39743626,63,50,0,0,n79
14.69339,0.52457315,72,67,0,0,n80
14.7104845,0.39423114,63,46,0,0,n81
14.713689,0.504274,56,43,0,0,n82
15.081211,0.4807697,70,68,0,0,n83
15.104715,0.5683766,63,47,0,0,n84
15.112194,0.56089795,55,43,0,0,n85
15.56198,0.59508604,70,54,0,0,n86
15.599374,1.3076936,53,41,0,0,n87
15.613263,0.44444486,60,41,0,0,n88
16.056639,0.8953,68,57,0,0,n89
16.057707,0.49252182,60,41,0,0,n90
16.443392,0.46367565,61,51,0,0,n91
16.816256,0.50106883,65,54,0,0,n92
16.842964,0.47435942,46,44,0,0,n93
16.850443,0.12713687,62,43,0,0,n94
16.85899,0.4294876,58,40,0,0,n95
17.259632,0.44765,67,54,0,0,n96
17.287409,0.42628247,51,40,0,0,n97
17.288479,0.4188038,58,38,0,0,n98
17.319462,0.40918842,63,27,0,0,n99
17.663479,0.5737185,70,52,0,0,n100
17.688051,0.5491458,60,41,0,0,n101
17.690187,0.54700905,44,34,0,0,n102
17.842966,0.39423114,68,51,0,0,n103
18.146385,1.0309839,67,50,0,0,n104
18.180573,1.9220104,46,38,0,0,n105
18.211555,0.96581286,63,34,0,0,n106
18.635702,1.2745738,58,31,0,0,n107
19.05771,1.0448728,65,37,0,0,n108
19.081215,1.0213685,62,38,0,0,n109
19.470104,0.63247925,44,43,0,0,n110
19.910275,1.0224369,58,64,0,0,n111
19.95301,0.91453075,43,45,0,0,n112
20.41348,0.45406026,41,42,0,0,n113
20.424164,0.44337648,56,51,0,0,n114
20.568396,0.29914558,63,70,0,0,n115
20.870747,1.3643175,63,68,0,0,n116
20.889977,1.7425231,39,45,0,0,n117
20.903866,0.8589752,55,41,0,0,n118
21.37609,0.7863255,58,43,0,0,n119
21.701944,1.6987196,51,56,0,0,n120
21.76284,0.7382486,55,32,0,0,n121
22.148525,0.4839748,65,51,0,0,n122
22.162415,0.47008592,58,39,0,0,n123
22.235064,0.1538463,63,55,0,0,n124
22.304508,0.32799175,62,59,0,0,n125
22.38891,0.24358998,63,65,0,0,n126
22.45408,0.9465821,67,74,0,0,n127
22.50109,0.8995735,55,44,0,0,n128
22.885706,0.5149577,58,49,0,0,n129
22.991474,0.2425216,63,69,0,0,n130
23.233997,1.025642,63,61,0,0,n131
23.257502,2.3824809,53,47,0,0,n132
23.287415,0.7841888,56,42,0,0,n133
23.683783,0.57585526,58,41,0,0,n134
24.01498,1.6794888,62,65,0,0,n135
24.071604,0.75106907,56,42,0,0,n136
24.44981,1.2072661,58,41,0,0,n137
24.822674,0.8717957,56,46,0,0,n138
25.16669,0.5405988,63,66,0,0,n139
25.194468,0.5000005,51,46,0,0,n140
25.194468,0.5000005,55,42,0,0,n141
25.596178,1.5982921,65,65,0,0,n142
25.639982,1.6185913,53,46,0,0,n143
25.64105,1.5309844,50,44,0,0,n144
25.657076,0.2190173,58,40,0,0,n145
26.00964,0.37713712,58,50,0,0,n146
26.386778,0.38675252,58,53,0,0,n147
26.72118,0.5373937,67,66,0,0,n148
26.745752,0.512821,51,41,0,0,n149
26.74682,0.5117526,48,43,0,0,n150
26.77353,0.40918842,58,43,0,0,n151
27.143188,0.4935902,68,70,0,0,n152
27.172035,0.38568413,50,50,0,0,n153
27.174171,0.45833376,46,45,0,0,n154
27.182718,0.35149607,58,42,0,0,n155
