xml_id	midi_id	track	channel	pitch	onset
n2070-1	n1983	0	0	29	148.66796875000054
n2072-1	n1988	0	0	29	148.95572916666728
n2074-1	n1993	0	0	29	149.13020833333397
n2076-1	n1996	0	0	29	149.31770833333397
n2078-1	n1998	0	0	29	149.489583333334
n2080-1	n2002	0	0	29	149.67447916666737
n2082-1	n2007	0	0	29	149.8815104166674
n2084-1	n2011	0	0	29	150.06250000000074
n2102-1	n2015	0	0	29	150.2434895833341
n2104-1	n2017	0	0	29	150.42578125000077
n2106-1	n2022	0	0	29	150.6067708333341
n2108-1	n2026	0	0	29	150.79036458333414
n2110-1	n2030	0	0	29	150.99479166666745
n2112-1	n2034	0	0	29	151.16536458333414
n2114-1	n2037	0	0	29	151.34114583333417
n2116-1	n2041	0	0	29	151.50781250000082
n6600-1	n6133	0	0	29	450.5651041666576
n222-1	n213	0	0	31	12.618489583333343
n224-1	n215	0	0	31	12.792968750000009
n226-1	n217	0	0	31	12.983072916666675
n228-1	n220	0	0	31	13.179687500000009
n230-1	n221	0	0	31	13.346354166666677
n232-1	n223	0	0	31	13.532552083333345
n254-1	n234	0	0	31	14.070312500000014
n256-1	n239	0	0	31	14.247395833333346
n262-1	n249	0	0	31	14.755208333333346
n264-1	n254	0	0	31	14.945312500000012
n286-1	n265	0	0	31	15.476562500000018
n314-1	n299	0	0	31	18.846354166666693
n3261-1	n2995	0	0	31	227.05208333333593
n3263-1	n3003	0	0	31	227.89973958333596
n3268-1	n3011	0	0	31	228.88411458333596
n3272-1	n3018	0	0	31	229.29296875000267
n3276-1	n3022	0	0	31	229.66406250000267
n3280-1	n3026	0	0	31	230.07552083333601
n3302-1	n3030	0	0	31	230.4492187500027
n3308-1	n3050	0	0	31	232.4023437500027
n3312-1	n3054	0	0	31	232.77604166666939
n3316-1	n3058	0	0	31	233.15625000000273
n3336-1	n3062	0	0	31	233.54166666666939
n3350-1	n3083	0	0	31	235.47526041666944
n3354-1	n3089	0	0	31	235.88020833333613
n3358-1	n3094	0	0	31	236.29557291666947
n3374-1	n3102	0	0	31	236.68489583333616
n3378-1	n3106	0	0	31	237.08463541666947
n3382-1	n3113	0	0	31	237.45833333333616
n3386-1	n3120	0	0	31	237.82682291666953
n3401-1	n3128	0	0	31	238.20182291666953
n3405-1	n3132	0	0	31	238.58463541666953
n3409-1	n3139	0	0	31	238.9986979166695
n3413-1	n3143	0	0	31	239.3958333333362
n3429-1	n3150	0	0	31	239.7708333333362
n3433-1	n3154	0	0	31	240.15885416666956
n3437-1	n3161	0	0	31	240.51822916666964
n3441-1	n3169	0	0	31	240.89062500000304
n3455-1	n3176	0	0	31	241.26953125000307
n3459-1	n3180	0	0	31	241.6744791666698
n3463-1	n3188	0	0	31	242.08072916666978
n3467-1	n3192	0	0	31	242.49088541666976
n3481-1	n3198	0	0	31	242.9075520833364
n3485-1	n3203	0	0	31	243.30468750000304
n3489-1	n3210	0	0	31	243.70312500000304
n3493-1	n3217	0	0	31	244.109375000003
n3505-1	n3224	0	0	31	244.49348958333633
n3509-1	n3228	0	0	31	244.91145833333638
n3513-1	n3234	0	0	31	245.29166666666976
n3517-1	n3240	0	0	31	245.6848958333365
n3533-1	n3247	0	0	31	246.0963541666699
n3537-1	n3254	0	0	31	246.5026041666699
n3541-1	n3261	0	0	31	246.89192708333658
n3545-1	n3268	0	0	31	247.28515625000324
n3565-1	n3274	0	0	31	247.67968750000327
n3573-1	n3292	0	0	31	248.46875000000327
n3596-1	n3308	0	0	31	249.24479166666984
n3833-1	n3542	0	0	31	262.53255208333644
n3835-1	n3544	0	0	31	262.70963541666987
n3837-1	n3546	0	0	31	262.9049479166698
n3839-1	n3548	0	0	31	263.08854166666987
n3841-1	n3550	0	0	31	263.27734375000324
n3843-1	n3552	0	0	31	263.45442708333655
n3865-1	n3563	0	0	31	264.0091145833366
n3867-1	n3567	0	0	31	264.1888020833366
n3873-1	n3578	0	0	31	264.7187500000032
n3875-1	n3582	0	0	31	264.9036458333365
n3897-1	n3595	0	0	31	265.4231770833364
n6602-1	n6138	0	0	31	451.0338541666575
n6625-1	n6154	0	0	31	451.7460937499908
n6858-1	n6382	0	0	31	489.8945312499886
n7016-1	n6519	0	0	31	505.6158854166549
n200-1	n191	0	0	32	11.182291666666671
n202-1	n193	0	0	32	11.359375000000005
n204-1	n196	0	0	32	11.542968750000007
n206-1	n199	0	0	32	11.723958333333341
n208-1	n203	0	0	32	11.901041666666677
n210-1	n206	0	0	32	12.102864583333341
n212-1	n207	0	0	32	12.257812500000007
n214-1	n210	0	0	32	12.436197916666675
n234-1	n227	0	0	32	13.704427083333346
n236-1	n229	0	0	32	13.88932291666668
n258-1	n241	0	0	32	14.417968750000014
n260-1	n245	0	0	32	14.582031250000014
n266-1	n257	0	0	32	15.12369791666668
n268-1	n261	0	0	32	15.298177083333348
n3811-1	n3521	0	0	32	261.0494791666697
n3813-1	n3523	0	0	32	261.2278645833364
n3815-1	n3525	0	0	32	261.41666666666976
n3817-1	n3529	0	0	32	261.60286458333644
n3819-1	n3533	0	0	32	261.78385416666976
n3821-1	n3535	0	0	32	261.97916666666976
n3823-1	n3537	0	0	32	262.15755208333644
n3825-1	n3539	0	0	32	262.36588541666976
n3845-1	n3555	0	0	32	263.6315104166698
n3847-1	n3559	0	0	32	263.8138020833365
n3869-1	n3572	0	0	32	264.3658854166699
n3871-1	n3575	0	0	32	264.5429687500032
n3877-1	n3587	0	0	32	265.08463541666976
n3879-1	n3591	0	0	32	265.26171875000307
n3925-1	n3629	0	0	32	268.96354166666964
n6747-1	n6284	0	0	32	467.49869791665674
n6994-1	n6507	0	0	32	505.10677083332155
n6996-1	n6510	0	0	32	505.26562499998823
n6998-1	n6514	0	0	32	505.43749999998823
n176-1	n169	0	0	33	9.750000000000007
n178-1	n173	0	0	33	9.940104166666673
n180-1	n174	0	0	33	10.117187500000005
n182-1	n176	0	0	33	10.287760416666671
n184-1	n182	0	0	33	10.462239583333336
n186-1	n184	0	0	33	10.649739583333336
n188-1	n185	0	0	33	10.824218750000004
n190-1	n188	0	0	33	11.01692708333334
n2041-1	n1961	0	0	33	145.22786458333363
n3271-1	n3017	0	0	33	229.19531250000264
n3275-1	n3021	0	0	33	229.57421875000264
n3279-1	n3025	0	0	33	229.94661458333601
n3283-1	n3029	0	0	33	230.31901041666936
n3307-1	n3049	0	0	33	232.25520833333601
n3311-1	n3053	0	0	33	232.64583333333604
n3315-1	n3057	0	0	33	233.05729166666939
n3319-1	n3061	0	0	33	233.42317708333604
n3349-1	n3082	0	0	33	235.33593750000279
n3353-1	n3087	0	0	33	235.75130208333613
n3357-1	n3093	0	0	33	236.17578125000279
n3361-1	n3099	0	0	33	236.57291666666947
n3377-1	n3105	0	0	33	236.98567708333616
n3381-1	n3111	0	0	33	237.36848958333616
n3385-1	n3118	0	0	33	237.73958333333618
n3389-1	n3125	0	0	33	238.10156250000284
n3404-1	n3131	0	0	33	238.48307291666953
n3408-1	n3137	0	0	33	238.9101562500028
n3412-1	n3142	0	0	33	239.29687500000287
n3416-1	n3148	0	0	33	239.6809895833362
n3432-1	n3153	0	0	33	240.0638020833362
n3436-1	n3159	0	0	33	240.4401041666696
n3440-1	n3166	0	0	33	240.7994791666697
n3444-1	n3174	0	0	33	241.17838541666973
n3458-1	n3179	0	0	33	241.58723958333647
n3462-1	n3185	0	0	33	241.98828125000313
n3466-1	n3191	0	0	33	242.3945312500031
n3470-1	n3196	0	0	33	242.8007812500031
n3484-1	n3202	0	0	33	243.22265625000304
n3488-1	n3208	0	0	33	243.6197916666697
n3492-1	n3215	0	0	33	244.03385416666967
n3496-1	n3222	0	0	33	244.42317708333633
n3508-1	n3227	0	0	33	244.83854166666973
n3512-1	n3232	0	0	33	245.16796875000307
n3516-1	n3239	0	0	33	245.60546875000315
n3520-1	n3244	0	0	33	246.00390625000318
n3536-1	n3252	0	0	33	246.4257812500032
n3540-1	n3259	0	0	33	246.83203125000324
n3544-1	n3266	0	0	33	247.2252604166699
n3548-1	n3273	0	0	33	247.58463541666995
n3566-1	n3277	0	0	33	247.8059895833366
n3572-1	n3290	0	0	33	248.40625000000327
n3574-1	n3294	0	0	33	248.6197916666699
n3580-1	n3305	0	0	33	249.11588541666987
n3597-1	n3310	0	0	33	249.4348958333365
n3787-1	n3499	0	0	33	259.60026041667
n3789-1	n3502	0	0	33	259.77734375000324
n3791-1	n3504	0	0	33	259.9713541666699
n3793-1	n3507	0	0	33	260.1497395833366
n3795-1	n3510	0	0	33	260.3164062500032
n3797-1	n3513	0	0	33	260.5078125000031
n3799-1	n3514	0	0	33	260.6705729166698
n3801-1	n3517	0	0	33	260.8736979166697
n6603-1	n6140	0	0	33	451.13020833332416
n6749-1	n6288	0	0	33	467.9856770833233
n7018-1	n6522	0	0	33	505.7213541666549
n123-1	n107	0	0	34	6.863281250000003
n125-1	n110	0	0	34	7.048177083333337
n127-1	n114	0	0	34	7.23307291666667
n129-1	n118	0	0	34	7.4218750000000036
n131-1	n122	0	0	34	7.5937500000000036
n133-1	n127	0	0	34	7.7773437500000036
n135-1	n132	0	0	34	7.9661458333333375
n137-1	n134	0	0	34	8.144531250000005
n155-1	n140	0	0	34	8.337239583333337
n157-1	n143	0	0	34	8.507812500000005
n159-1	n147	0	0	34	8.686197916666673
n161-1	n152	0	0	34	8.877604166666673
n163-1	n156	0	0	34	9.066406250000007
n165-1	n158	0	0	34	9.22005208333334
n167-1	n161	0	0	34	9.390625000000007
n169-1	n167	0	0	34	9.561197916666673
n2042-1	n1965	0	0	34	145.6250000000003
n2764-1	n2647	0	0	34	194.30078125000182
n3734-1	n3442	0	0	34	256.61979166667004
n3738-1	n3449	0	0	34	256.99218750000335
n3740-1	n3451	0	0	34	257.15625000000335
n3742-1	n3455	0	0	34	257.3476562500034
n3744-1	n3457	0	0	34	257.5351562500034
n3746-1	n3461	0	0	34	257.7252604166701
n3748-1	n3464	0	0	34	257.9244791666701
n3766-1	n3468	0	0	34	258.11588541667004
n3768-1	n3471	0	0	34	258.29166666667004
n3770-1	n3474	0	0	34	258.48828125000335
n3772-1	n3478	0	0	34	258.66796875000335
n3774-1	n3484	0	0	34	258.8802083333366
n3776-1	n3486	0	0	34	259.0364583333366
n3778-1	n3489	0	0	34	259.21875000000324
n3780-1	n3496	0	0	34	259.4101562500033
n3944-1	n3640	0	0	34	274.33723958333593
n67-1	n63	0	0	35	3.9778645833333357
n69-1	n66	0	0	35	4.1992187500000036
n71-1	n68	0	0	35	4.35807291666667
n73-1	n71	0	0	35	4.536458333333336
n75-1	n75	0	0	35	4.699218750000001
n77-1	n78	0	0	35	4.884114583333336
n79-1	n80	0	0	35	5.08463541666667
n81-1	n82	0	0	35	5.246093750000003
n91-1	n85	0	0	35	5.39713541666667
n93-1	n88	0	0	35	5.580729166666669
n95-1	n90	0	0	35	5.785156250000003
n97-1	n93	0	0	35	5.946614583333337
n99-1	n97	0	0	35	6.134114583333337
n101-1	n100	0	0	35	6.31510416666667
n103-1	n102	0	0	35	6.493489583333337
n105-1	n104	0	0	35	6.66666666666667
n825-1	n794	0	0	35	46.94010416666682
n834-1	n798	0	0	35	47.32291666666684
n973-1	n931	0	0	35	65.11718750000028
n1142-1	n1077	0	0	35	79.7617187500002
n3270-1	n3016	0	0	35	229.11067708333596
n3274-1	n3020	0	0	35	229.46875000000264
n3278-1	n3024	0	0	35	229.84635416666933
n3282-1	n3028	0	0	35	230.23437500000267
n3306-1	n3048	0	0	35	232.17838541666936
n3310-1	n3052	0	0	35	232.5703125000027
n3314-1	n3056	0	0	35	232.96223958333604
n3318-1	n3060	0	0	35	233.35416666666939
n3348-1	n3081	0	0	35	235.2552083333361
n3352-1	n3085	0	0	35	235.64973958333613
n3356-1	n3092	0	0	35	236.09114583333613
n3360-1	n3097	0	0	35	236.48697916666947
n3376-1	n3104	0	0	35	236.89322916666947
n3380-1	n3109	0	0	35	237.27473958333616
n3384-1	n3115	0	0	35	237.65364583333618
n3388-1	n3123	0	0	35	238.02213541666953
n3403-1	n3130	0	0	35	238.39843750000287
n3407-1	n3135	0	0	35	238.79036458333618
n3411-1	n3141	0	0	35	239.19791666666953
n3415-1	n3146	0	0	35	239.59244791666956
n3431-1	n3152	0	0	35	239.9739583333362
n3435-1	n3156	0	0	35	240.33072916666958
n3439-1	n3163	0	0	35	240.70833333333633
n3443-1	n3171	0	0	35	241.07421875000304
n3457-1	n3178	0	0	35	241.47135416666978
n3461-1	n3183	0	0	35	241.88411458333647
n3465-1	n3190	0	0	35	242.29947916666976
n3469-1	n3194	0	0	35	242.70963541666976
n3483-1	n3201	0	0	35	243.12239583333638
n3487-1	n3206	0	0	35	243.51953125000304
n3491-1	n3213	0	0	35	243.93880208333633
n3495-1	n3220	0	0	35	244.31640625000298
n3507-1	n3226	0	0	35	244.72526041666973
n3511-1	n3230	0	0	35	245.11588541666973
n3515-1	n3237	0	0	35	245.45703125000313
n3519-1	n3243	0	0	35	245.92187500000318
n3535-1	n3249	0	0	35	246.3151041666699
n3539-1	n3257	0	0	35	246.72005208333655
n3543-1	n3264	0	0	35	247.12239583333658
n3547-1	n3271	0	0	35	247.5052083333366
n3567-1	n3280	0	0	35	247.94010416666995
n3571-1	n3288	0	0	35	248.31901041666995
n3575-1	n3296	0	0	35	248.73177083333655
n3579-1	n3304	0	0	35	249.10286458333653
n3598-1	n3312	0	0	35	249.53515625000315
n3678-1	n3398	0	0	35	253.70963541666998
n3680-1	n3401	0	0	35	253.88671875000333
n3682-1	n3402	0	0	35	254.07291666667
n3684-1	n3406	0	0	35	254.25260416667004
n3686-1	n3409	0	0	35	254.42447916667004
n3688-1	n3412	0	0	35	254.59895833333672
n3690-1	n3413	0	0	35	254.7734375000034
n3692-1	n3416	0	0	35	254.96093750000344
n3702-1	n3418	0	0	35	255.12239583333675
n3704-1	n3422	0	0	35	255.30208333333678
n3706-1	n3424	0	0	35	255.48567708333675
n3708-1	n3428	0	0	35	255.66536458333678
n3710-1	n3432	0	0	35	255.84505208333678
n3712-1	n3434	0	0	35	256.0507812500034
n3714-1	n3436	0	0	35	256.22916666667004
n3716-1	n3438	0	0	35	256.41015625000335
n6604-1	n6142	0	0	35	451.2252604166575
n7019-1	n6524	0	0	35	505.8268229166549
n15-1	n0	0	0	36	1.0026041666666667
n16-1	n1	0	0	36	1.2018229166666665
n18-1	n7	0	0	36	1.4101562499999998
n20-1	n11	0	0	36	1.6080729166666665
n22-1	n16	0	0	36	1.7955729166666665
n24-1	n20	0	0	36	1.9973958333333333
n26-1	n24	0	0	36	2.1966145833333335
n28-1	n27	0	0	36	2.347656250000001
n46-1	n32	0	0	36	2.5468750000000018
n48-1	n35	0	0	36	2.7486979166666683
n50-1	n39	0	0	36	2.9075520833333353
n52-1	n43	0	0	36	3.0872395833333353
