idx,matchtype,partid,ppartid
0,0,n1624-1,n1500
1,0,n1628-1,n1507
2,0,n1599-1,n1477
3,0,n3512-1,n3253
4,0,n3528-1,n3261
5,0,n3620-1,n3343
6,0,n482-1,n451
7,0,n3506-1,n3244
8,0,n3550-1,n3281
9,0,n3646-1,n3367
10,0,n820-1,n775
11,0,n499-1,n463
12,0,n502-1,n472
13,0,n787-1,n759
14,0,n1600-1,n1478
15,0,n1604-1,n1488
16,0,n1645-1,n1512
17,0,n2503-1,n2311
18,0,n2509-1,n2322
19,0,n3529-1,n3262
20,0,n3533-1,n3270
21,0,n3556-1,n3292
22,0,n3621-1,n3344
23,0,n3625-1,n3354
24,0,n3652-1,n3382
25,0,n3656-1,n3389
26,0,n483-1,n452
27,0,n1625-1,n1501
28,0,n2187-1,n2003
29,0,n2485-1,n2299
30,0,n3534-1,n3271
31,0,n3551-1,n3282
32,0,n3555-1,n3291
33,0,n3626-1,n3355
34,0,n3647-1,n3370
35,0,n3651-1,n3381
36,0,n406-1,n374
37,0,n462-1,n431
38,0,n464-1,n437
39,0,n1593-1,n1465
40,0,n1601-1,n1480
41,0,n1603-1,n1484
42,0,n2389-1,n2200
43,0,n2461-1,n2274
44,0,n2830-1,n2630
45,0,n3507-1,n3245
46,0,n3511-1,n3252
47,0,n3965-1,n3660
48,0,n405-1,n372
49,0,n423-1,n389
50,0,n424-1,n392
51,0,n478-1,n443
52,0,n481-1,n449
53,0,n500-1,n467
54,0,n517-1,n482
55,0,n658-1,n622
56,0,n1567-1,n1441
57,0,n1619-1,n1489
58,0,n1623-1,n1496
59,0,n1626-1,n1505
60,0,n1773-1,n1628
61,0,n2387-1,n2197
62,0,n2411-1,n2220
63,0,n2413-1,n2223
64,0,n2483-1,n2295
65,0,n2505-1,n2315
66,0,n2527-1,n2332
67,0,n2668-1,n2473
68,0,n2797-1,n2613
69,0,n3508-1,n3246
70,0,n3510-1,n3248
71,0,n3513-1,n3254
72,0,n3517-1,n3260
73,0,n3530-1,n3265
74,0,n3532-1,n3269
75,0,n3535-1,n3272
76,0,n3539-1,n3280
77,0,n3624-1,n3350
78,0,n3627-1,n3356
79,0,n3631-1,n3366
80,0,n3673-1,n3394
81,0,n3752-1,n3487
82,0,n3761-1,n3492
83,0,n3868-1,n3577
84,0,n3964-1,n3657
85,0,n3966-1,n3663
86,0,n4013-1,n3707
87,0,n4104-1,n3794
88,0,n4184-1,n3879
89,0,n426-1,n400
90,0,n444-1,n413
91,0,n2437-1,n2245
92,0,n407-1,n378
93,0,n440-1,n404
94,0,n443-1,n410
95,0,n461-1,n428
96,0,n463-1,n434
97,0,n484-1,n456
98,0,n503-1,n475
99,0,n777-1,n751
100,0,n780-1,n754
101,0,n1101-1,n1007
102,0,n1139-1,n1044
103,0,n1573-1,n1453
104,0,n1594-1,n1466
105,0,n1598-1,n1476
106,0,n1627-1,n1506
107,0,n1629-1,n1511
108,0,n1652-1,n1534
109,0,n1682-1,n1564
110,0,n1712-1,n1592
111,0,n2391-1,n2205
112,0,n2435-1,n2242
113,0,n2459-1,n2270
114,0,n2463-1,n2278
115,0,n2487-1,n2302
116,0,n2511-1,n2326
117,0,n3509-1,n3247
118,0,n3514-1,n3255
119,0,n3516-1,n3259
120,0,n3552-1,n3283
121,0,n3554-1,n3287
122,0,n3557-1,n3293
123,0,n3561-1,n3301
124,0,n3648-1,n3371
125,0,n3650-1,n3377
126,0,n3653-1,n3383
127,0,n3970-1,n3676
128,0,n1772-1,n1627
129,0,n1828-1,n1672
130,0,n404-1,n368
131,0,n422-1,n386
132,0,n425-1,n395
133,0,n445-1,n416
134,0,n480-1,n446
135,0,n501-1,n469
136,0,n1547-1,n1429
137,0,n1568-1,n1442
138,0,n1572-1,n1452
139,0,n1602-1,n1483
140,0,n1620-1,n1490
141,0,n1622-1,n1495
142,0,n2052-1,n1870
143,0,n2385-1,n2191
144,0,n2409-1,n2215
145,0,n2415-1,n2227
146,0,n2439-1,n2253
147,0,n2481-1,n2290
148,0,n2507-1,n2319
149,0,n3515-1,n3256
150,0,n3531-1,n3266
151,0,n3536-1,n3273
152,0,n3538-1,n3277
153,0,n3572-1,n3302
154,0,n3623-1,n3349
155,0,n3628-1,n3360
156,0,n3630-1,n3365
157,0,n3869-1,n3575
158,0,n3870-1,n3581
159,0,n3874-1,n3589
160,0,n3967-1,n3666
161,0,n3969-1,n3672
162,0,n3971-1,n3678
163,0,n4014-1,n3708
164,0,n4015-1,n3711
165,0,n4019-1,n3719
166,0,n373-1,n343
167,0,n442-1,n407
168,0,n460-1,n425
169,0,n485-1,n460
170,0,n2341-1,n2154
171,0,n2433-1,n2237
172,0,n2457-1,n2266
173,0,n2489-1,n2307
174,0,n3493-1,n3236
175,0,n3553-1,n3286
176,0,n3558-1,n3296
177,0,n3560-1,n3300
178,0,n3594-1,n3322
179,0,n3649-1,n3376
180,0,n3654-1,n3387
181,0,n821-1,n774
182,0,n3989-1,n3690
183,0,n19-1,n9
184,0,n21-1,n12
185,0,n187-1,n172
186,0,n191-1,n175
187,0,n192-1,n178
188,0,n384-1,n352
189,0,n387-1,n356
190,0,n403-1,n364
191,0,n408-1,n381
192,0,n421-1,n383
193,0,n465-1,n438
194,0,n479-1,n441
195,0,n504-1,n478
196,0,n788-1,n758
197,0,n1082-1,n986
198,0,n1120-1,n1024
199,0,n1548-1,n1430
200,0,n1552-1,n1440
201,0,n1595-1,n1470
202,0,n1597-1,n1472
203,0,n1630-1,n1513
204,0,n1646-1,n1515
205,0,n1647-1,n1520
206,0,n1649-1,n1526
207,0,n1670-1,n1540
208,0,n1673-1,n1545
209,0,n1676-1,n1550
210,0,n1679-1,n1556
211,0,n1700-1,n1570
212,0,n1703-1,n1575
213,0,n1706-1,n1580
214,0,n1709-1,n1586
215,0,n1722-1,n1600
216,0,n1727-1,n1610
217,0,n1751-1,n1613
218,0,n1767-1,n1626
219,0,n1827-1,n1671
220,0,n2245-1,n2057
221,0,n2359-1,n2165
222,0,n2365-1,n2178
223,0,n2369-1,n2184
224,0,n2383-1,n2189
225,0,n2393-1,n2209
226,0,n2407-1,n2212
227,0,n2465-1,n2282
228,0,n2479-1,n2286
229,0,n2504-1,n2310
230,0,n2510-1,n2321
231,0,n2513-1,n2329
232,0,n3111-1,n2863
233,0,n3149-1,n2900
234,0,n3487-1,n3227
235,0,n3504-1,n3258
236,0,n3559-1,n3297
237,0,n3573-1,n3303
238,0,n3577-1,n3311
239,0,n3603-1,n3333
240,0,n3655-1,n3388
241,0,n3657-1,n3393
242,0,n3680-1,n3417
243,0,n3710-1,n3446
244,0,n3776-1,n3505
245,0,n3871-1,n3580
246,0,n3872-1,n3583
247,0,n3875-1,n3588
248,0,n3876-1,n3592
249,0,n3892-1,n3598
250,0,n3899-1,n3612
251,0,n3968-1,n3670
252,0,n3972-1,n3681
253,0,n3988-1,n3686
254,0,n3990-1,n3692
255,0,n3994-1,n3700
256,0,n4016-1,n3712
257,0,n4017-1,n3715
258,0,n4020-1,n3720
259,0,n4021-1,n3724
260,0,n4039-1,n3732
261,0,n4046-1,n3744
262,0,n4049-1,n3747
263,0,n4090-1,n3789
264,0,n4175-1,n3873
265,0,n2037-1,n1858
266,0,n2039-1,n1862
267,0,n2161-1,n1980
268,0,n3500-1,n3250
269,0,n374-1,n345
270,0,n427-1,n398
271,0,n441-1,n405
272,0,n446-1,n419
273,0,n459-1,n422
274,0,n847-1,n790
275,0,n1097-1,n1006
276,0,n1100-1,n1019
277,0,n1135-1,n1042
278,0,n1138-1,n1057
279,0,n1569-1,n1443
280,0,n1571-1,n1448
281,0,n1574-1,n1454
282,0,n1578-1,n1464
283,0,n1621-1,n1492
284,0,n1609-1,n1502
285,0,n1612-1,n1508
286,0,n1631-1,n1514
287,0,n1653-1,n1533
288,0,n1683-1,n1563
289,0,n1713-1,n1595
290,0,n2031-1,n1849
291,0,n2033-1,n1853
292,0,n2035-1,n1855
293,0,n2169-1,n1982
294,0,n2185-1,n1998
295,0,n2188-1,n2006
296,0,n2196-1,n2007
297,0,n2293-1,n2105
298,0,n2417-1,n2230
299,0,n2431-1,n2234
300,0,n2441-1,n2257
301,0,n2455-1,n2262
302,0,n2486-1,n2298
303,0,n3537-1,n3276
304,0,n3578-1,n3312
305,0,n3595-1,n3323
306,0,n3599-1,n3332
307,0,n3629-1,n3361
308,0,n3791-1,n3517
309,0,n814-1,n773
310,0,n1822-1,n1670
311,0,n2202-1,n2016
312,0,n20-1,n11
313,0,n22-1,n14
314,0,n23-1,n17
315,0,n25-1,n21
316,0,n27-1,n24
317,0,n188-1,n174
318,0,n193-1,n182
319,0,n320-1,n296
320,0,n358-1,n333
321,0,n360-1,n335
322,0,n388-1,n359
323,0,n1078-1,n985
324,0,n1081-1,n1001
325,0,n1116-1,n1025
326,0,n1119-1,n1038
327,0,n1154-1,n1061
328,0,n1155-1,n1067
329,0,n1158-1,n1071
330,0,n1161-1,n1078
331,0,n1164-1,n1083
332,0,n1167-1,n1086
333,0,n1521-1,n1408
334,0,n1541-1,n1417
335,0,n1549-1,n1434
336,0,n1551-1,n1439
337,0,n1596-1,n1471
338,0,n1632-1,n1516
339,0,n1648-1,n1519
340,0,n1650-1,n1525
341,0,n1671-1,n1538
342,0,n1674-1,n1544
343,0,n1677-1,n1549
344,0,n1680-1,n1554
345,0,n1701-1,n1568
346,0,n1704-1,n1574
347,0,n1707-1,n1578
348,0,n1710-1,n1585
349,0,n1723-1,n1604
350,0,n1728-1,n1611
351,0,n1752-1,n1618
352,0,n2016-1,n1842
353,0,n2018-1,n1844
354,0,n2020-1,n1846
355,0,n2131-1,n1939
356,0,n2160-1,n1978
357,0,n2321-1,n2137
358,0,n2366-1,n2180
359,0,n2390-1,n2201
360,0,n2462-1,n2273
361,0,n2831-1,n2629
362,0,n3549-1,n3299
363,0,n3809-1,n3533
364,0,n319-1,n294
365,0,n330-1,n309
366,0,n331-1,n310
367,0,n369-1,n339
368,0,n372-1,n341
369,0,n385-1,n353
370,0,n518-1,n485
371,0,n520-1,n489
372,0,n523-1,n496
373,0,n527-1,n501
374,0,n531-1,n508
375,0,n547-1,n513
376,0,n551-1,n521
377,0,n555-1,n525
378,0,n559-1,n535
379,0,n564-1,n542
380,0,n569-1,n549
381,0,n586-1,n554
382,0,n590-1,n558
383,0,n594-1,n565
384,0,n598-1,n570
385,0,n602-1,n576
386,0,n606-1,n582
387,0,n622-1,n587
388,0,n626-1,n595
389,0,n630-1,n601
390,0,n634-1,n608
391,0,n638-1,n615
392,0,n642-1,n618
393,0,n659-1,n627
394,0,n661-1,n631
395,0,n664-1,n634
396,0,n668-1,n642
397,0,n672-1,n647
398,0,n688-1,n652
399,0,n692-1,n660
400,0,n696-1,n665
401,0,n700-1,n672
402,0,n705-1,n679
403,0,n710-1,n687
404,0,n727-1,n693
405,0,n731-1,n699
406,0,n735-1,n704
407,0,n739-1,n710
408,0,n743-1,n716
409,0,n747-1,n723
410,0,n766-1,n729
411,0,n769-1,n734
412,0,n772-1,n738
413,0,n775-1,n745
414,0,n778-1,n748
415,0,n781-1,n753
416,0,n1063-1,n983
417,0,n1187-1,n1096
418,0,n1190-1,n1101
419,0,n1193-1,n1107
420,0,n1196-1,n1113
421,0,n1502-1,n1392
422,0,n1515-1,n1400
423,0,n1570-1,n1447
424,0,n1575-1,n1458
425,0,n1577-1,n1463
426,0,n1615-1,n1493
427,0,n1617-1,n1497
428,0,n1610-1,n1503
429,0,n1613-1,n1509
430,0,n1633-1,n1517
431,0,n1766-1,n1625
432,0,n2010-1,n1832
433,0,n2012-1,n1836
434,0,n2014-1,n1838
435,0,n2197-1,n2009
436,0,n2199-1,n2012
437,0,n2201-1,n2015
438,0,n2203-1,n2018
439,0,n2239-1,n2047
440,0,n2263-1,n2069
441,0,n2335-1,n2141
442,0,n2360-1,n2168
443,0,n2362-1,n2172
444,0,n2364-1,n2176
445,0,n2388-1,n2196
446,0,n2412-1,n2218
447,0,n2414-1,n2222
448,0,n2484-1,n2294
449,0,n2506-1,n2314
450,0,n2528-1,n2338
451,0,n2530-1,n2340
452,0,n2533-1,n2347
