onset_sec,duration_sec,pitch,velocity,track,channel,id
0.6228638,0.06623938,92,95,0,0,n0
0.62606895,0.06196587,58,82,0,0,n1
0.62606895,0.045940213,80,96,0,0,n2
0.62713736,0.044871837,68,85,0,0,n3
0.63141084,0.045940213,65,82,0,0,n4
0.63247925,0.047008593,86,88,0,0,n5
0.63461596,0.049145345,89,88,0,0,n6
0.64636815,0.035256445,62,73,0,0,n7
1.1014968,0.057692364,46,57,0,0,n8
1.1207275,0.082265034,58,67,0,0,n9
1.212608,0.06303425,50,55,0,0,n10
1.2190182,0.053418852,57,68,0,0,n11
1.2831209,0.05876074,58,67,0,0,n12
1.2927363,0.060897496,46,65,0,0,n13
1.3696594,0.1025642,62,72,0,0,n14
1.4017107,0.045940213,50,50,0,0,n15
1.4433775,0.057692364,52,27,0,0,n16
1.4711553,0.04059833,65,78,0,0,n17
1.4839758,0.06623938,50,60,0,0,n18
1.5673091,0.07051289,62,73,0,0,n19
1.5993605,0.0512821,53,67,0,0,n20
1.6602579,0.091880426,65,72,0,0,n21
1.6741469,0.060897496,50,64,0,0,n22
1.7489333,0.08760692,68,77,0,0,n23
1.7841897,0.045940213,53,61,0,0,n24
1.8440188,0.08760692,65,71,0,0,n25
1.8482924,0.0512821,50,63,0,0,n26
1.9316257,0.029914558,53,60,0,0,n27
1.9348309,0.04380346,62,77,0,0,n28
2.014959,0.067307755,53,74,0,0,n29
2.0213695,0.082265034,68,80,0,0,n30
2.1132498,0.057692364,56,69,0,0,n31
2.1196601,0.047008593,65,74,0,0,n32
2.2029936,0.059829116,53,61,0,0,n33
2.2051303,0.08333341,68,75,0,0,n34
2.2906005,0.07905991,70,78,0,0,n35
2.2991474,0.049145345,56,64,0,0,n36
2.3579082,0.054487232,53,65,0,0,n37
2.3792758,0.06944451,68,73,0,0,n38
2.4433784,0.037393197,56,63,0,0,n39
2.467951,0.041666705,65,70,0,0,n40
2.5534213,0.07264964,70,80,0,0,n41
2.5609,0.03632482,58,68,0,0,n42
2.6495752,0.07905991,68,73,0,0,n43
2.6656008,0.053418852,62,60,0,0,n44
2.7275667,0.07585477,70,75,0,0,n45
2.728635,0.06196587,58,53,0,0,n46
2.8151736,0.09294881,74,77,0,0,n47
2.833336,0.045940213,62,65,0,0,n48
2.9027805,0.050213724,58,67,0,0,n49
2.9081225,0.07158127,70,74,0,0,n50
2.9882507,0.028846182,68,73,0,0,n51
2.9903874,0.034188066,62,67,0,0,n52
3.082268,0.049145345,62,84,0,0,n53
3.0833364,0.056623984,77,78,0,0,n54
3.1720116,0.07264964,74,79,0,0,n55
3.1752167,0.07158127,65,74,0,0,n56
3.2596185,0.05876074,62,69,0,0,n57
3.2649603,0.060897496,77,63,0,0,n58
3.3365417,0.091880426,80,82,0,0,n59
3.3482938,0.08012828,65,72,0,0,n60
3.4326956,0.050213724,62,72,0,0,n61
3.4412427,0.049145345,77,78,0,0,n62
3.524576,0.042735085,74,79,0,0,n63
3.5256443,0.03632482,65,58,0,0,n64
3.601499,0.027777804,66,72,0,0,n65
3.6143196,0.07585477,80,80,0,0,n66
3.635687,0.039529953,65,78,0,0,n67
3.700858,0.044871837,77,80,0,0,n68
3.7158155,0.07585477,68,71,0,0,n69
3.788465,0.091880426,80,81,0,0,n70
3.7991488,0.06623938,65,68,0,0,n71
3.8782089,0.08547017,82,77,0,0,n72
3.8856874,0.07158127,68,75,0,0,n73
3.963679,0.08012828,80,80,0,0,n74
3.977568,0.044871837,65,51,0,0,n75
4.0128245,0.074786395,64,21,0,0,n76
4.037397,0.037393197,68,66,0,0,n77
4.059833,0.06196587,77,78,0,0,n78
4.150645,0.08012828,82,82,0,0,n79
4.1527815,0.060897496,74,79,0,0,n80
4.236115,0.101495825,80,78,0,0,n81
4.2446623,0.06303425,77,73,0,0,n82
4.322654,0.09615394,82,80,0,0,n83
4.3386793,0.04807697,74,72,0,0,n84
4.416671,0.11004284,86,82,0,0,n85
4.431628,0.06196587,77,75,0,0,n86
4.5042777,0.06944451,74,74,0,0,n87
4.5117564,0.07692315,82,77,0,0,n88
4.5940213,0.047008593,80,75,0,0,n89
4.6047053,0.03311969,77,69,0,0,n90
4.688039,0.07799153,86,82,0,0,n91
4.6965857,0.06944451,77,76,0,0,n92
4.7777824,0.09081205,82,79,0,0,n93
4.7916713,0.07158127,80,77,0,0,n94
4.869663,0.0512821,77,70,0,0,n95
4.8771415,0.08547017,86,79,0,0,n96
4.960475,0.09615394,89,75,0,0,n97
4.9903893,0.035256445,80,66,0,0,n98
5.043808,0.049145345,77,72,0,0,n99
5.0502186,0.086538546,86,72,0,0,n100
5.135689,0.060897496,82,72,0,0,n101
5.1506457,0.034188066,80,70,0,0,n102
5.2115436,0.057692364,89,79,0,0,n103
5.304492,0.045940213,86,74,0,0,n104
5.391031,0.056623984,89,77,0,0,n105
5.4914584,0.065171,92,77,0,0,n106
5.56945,0.03632482,80,65,0,0,n107
5.5715866,0.056623984,89,75,0,0,n108
5.595091,0.035256445,77,44,0,0,n109
5.663467,0.044871837,86,67,0,0,n110
5.7638946,0.2467951,77,48,0,0,n111
5.7703047,0.0512821,82,71,0,0,n112
5.7788515,0.24038485,74,53,0,0,n113
5.8643217,0.06944451,81,73,0,0,n114
5.9455185,0.07692315,82,79,0,0,n115
6.0331254,0.08440179,86,75,0,0,n116
6.1079116,0.067307755,89,80,0,0,n117
6.1997924,0.094017185,86,81,0,0,n118
6.292741,0.08119666,89,87,0,0,n119
6.3931684,0.07264964,86,79,0,0,n120
6.470092,0.059829116,89,74,0,0,n121
6.55663,0.07158127,92,80,0,0,n122
6.637827,0.05876074,89,75,0,0,n123
6.6538525,0.026709426,80,57,0,0,n124
6.6656046,0.032051314,77,55,0,0,n125
6.724365,0.041666705,86,69,0,0,n126
6.825861,0.25534213,77,56,0,0,n127
6.831203,0.06944451,82,75,0,0,n128
6.855776,0.25961563,74,54,0,0,n129
6.916673,0.06410263,81,74,0,0,n130
7.017101,0.056623984,82,76,0,0,n131
7.114323,0.057692364,86,68,0,0,n132
7.172015,0.10042745,89,68,0,0,n133
7.271374,0.057692364,86,79,0,0,n134
7.3568444,0.07905991,77,68,0,0,n135
7.443383,0.08440179,74,75,0,0,n136
7.536332,0.067307755,77,66,0,0,n137
7.612187,0.06944451,80,72,0,0,n138
7.6880417,0.038461573,68,64,0,0,n139
7.6901784,0.054487232,77,69,0,0,n140
7.720093,0.04059833,65,43,0,0,n141
7.7874007,0.041666705,74,56,0,0,n142
7.879281,0.04807697,70,72,0,0,n143
7.8888965,0.25320536,65,47,0,0,n144
7.918811,0.23397458,62,46,0,0,n145
7.98505,0.034188066,69,62,0,0,n146
8.066247,0.034188066,70,66,0,0,n147
8.152785,0.054487232,74,62,0,0,n148
8.214751,0.07264964,77,70,0,0,n149
8.315179,0.04380346,74,73,0,0,n150
8.400649,0.054487232,77,76,0,0,n151
8.483982,0.07264964,74,76,0,0,n152
8.565179,0.047008593,77,73,0,0,n153
8.650649,0.06410263,80,72,0,0,n154
8.744666,0.038461573,77,73,0,0,n155
8.759624,0.03311969,68,55,0,0,n156
8.778854,0.04380346,65,50,0,0,n157
8.823727,0.049145345,74,66,0,0,n158
8.933769,0.04059833,70,67,0,0,n159
8.943384,0.47435942,65,62,0,0,n160
8.962615,0.45512864,62,52,0,0,n161
9.017102,0.4006414,69,75,0,0,n162
9.096163,0.3215815,70,78,0,0,n163
9.184837,0.2329062,74,70,0,0,n164
9.264966,0.15277793,77,81,0,0,n165
9.51283,0.35576957,58,83,0,0,n166
9.513898,0.36111146,46,80,0,0,n167
9.519239,0.51923126,53,77,0,0,n168
9.519239,0.51923126,77,82,0,0,n169
9.519239,0.51923126,80,81,0,0,n170
9.522445,0.18910274,68,82,0,0,n171
9.549154,0.4893167,74,66,0,0,n172
9.553428,0.4850432,50,57,0,0,n173
9.711548,0.3269234,68,10,0,0,n174
9.868599,0.14957279,58,61,0,0,n175
9.87501,0.1634617,46,70,0,0,n176
9.942317,0.09615394,57,63,0,0,n177
10.018172,0.07051289,58,64,0,0,n178
10.0416765,0.056623984,46,63,0,0,n179
10.0983,0.052350476,57,62,0,0,n180
10.189113,0.065171,60,68,0,0,n181
10.1976595,0.049145345,50,69,0,0,n182
10.279924,0.049145345,58,61,0,0,n183
10.365395,0.035256445,63,69,0,0,n184
10.385694,0.08547017,53,64,0,0,n185
10.456206,0.045940213,62,65,0,0,n186
10.528856,0.0512821,67,73,0,0,n187
10.534198,0.04807697,58,67,0,0,n188
10.713685,0.032051314,62,71,0,0,n189
10.714754,0.021367542,70,71,0,0,n190
10.782062,0.08547017,69,78,0,0,n191
10.892104,0.06410263,72,74,0,0,n192
10.897447,0.037393197,65,60,0,0,n193
10.970096,0.07585477,70,73,0,0,n194
11.063045,0.053418852,75,77,0,0,n195
11.081207,0.037393197,68,68,0,0,n196
11.0833435,0.029914558,70,42,0,0,n197
11.150652,0.10470095,74,80,0,0,n198
11.247874,0.09081205,79,83,0,0,n199
11.2713785,0.038461573,68,67,0,0,n200
11.273515,0.03632482,70,48,0,0,n201
11.331207,0.11538473,77,82,0,0,n202
11.43484,0.118589856,82,83,0,0,n203
11.476506,0.030982936,70,49,0,0,n204
