onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
0.0,1.0,0.0,0.5,0,6,58,5,n15-1
0.0,1.0,0.0,0.5,0,6,62,5,n16-1
0.0,1.0,0.0,0.5,0,6,65,5,n17-1
0.0,1.0,0.0,0.5,0,6,68,5,n18-1
0.0,1.0,0.0,0.5,0,6,80,1,n1-1
0.0,1.0,0.0,0.5,0,6,86,1,n2-1
0.0,1.0,0.0,0.5,0,6,89,1,n3-1
0.0,1.0,0.0,0.5,0,6,92,1,n4-1
1.0,0.5,0.5,0.25,6,3,46,5,n19-1
1.0,0.5,0.5,0.25,6,3,58,1,n5-1
1.5,0.5,0.75,0.25,9,3,50,5,n20-1
1.5,0.5,0.75,0.25,9,3,57,1,n6-1
2.0,0.5,1.0,0.25,12,3,46,5,n21-1
2.0,0.5,1.0,0.25,12,3,58,1,n7-1
2.5,0.5,1.25,0.25,15,3,50,5,n22-1
2.5,0.5,1.25,0.25,15,3,62,1,n8-1
3.0,0.5,1.5,0.25,18,3,50,5,n23-1
3.0,0.5,1.5,0.25,18,3,65,1,n9-1
3.5,0.5,1.75,0.25,21,3,53,5,n24-1
3.5,0.5,1.75,0.25,21,3,62,1,n10-1
4.0,0.5,2.0,0.25,24,3,50,5,n25-1
4.0,0.5,2.0,0.25,24,3,65,1,n11-1
4.5,0.5,2.25,0.25,27,3,53,5,n26-1
4.5,0.5,2.25,0.25,27,3,68,1,n12-1
5.0,0.5,2.5,0.25,30,3,50,5,n27-1
5.0,0.5,2.5,0.25,30,3,65,1,n13-1
5.5,0.5,2.75,0.25,33,3,53,5,n28-1
5.5,0.5,2.75,0.25,33,3,62,1,n14-1
6.0,0.5,3.0,0.25,36,3,53,5,n41-1
6.0,0.5,3.0,0.25,36,3,68,1,n29-1
6.5,0.5,3.25,0.25,39,3,56,5,n42-1
6.5,0.5,3.25,0.25,39,3,65,1,n30-1
7.0,0.5,3.5,0.25,42,3,53,5,n43-1
7.0,0.5,3.5,0.25,42,3,68,1,n31-1
7.5,0.5,3.75,0.25,45,3,56,5,n44-1
