onset_sec,duration_sec,pitch,velocity,track,channel,id
0.40384653,0.6538468,80,95,0,0,n0
0.40491492,0.6527784,92,87,0,0,n1
0.4059833,0.65171003,89,81,0,0,n2
0.4198722,0.61218005,62,78,0,0,n3
0.42094058,0.36965847,58,78,0,0,n4
0.42094058,0.6367527,68,78,0,0,n5
0.4284192,0.62927413,65,64,0,0,n6
0.79059905,0.15598306,58,71,0,0,n7
0.7970093,0.13782065,46,60,0,0,n8
0.86111194,0.16239332,50,76,0,0,n9
0.87927437,0.17841898,57,63,0,0,n10
0.93482995,0.12286337,46,74,0,0,n11
0.9465821,0.111111216,58,71,0,0,n12
1.0235052,0.034188066,50,72,0,0,n13
1.0320523,0.053418852,62,61,0,0,n14
1.1100438,0.04807697,50,90,0,0,n15
1.1121806,0.037393197,65,57,0,0,n16
1.1848302,0.32051313,62,67,0,0,n17
1.1965823,0.1634617,53,74,0,0,n18
1.260685,0.18696599,65,71,0,0,n19
1.2745738,0.16025656,50,70,0,0,n20
1.356839,0.15491468,68,71,0,0,n21
1.360044,0.1399574,53,54,0,0,n22
1.4348304,0.07692315,50,69,0,0,n23
1.4476509,0.06410263,65,51,0,0,n24
1.5000014,0.03311969,53,73,0,0,n25
1.5053433,0.04380346,62,78,0,0,n26
1.6004288,0.04059833,53,80,0,0,n27
1.603634,0.07158127,68,79,0,0,n28
1.6784204,0.05876074,56,75,0,0,n29
1.7126085,0.07158127,65,60,0,0,n30
1.7628222,0.059829116,53,67,0,0,n31
1.7788478,0.059829116,68,73,0,0,n32
1.8376086,0.067307755,56,75,0,0,n33
1.8685915,0.07051289,70,70,0,0,n34
1.9230788,0.038461573,53,60,0,0,n35
1.960472,0.037393197,68,64,0,0,n36
1.9967967,0.028846182,56,62,0,0,n37
2.0181644,0.038461573,65,69,0,0,n38
2.0897455,0.1677352,58,78,0,0,n39
2.0982926,0.16666682,70,76,0,0,n40
2.173079,0.17841898,62,76,0,0,n41
2.1891046,0.22329082,68,71,0,0,n42
2.2574809,0.15491468,58,70,0,0,n43
2.2649593,0.14743604,70,72,0,0,n44
2.342951,0.07585477,74,66,0,0,n45
2.351498,0.060897496,62,61,0,0,n46
2.4134638,0.039529953,58,70,0,0,n47
2.4177372,0.035256445,70,66,0,0,n48
2.495729,0.030982936,62,70,0,0,n49
2.495729,0.037393197,68,70,0,0,n50
2.5844042,0.18696599,62,95,0,0,n51
2.5908144,0.17948735,77,86,0,0,n52
2.6869683,0.2713678,74,74,0,0,n53
2.7094042,0.13888901,65,75,0,0,n54
2.7703018,0.15277793,77,69,0,0,n55
2.7713702,0.16559845,62,70,0,0,n56
2.8482933,0.11004284,65,61,0,0,n57
2.853635,0.10470095,80,72,0,0,n58
2.9230797,0.041666705,77,63,0,0,n59
2.9369686,0.023504296,62,53,0,0,n60
2.9732933,0.039529953,74,72,0,0,n61
3.0245755,0.056623984,65,54,0,0,n62
3.0726526,0.16025656,80,83,0,0,n63
3.0811994,0.15705143,65,44,0,0,n64
3.1613278,0.28525668,77,75,0,0,n65
3.1901739,0.13247876,68,77,0,0,n66
3.232909,0.1634617,80,76,0,0,n67
3.238251,0.25427374,65,66,0,0,n68
3.3173108,0.17521384,82,78,0,0,n69
3.3226528,0.13461551,68,69,0,0,n70
3.3963706,0.09615394,80,68,0,0,n71
3.4465845,0.045940213,77,71,0,0,n72
3.4572682,0.035256445,68,42,0,0,n73
3.5406017,0.18696599,82,84,0,0,n74
3.5534222,0.16987196,74,83,0,0,n75
3.6164565,0.34188068,73,19,0,0,n76
3.6303453,0.16559845,77,64,0,0,n77
3.6303453,0.29487208,80,85,0,0,n78
3.723294,0.13782065,74,65,0,0,n79
3.7275677,0.14102578,82,70,0,0,n80
3.7959437,0.13675226,77,80,0,0,n81
3.8012857,0.15705143,86,75,0,0,n82
3.8611147,0.09722231,74,70,0,0,n83
3.8685935,0.089743674,82,61,0,0,n84
3.9252174,0.03632482,80,79,0,0,n85
3.932696,0.039529953,77,78,0,0,n86
4.0106874,0.18055573,77,79,0,0,n87
4.0267134,0.15491468,86,74,0,0,n88
4.0961576,0.31089774,82,78,0,0,n89
4.1185937,0.1538463,80,79,0,0,n90
4.1816278,0.22649594,86,72,0,0,n91
4.191243,0.14529929,77,80,0,0,n92
4.2617564,0.15170954,89,74,0,0,n93
4.27244,0.13782065,80,86,0,0,n94
4.327996,0.08547017,87,71,0,0,n95
4.3365426,0.07692315,77,72,0,0,n96
4.4070554,0.035256445,82,69,0,0,n97
4.408124,0.050213724,86,24,0,0,n98
4.4102607,0.0512821,80,93,0,0,n99
4.495731,0.15705143,89,75,0,0,n100
4.4978676,0.6784195,91,78,0,0,n101
4.572654,0.3269234,86,77,0,0,n102
4.652782,0.15598306,89,79,0,0,n103
4.7606883,0.4155987,92,83,0,0,n104
4.8087654,0.3675217,89,69,0,0,n105
4.819449,0.35683796,80,84,0,0,n106
4.8397484,0.14316253,77,69,0,0,n107
4.899577,0.27670968,86,75,0,0,n108
4.9829106,0.09722231,77,96,0,0,n109
4.987184,0.18910274,74,76,0,0,n110
5.000005,0.16987196,82,89,0,0,n111
5.080133,0.09615394,77,35,0,0,n112
5.102569,0.07371802,81,73,0,0,n113
5.1698766,0.08012828,82,63,0,0,n114
5.250005,0.074786395,86,60,0,0,n115
5.3258595,0.052350476,89,70,0,0,n116
5.400646,0.15918818,86,74,0,0,n117
5.485048,0.14316253,89,97,0,0,n118
5.5598345,0.33867553,86,64,0,0,n119
5.6282105,0.17200871,89,82,0,0,n120
5.7275696,0.38995764,92,87,0,0,n121
5.800219,0.31730798,89,75,0,0,n122
5.81304,0.30448747,80,97,0,0,n123
5.831202,0.15064117,77,76,0,0,n124
5.89851,0.2190173,86,60,0,0,n125
5.9818435,0.130342,77,76,0,0,n126
5.987185,0.130342,82,82,0,0,n127
5.991459,0.1260685,74,74,0,0,n128
6.090818,0.045940213,81,68,0,0,n129
6.1121855,0.056623984,77,5,0,0,n130
6.1463733,0.04807697,82,68,0,0,n131
6.2243648,0.07692315,86,60,0,0,n132
6.3119717,0.056623984,89,67,0,0,n133
6.3792796,0.050213724,86,67,0,0,n134
6.4797072,0.15598306,77,66,0,0,n135
6.564109,0.3589747,74,71,0,0,n136
6.63569,0.18589762,77,58,0,0,n137
6.7671003,0.2713678,80,61,0,0,n138
6.8215876,0.21688055,77,63,0,0,n139
6.8322716,0.20619677,68,70,0,0,n140
6.8386817,0.17094034,65,56,0,0,n141
6.9230833,0.11538473,74,53,0,0,n142
7.009622,0.04059833,65,70,0,0,n143
7.009622,0.044871837,70,74,0,0,n144
7.0203056,0.029914558,62,58,0,0,n145
7.108981,0.047008593,69,67,0,0,n146
7.174152,0.052350476,70,64,0,0,n147
7.252144,0.07158127,74,54,0,0,n148
7.335477,0.042735085,77,65,0,0,n149
7.409195,0.16880357,74,70,0,0,n150
7.4989386,0.14957279,77,74,0,0,n151
7.5779986,0.33867553,74,63,0,0,n152
7.6485114,0.18269248,77,78,0,0,n153
7.7457337,0.74786395,80,75,0,0,n154
7.831204,0.5352569,77,70,0,0,n155
7.85364,0.63995785,68,74,0,0,n156
7.911332,0.1260685,65,28,0,0,n157
7.916674,0.36645335,74,68,0,0,n158
8.027785,0.16559845,70,82,0,0,n159
8.037401,0.45619702,65,86,0,0,n160
