onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-0.125,0.125,-0.125,0.125,0,60,51,5,n2-1
-0.125,0.125,-0.125,0.125,0,60,63,5,n3-1
0.0,0.875,0.0,0.875,60,420,42,5,n37-1
0.0,0.875,0.0,0.875,60,420,54,5,n38-1
0.875,0.125,0.875,0.125,480,60,30,5,n39-1
0.875,0.125,0.875,0.125,480,60,42,5,n40-1
0.875,0.125,0.875,0.125,480,60,63,1,n6-1
0.875,0.125,0.875,0.125,480,60,69,1,n7-1
0.875,0.125,0.875,0.125,480,60,72,1,n8-1
0.875,0.125,0.875,0.125,480,60,75,1,n9-1
1.0,1.875,1.0,1.875,540,900,42,5,n41-1
1.0,1.875,1.0,1.875,540,900,54,5,n42-1
1.0,1.875,1.0,1.875,540,900,63,1,n10-1
1.0,1.875,1.0,1.875,540,900,69,1,n11-1
1.0,1.875,1.0,1.875,540,900,72,1,n12-1
1.0,1.875,1.0,1.875,540,900,75,1,n13-1
2.875,0.125,2.875,0.125,1440,60,54,5,n45-1
2.875,0.125,2.875,0.125,1440,60,63,5,n46-1
2.875,0.125,2.875,0.125,1440,60,69,1,n18-1
2.875,0.125,2.875,0.125,1440,60,72,1,n19-1
3.0,1.0,3.0,1.0,1500,480,54,5,n47-1
3.0,1.0,3.0,1.0,1500,480,63,5,n48-1
3.0,1.0,3.0,1.0,1500,480,69,2,n23-1
3.0,0.75,3.0,0.75,1500,360,72,1,n20-1
3.05625,0.058333334,3.05625,0.058333334,1527,28,74,4,n25-1
3.1145833,0.058333334,3.1145833,0.058333334,1555,28,72,4,n26-1
3.1729167,0.058333334,3.1729167,0.058333334,1583,28,74,4,n27-1
3.23125,0.058333334,3.23125,0.058333334,1611,28,72,4,n28-1
3.2895834,0.058333334,3.2895834,0.058333334,1639,28,74,4,n29-1
3.3479166,0.058333334,3.3479166,0.058333334,1667,28,72,4,n30-1
3.40625,0.058333334,3.40625,0.058333334,1695,28,74,4,n31-1
3.4645834,0.058333334,3.4645834,0.058333334,1723,28,72,4,n32-1
3.5229166,0.058333334,3.5229166,0.058333334,1751,28,74,4,n33-1
3.58125,0.058333334,3.58125,0.058333334,1779,28,72,4,n34-1
3.6395833,0.058333334,3.6395833,0.058333334,1807,28,74,4,n35-1
3.6979167,0.058333334,3.6979167,0.058333334,1835,28,72,4,n36-1
3.75,0.125,3.75,0.125,1860,60,71,1,n21-1
3.875,0.125,3.875,0.125,1920,60,72,1,n22-1
4.0,0.5,4.0,0.5,1980,240,55,5,n65-1
4.0,0.5,4.0,0.5,1980,240,62,5,n66-1
4.0,0.5,4.0,0.5,1980,240,67,1,n49-1
4.0,0.5,4.0,0.5,1980,240,71,1,n50-1
5.0,0.5,5.0,0.5,2460,240,48,5,n68-1
5.0,0.5,5.0,0.5,2460,240,55,5,n69-1
5.0,0.5,5.0,0.5,2460,240,60,5,n70-1
5.0,0.5,5.0,0.5,2460,240,63,1,n52-1
5.0,0.5,5.0,0.5,2460,240,67,1,n53-1
5.0,0.5,5.0,0.5,2460,240,72,1,n54-1
6.0,0.05,6.0,0.05,2940,24,35,5,n72-1
6.05,0.05,6.05,0.05,2964,24,38,5,n73-1
6.1,0.05,6.1,0.05,2988,24,43,5,n74-1
