idx,matchtype,partid,ppartid
0,0,n4436-1,n4118
1,0,n2123-1,n1967
2,0,n1759-1,n1652
3,0,n1785-1,n1672
4,0,n2108-1,n1957
5,0,n1755-1,n1640
6,0,n2106-1,n1955
7,0,n2858-1,n2624
8,0,n1737-1,n1630
9,0,n2096-1,n1944
10,0,n2854-1,n2613
11,0,n3309-1,n3075
12,0,n39-1,n5
13,0,n507-1,n443
14,0,n1733-1,n1618
15,0,n2067-1,n1922
16,0,n2094-1,n1942
17,0,n2354-1,n2163
18,0,n2356-1,n2175
19,0,n2360-1,n2184
20,0,n2362-1,n2191
21,0,n418-1,n357
22,0,n508-1,n445
23,0,n526-1,n449
24,0,n527-1,n460
25,0,n531-1,n467
26,0,n533-1,n472
27,0,n535-1,n474
28,0,n537-1,n476
29,0,n539-1,n478
30,0,n541-1,n480
31,0,n543-1,n482
32,0,n545-1,n484
33,0,n547-1,n486
34,0,n549-1,n488
35,0,n551-1,n490
36,0,n553-1,n492
37,0,n555-1,n494
38,0,n557-1,n496
39,0,n559-1,n498
40,0,n561-1,n500
41,0,n567-1,n502
42,0,n569-1,n508
43,0,n571-1,n510
44,0,n573-1,n512
45,0,n575-1,n514
46,0,n577-1,n516
47,0,n579-1,n518
48,0,n581-1,n520
49,0,n603-1,n525
50,0,n605-1,n529
51,0,n607-1,n533
52,0,n609-1,n537
53,0,n611-1,n541
54,0,n613-1,n545
55,0,n615-1,n549
56,0,n617-1,n553
57,0,n625-1,n562
58,0,n637-1,n575
59,0,n876-1,n811
60,0,n943-1,n876
61,0,n970-1,n880
62,0,n972-1,n884
63,0,n1089-1,n1006
64,0,n1715-1,n1608
65,0,n1891-1,n1776
66,0,n1923-1,n1804
67,0,n1952-1,n1829
68,0,n2055-1,n1917
69,0,n2084-1,n1934
70,0,n2110-1,n1963
71,0,n2125-1,n1970
72,0,n2137-1,n1987
73,0,n2353-1,n2157
74,0,n2376-1,n2201
75,0,n2384-1,n2215
76,0,n2404-1,n2226
77,0,n2412-1,n2240
78,0,n2432-1,n2251
79,0,n2440-1,n2265
80,0,n2460-1,n2276
81,0,n2468-1,n2293
82,0,n2490-1,n2304
83,0,n2498-1,n2319
84,0,n2650-1,n2450
85,0,n2652-1,n2457
86,0,n2654-1,n2461
87,0,n2656-1,n2466
88,0,n3343-1,n3098
89,0,n3920-1,n3629
90,0,n3946-1,n3651
91,0,n408-1,n353
92,0,n532-1,n471
93,0,n534-1,n473
94,0,n536-1,n475
95,0,n538-1,n477
96,0,n540-1,n479
97,0,n542-1,n481
98,0,n544-1,n483
99,0,n546-1,n485
100,0,n548-1,n487
101,0,n550-1,n489
102,0,n552-1,n491
103,0,n554-1,n493
104,0,n556-1,n495
105,0,n558-1,n497
106,0,n560-1,n499
107,0,n562-1,n501
108,0,n568-1,n507
109,0,n570-1,n509
110,0,n572-1,n511
111,0,n574-1,n513
112,0,n576-1,n515
113,0,n578-1,n517
114,0,n580-1,n519
115,0,n582-1,n521
116,0,n604-1,n527
117,0,n606-1,n531
118,0,n608-1,n535
119,0,n610-1,n539
120,0,n612-1,n543
121,0,n614-1,n548
122,0,n616-1,n551
123,0,n1420-1,n1332
124,0,n1711-1,n1592
125,0,n1735-1,n1624
126,0,n1757-1,n1646
127,0,n1761-1,n1657
128,0,n1890-1,n1772
129,0,n1892-1,n1777
130,0,n1922-1,n1803
131,0,n1924-1,n1805
132,0,n1951-1,n1828
133,0,n1953-1,n1830
134,0,n2047-1,n1912
135,0,n2098-1,n1951
136,0,n2321-1,n2153
137,0,n2856-1,n2620
138,0,n3916-1,n3618
139,0,n618-1,n555
140,0,n626-1,n564
141,0,n638-1,n577
142,0,n974-1,n889
143,0,n2320-1,n2150
144,0,n2377-1,n2202
145,0,n3898-1,n3606
146,0,n1152-1,n1067
147,0,n1422-1,n1335
148,0,n1889-1,n1770
149,0,n1893-1,n1778
150,0,n1925-1,n1807
151,0,n1954-1,n1832
152,0,n2086-1,n1939
153,0,n2127-1,n1972
154,0,n2319-1,n2146
155,0,n3894-1,n3590
156,0,n72-1,n54
157,0,n80-1,n67
158,0,n123-1,n75
159,0,n619-1,n557
160,0,n627-1,n566
161,0,n636-1,n573
162,0,n639-1,n580
163,0,n646-1,n585
164,0,n976-1,n893
165,0,n980-1,n902
166,0,n1093-1,n1013
167,0,n1898-1,n1787
168,0,n1920-1,n1800
169,0,n1930-1,n1813
170,0,n1949-1,n1825
171,0,n2135-1,n1986
172,0,n2318-1,n2143
173,0,n2378-1,n2203
174,0,n2549-1,n2376
175,0,n2664-1,n2480
176,0,n2685-1,n2483
177,0,n2688-1,n2488
178,0,n2691-1,n2491
179,0,n2694-1,n2495
180,0,n3876-1,n3580
181,0,n4052-1,n3755
182,0,n4083-1,n3782
183,0,n4109-1,n3809
184,0,n506-1,n434
185,0,n624-1,n559
186,0,n634-1,n568
187,0,n644-1,n581
188,0,n666-1,n606
189,0,n688-1,n625
190,0,n720-1,n658
191,0,n873-1,n799
192,0,n978-1,n899
193,0,n982-1,n906
194,0,n1091-1,n1010
195,0,n1111-1,n1017
196,0,n1117-1,n1030
197,0,n1120-1,n1034
198,0,n1124-1,n1044
199,0,n1154-1,n1073
200,0,n1424-1,n1339
201,0,n1713-1,n1602
202,0,n1763-1,n1663
203,0,n1863-1,n1757
204,0,n1888-1,n1769
205,0,n1896-1,n1781
206,0,n1915-1,n1790
207,0,n1919-1,n1798
208,0,n1921-1,n1802
209,0,n1928-1,n1808
210,0,n1944-1,n1816
211,0,n1948-1,n1824
212,0,n1950-1,n1827
213,0,n1955-1,n1833
214,0,n2131-1,n1983
215,0,n2317-1,n2140
216,0,n2385-1,n2216
217,0,n2405-1,n2227
218,0,n2545-1,n2365
219,0,n2583-1,n2410
220,0,n2659-1,n2471
221,0,n2697-1,n2499
222,0,n2835-1,n2606
223,0,n3280-1,n3057
224,0,n3559-1,n3279
225,0,n3872-1,n3569
226,0,n3896-1,n3600
227,0,n3918-1,n3625
228,0,n3922-1,n3637
229,0,n4051-1,n3752
230,0,n4081-1,n3779
231,0,n4107-1,n3807
232,0,n4190-1,n3890
233,0,n4193-1,n3896
234,0,n4206-1,n3902
235,0,n4209-1,n3906
236,0,n4222-1,n3912
237,0,n4225-1,n3919
238,0,n4236-1,n3925
239,0,n4239-1,n3930
240,0,n4296-1,n3972
241,0,n4301-1,n3982
242,0,n4347-1,n4022
243,0,n4352-1,n4032
244,0,n4386-1,n4067
245,0,n4390-1,n4075
246,0,n4398-1,n4082
247,0,n4402-1,n4086
248,0,n4406-1,n4090
249,0,n4410-1,n4094
250,0,n4420-1,n4101
251,0,n4424-1,n4105
252,0,n4428-1,n4112
253,0,n4432-1,n4116
254,0,n4437-1,n4121
255,0,n1427-1,n1357
256,0,n1858-1,n1746
257,0,n1862-1,n1755
258,0,n1864-1,n1758
259,0,n1887-1,n1766
260,0,n1897-1,n1784
261,0,n1916-1,n1792
262,0,n1918-1,n1796
263,0,n1929-1,n1811
264,0,n1945-1,n1818
265,0,n1947-1,n1822
266,0,n3555-1,n3271
267,0,n3557-1,n3273
268,0,n73-1,n55
269,0,n333-1,n283
270,0,n356-1,n285
271,0,n505-1,n429
272,0,n661-1,n596
273,0,n665-1,n604
274,0,n683-1,n615
275,0,n687-1,n623
276,0,n715-1,n647
277,0,n719-1,n656
278,0,n744-1,n673
279,0,n984-1,n910
280,0,n1122-1,n1038
281,0,n1142-1,n1048
282,0,n1150-1,n1063
283,0,n1156-1,n1077
284,0,n1178-1,n1092
285,0,n1180-1,n1096
286,0,n1452-1,n1370
287,0,n1883-1,n1759
288,0,n2081-1,n1928
289,0,n2124-1,n1966
290,0,n2129-1,n1979
291,0,n2295-1,n2128
292,0,n2316-1,n2137
293,0,n2413-1,n2241
294,0,n2433-1,n2252
295,0,n2577-1,n2396
296,0,n2582-1,n2407
297,0,n2700-1,n2503
298,0,n2706-1,n2512
299,0,n2836-1,n2610
300,0,n4054-1,n3758
301,0,n4077-1,n3773
302,0,n4085-1,n3784
303,0,n4103-1,n3800
304,0,n4111-1,n3811
305,0,n4297-1,n3976
306,0,n4302-1,n3983
307,0,n4348-1,n4026
308,0,n4353-1,n4033
309,0,n358-1,n294
310,0,n360-1,n299
311,0,n364-1,n304
312,0,n366-1,n308
313,0,n479-1,n419
314,0,n504-1,n425
315,0,n635-1,n572
316,0,n645-1,n584
317,0,n660-1,n593
318,0,n662-1,n598
319,0,n664-1,n602
320,0,n682-1,n614
321,0,n684-1,n618
322,0,n686-1,n621
323,0,n712-1,n641
324,0,n714-1,n645
325,0,n716-1,n650
326,0,n718-1,n653
327,0,n723-1,n664
328,0,n743-1,n671
329,0,n1010-1,n914
330,0,n1115-1,n1026
331,0,n1148-1,n1059
332,0,n1174-1,n1081
333,0,n1490-1,n1401
334,0,n1760-1,n1651
335,0,n1783-1,n1666
336,0,n1786-1,n1671
337,0,n1859-1,n1749
338,0,n1861-1,n1754
339,0,n1884-1,n1763
340,0,n1886-1,n1765
341,0,n1917-1,n1793
342,0,n1946-1,n1820
343,0,n1957-1,n1838
344,0,n2109-1,n1959
345,0,n2315-1,n2134
346,0,n2386-1,n2217
347,0,n2406-1,n2228
348,0,n2547-1,n2371
349,0,n2575-1,n2394
350,0,n2579-1,n2399
351,0,n2581-1,n2405
352,0,n2703-1,n2508
353,0,n2733-1,n2515
354,0,n3281-1,n3043
355,0,n3284-1,n3046
356,0,n3287-1,n3049
357,0,n3290-1,n3052
358,0,n3874-1,n3573
359,0,n4048-1,n3746
360,0,n4050-1,n3751
361,0,n4056-1,n3762
362,0,n4075-1,n3771
363,0,n4079-1,n3776
364,0,n4087-1,n3788
365,0,n4101-1,n3798
366,0,n4105-1,n3803
367,0,n156-1,n126
368,0,n163-1,n140
369,0,n203-1,n144
370,0,n368-1,n314
371,0,n394-1,n318
372,0,n752-1,n689
373,0,n1012-1,n920
374,0,n1016-1,n929
375,0,n1212-1,n1128
376,0,n1756-1,n1639
377,0,n1860-1,n1750
378,0,n2082-1,n1929
379,0,n2107-1,n1954
380,0,n2284-1,n2114
381,0,n2288-1,n2118
382,0,n2290-1,n2122
383,0,n2292-1,n2125
384,0,n2296-1,n2129
385,0,n2736-1,n2519
386,0,n2742-1,n2528
387,0,n2834-1,n2603
388,0,n2837-1,n2611
389,0,n2859-1,n2625
390,0,n3293-1,n3055
391,0,n3297-1,n3061
392,0,n3301-1,n3065
393,0,n3305-1,n3069
394,0,n3552-1,n3270
395,0,n4013-1,n3715
396,0,n4269-1,n3948
397,0,n4275-1,n3957
398,0,n4298-1,n3977
399,0,n4303-1,n3985
400,0,n4319-1,n3999
401,0,n4325-1,n4008
402,0,n4349-1,n4027
403,0,n4354-1,n4035
404,0,n4375-1,n4049
405,0,n4381-1,n4058
406,0,n205-1,n150
407,0,n207-1,n156
408,0,n396-1,n324
409,0,n398-1,n329
410,0,n473-1,n411
411,0,n475-1,n413
412,0,n477-1,n416
413,0,n659-1,n591
414,0,n663-1,n599
415,0,n681-1,n611
416,0,n685-1,n620
417,0,n711-1,n640
418,0,n713-1,n643
419,0,n717-1,n651
420,0,n722-1,n662
421,0,n740-1,n666
422,0,n742-1,n669
423,0,n747-1,n679
424,0,n751-1,n687
425,0,n776-1,n705
426,0,n1014-1,n923
427,0,n1018-1,n933
428,0,n1113-1,n1022
429,0,n1146-1,n1055
430,0,n1182-1,n1100
431,0,n1207-1,n1119
432,0,n1211-1,n1127
433,0,n1243-1,n1158
434,0,n1738-1,n1629
435,0,n1885-1,n1764
436,0,n1958-1,n1840
437,0,n2097-1,n1945
438,0,n2283-1,n2105
439,0,n2289-1,n2120
440,0,n2291-1,n2123
441,0,n2314-1,n2132
442,0,n2414-1,n2242
443,0,n2434-1,n2253
444,0,n2573-1,n2390
445,0,n2580-1,n2402
446,0,n2739-1,n2524
447,0,n2745-1,n2532
448,0,n2855-1,n2612
449,0,n2892-1,n2660
450,0,n3019-1,n2780
