onset_sec,duration_sec,pitch,velocity,track,channel,id
2.0072095,0.3592411,63,85,0,0,n0
2.008545,0.35790563,51,89,0,0,n1
2.1567822,1.563834,54,97,0,0,n2
2.159453,1.3942294,42,93,0,0,n3
3.5483406,0.1535789,63,87,0,0,n4
3.5483406,0.15491438,75,88,0,0,n5
3.5536823,0.16826907,42,95,0,0,n6
3.5550177,0.46474314,30,95,0,0,n7
3.5576887,0.15224344,72,75,0,0,n8
3.564366,0.14423062,69,73,0,0,n9
3.7019193,3.4682124,63,94,0,0,n10
3.703255,3.6845584,75,95,0,0,n11
3.7085967,3.4722188,69,74,0,0,n12
3.709932,3.438832,72,77,0,0,n13
3.7206159,3.438832,54,96,0,0,n14
3.7219515,3.6658616,42,87,0,0,n15
7.148764,0.1495725,72,84,0,0,n16
7.159448,0.1535789,54,60,0,0,n17
7.1701317,0.13621782,63,52,0,0,n18
7.1808157,0.1322114,69,55,0,0,n19
7.2983365,0.3725958,72,82,0,0,n20
7.3063498,2.099357,63,63,0,0,n21
7.313027,2.0926795,54,51,0,0,n22
7.313027,2.0926795,69,63,0,0,n23
7.541392,0.1963139,74,66,0,0,n24
7.6709323,0.1535789,72,52,0,0,n25
7.7377057,0.15624985,74,62,0,0,n26
7.8245115,0.14690156,72,58,0,0,n27
7.8939557,0.17628187,74,57,0,0,n28
7.971413,0.15624985,72,62,0,0,n29
8.070238,0.15491438,74,56,0,0,n30
8.127663,0.15624985,72,55,0,0,n31
8.225152,0.14690156,74,52,0,0,n32
8.283913,0.16292718,72,44,0,0,n33
8.372053,0.15624985,74,52,0,0,n34
8.44684,0.16025625,72,47,0,0,n35
8.528303,0.12553406,74,54,0,0,n36
8.607096,0.13888875,72,44,0,0,n37
8.653837,0.7518689,74,67,0,0,n38
8.745985,0.28445485,72,26,0,0,n39
8.872854,0.45005298,71,45,0,0,n40
9.030439,0.38194406,72,63,0,0,n41
9.322907,0.82665515,71,54,0,0,n42
9.350952,0.7986103,55,23,0,0,n43
9.361636,0.78792655,62,20,0,0,n44
9.37499,0.7745719,67,12,0,0,n45
10.942831,1.0376592,72,51,0,0,n46
10.95485,1.02564,48,37,0,0,n47
10.962863,1.0176272,55,31,0,0,n48
10.974882,1.005608,60,27,0,0,n49
10.974882,1.005608,63,19,0,0,n50
11.004263,0.97622764,67,8,0,0,n51
12.016548,0.8333325,35,70,0,0,n52
12.146089,1.0029371,38,75,0,0,n53
12.255597,0.89342856,43,81,0,0,n54
12.354422,0.48878157,47,64,0,0,n55
12.431879,0.7171467,50,79,0,0,n56
12.487968,0.66105705,55,72,0,0,n57
