idx,matchtype,partid,ppartid
0,0,n4436-1,n4150
1,0,n1759-1,n1624
2,0,n1785-1,n1650
3,0,n2108-1,n1941
4,0,n1755-1,n1612
5,0,n2106-1,n1938
6,0,n2858-1,n2625
7,0,n1737-1,n1601
8,0,n2096-1,n1929
9,0,n2854-1,n2610
10,0,n3309-1,n3081
11,0,n39-1,n6
12,0,n507-1,n410
13,0,n1733-1,n1590
14,0,n2067-1,n1908
15,0,n2094-1,n1926
16,0,n2354-1,n2143
17,0,n2356-1,n2155
18,0,n2360-1,n2166
19,0,n2362-1,n2175
20,0,n418-1,n324
21,0,n508-1,n412
22,0,n526-1,n416
23,0,n527-1,n423
24,0,n531-1,n435
25,0,n533-1,n437
26,0,n535-1,n439
27,0,n537-1,n441
28,0,n539-1,n443
29,0,n541-1,n445
30,0,n543-1,n447
31,0,n545-1,n449
32,0,n547-1,n451
33,0,n549-1,n453
34,0,n551-1,n455
35,0,n553-1,n457
36,0,n555-1,n459
37,0,n557-1,n461
38,0,n559-1,n463
39,0,n561-1,n465
40,0,n567-1,n468
41,0,n569-1,n473
42,0,n571-1,n475
43,0,n573-1,n477
44,0,n575-1,n479
45,0,n577-1,n481
46,0,n579-1,n483
47,0,n581-1,n485
48,0,n603-1,n489
49,0,n605-1,n493
50,0,n607-1,n498
51,0,n609-1,n502
52,0,n611-1,n506
53,0,n613-1,n510
54,0,n615-1,n514
55,0,n617-1,n518
56,0,n625-1,n527
57,0,n637-1,n540
58,0,n876-1,n780
59,0,n943-1,n843
60,0,n970-1,n846
61,0,n972-1,n852
62,0,n1715-1,n1578
63,0,n1891-1,n1754
64,0,n1923-1,n1783
65,0,n1952-1,n1809
66,0,n2055-1,n1899
67,0,n2084-1,n1920
68,0,n2110-1,n1946
69,0,n2125-1,n1953
70,0,n2137-1,n1970
71,0,n2353-1,n2139
72,0,n2376-1,n2185
73,0,n2384-1,n2199
74,0,n2404-1,n2211
75,0,n2412-1,n2224
76,0,n2432-1,n2238
77,0,n2440-1,n2252
78,0,n2460-1,n2263
79,0,n2468-1,n2279
80,0,n2490-1,n2293
81,0,n2498-1,n2309
82,0,n2650-1,n2444
83,0,n2652-1,n2451
84,0,n2654-1,n2453
85,0,n2656-1,n2458
86,0,n3343-1,n3109
87,0,n3920-1,n3647
88,0,n3946-1,n3671
89,0,n408-1,n321
90,0,n532-1,n436
91,0,n534-1,n438
92,0,n536-1,n440
93,0,n538-1,n442
94,0,n540-1,n444
95,0,n542-1,n446
96,0,n544-1,n448
97,0,n546-1,n450
98,0,n548-1,n452
99,0,n550-1,n454
100,0,n552-1,n456
101,0,n554-1,n458
102,0,n556-1,n460
103,0,n558-1,n462
104,0,n560-1,n464
105,0,n562-1,n466
106,0,n568-1,n472
107,0,n570-1,n474
108,0,n572-1,n476
109,0,n574-1,n478
110,0,n576-1,n480
111,0,n578-1,n482
112,0,n580-1,n484
113,0,n582-1,n486
114,0,n604-1,n491
115,0,n606-1,n496
116,0,n608-1,n500
117,0,n610-1,n504
118,0,n612-1,n508
119,0,n614-1,n512
120,0,n616-1,n516
121,0,n1420-1,n1307
122,0,n1711-1,n1567
123,0,n1735-1,n1595
124,0,n1757-1,n1619
125,0,n1761-1,n1631
126,0,n1890-1,n1752
127,0,n1892-1,n1757
128,0,n1922-1,n1782
129,0,n1924-1,n1784
130,0,n1951-1,n1808
131,0,n1953-1,n1811
132,0,n2047-1,n1895
133,0,n2098-1,n1933
134,0,n2321-1,n2136
135,0,n3916-1,n3634
136,0,n618-1,n520
137,0,n626-1,n528
138,0,n638-1,n542
139,0,n974-1,n857
140,0,n2320-1,n2132
