onset_sec,duration_sec,pitch,velocity,track,channel,id
0.51949733,1.4262806,58,36,0,0,n0
0.5341875,1.5478083,53,28,0,0,n1
0.55956143,1.5224344,41,29,0,0,n2
0.57158065,1.5104152,46,31,0,0,n3
0.6116447,1.4703511,34,25,0,0,n4
1.945778,1.1151164,58,35,0,0,n5
1.9551263,1.5331181,54,34,0,0,n6
1.96581,1.5224344,49,35,0,0,n7
1.9805001,1.5077442,42,31,0,0,n8
1.9925194,1.495725,37,26,0,0,n9
3.0608945,0.28846124,58,44,0,0,n10
3.3493557,2.6602538,58,41,0,0,n11
3.3627102,1.4810349,41,34,0,0,n12
3.3627102,1.4810349,46,34,0,0,n13
3.3627102,1.4810349,53,22,0,0,n14
3.3800714,1.4636737,34,28,0,0,n15
4.6487665,1.601227,54,31,0,0,n16
4.655444,1.5945497,42,31,0,0,n17
4.683489,1.5665048,49,26,0,0,n18
4.708863,1.5411309,37,28,0,0,n19
6.009609,1.3528298,58,39,0,0,n20
6.0376544,1.5090797,41,28,0,0,n21
6.0376544,1.5090797,46,28,0,0,n22
6.0389895,1.5077442,53,29,0,0,n23
6.06837,1.4783639,34,27,0,0,n24
7.362439,1.0990908,58,46,0,0,n25
7.390484,1.5531502,42,34,0,0,n26
7.398497,1.5451373,54,33,0,0,n27
7.4105163,1.5331181,49,29,0,0,n28
7.453251,1.4903831,37,24,0,0,n29
8.46153,0.28445485,58,44,0,0,n30
8.745985,2.6335444,58,44,0,0,n31
8.783378,1.4663447,41,24,0,0,n32
8.786049,1.4636737,53,32,0,0,n33
8.796733,1.45299,46,26,0,0,n34
8.812758,1.4369644,34,28,0,0,n35
10.042725,1.563834,54,35,0,0,n36
10.046731,1.5598274,42,33,0,0,n37
10.0627575,1.5438019,49,29,0,0,n38
10.101485,1.5050733,37,26,0,0,n39
11.379529,1.3581717,58,52,0,0,n40
11.424935,1.518428,53,28,0,0,n41
11.430277,1.5130861,41,24,0,0,n42
11.4476385,1.495725,46,25,0,0,n43
11.46767,1.475693,34,24,0,0,n44
12.7377,1.1177874,58,52,0,0,n45
12.756397,1.5331181,54,39,0,0,n46
12.785778,1.5037378,49,34,0,0,n47
12.79112,1.4983959,42,31,0,0,n48
12.836526,1.45299,37,23,0,0,n49
13.855488,0.24572624,58,51,0,0,n50
14.101214,1.5451373,58,44,0,0,n51
14.1546335,1.4917186,53,39,0,0,n52
14.170659,1.475693,46,26,0,0,n53
14.184013,1.4623383,41,27,0,0,n54
14.186685,1.4596673,34,28,0,0,n55
15.436684,1.2900628,61,61,0,0,n56
15.480754,1.4796994,54,36,0,0,n57
15.494108,1.4663447,42,32,0,0,n58
15.512805,1.4476482,49,26,0,0,n59
15.531502,1.4289516,37,26,0,0,n60
16.456982,0.35657015,60,49,0,0,n61
16.726746,0.23370703,61,49,0,0,n62
16.81355,1.5331181,60,44,0,0,n63
16.840261,1.5064087,41,30,0,0,n64
16.848274,1.4983959,46,33,0,0,n65
16.874983,1.4716866,34,29,0,0,n66
16.877653,1.4690156,53,33,0,0,n67
17.864565,0.2951386,58,44,0,0,n68
18.159704,1.0830652,58,38,0,0,n69
18.191755,1.5531502,54,38,0,0,n70
18.210451,1.5344536,42,29,0,0,n71
18.226477,1.518428,49,27,0,0,n72
18.238497,1.5064087,37,22,0,0,n73
19.24277,0.31784156,58,44,0,0,n74
19.560612,2.7136724,58,44,0,0,n75
19.580643,1.5210989,53,28,0,0,n76
19.581978,1.5197635,41,29,0,0,n77
19.600676,1.5010669,46,25,0,0,n78
19.623379,1.4783639,34,25,0,0,n79
20.861357,1.6252655,54,38,0,0,n80
20.90142,1.5852014,42,31,0,0,n81
20.91077,1.5758531,49,30,0,0,n82
20.945492,1.5411309,37,15,0,0,n83
22.243568,1.412926,61,52,0,0,n84
22.274282,1.4196032,58,32,0,0,n85
22.279625,1.6038979,41,31,0,0,n86
22.286303,1.5972207,46,29,0,0,n87
22.287638,1.5958852,53,26,0,0,n88
22.29565,1.5878724,34,30,0,0,n89
23.656494,1.0750524,61,58,0,0,n90
23.688545,1.4810349,49,35,0,0,n91
23.693886,1.0376592,58,47,0,0,n92
23.696558,1.473022,54,40,0,0,n93
23.705906,1.4636737,42,36,0,0,n94
23.724602,1.4449772,37,31,0,0,n95
24.731546,0.30048046,58,52,0,0,n96
24.731546,0.27510655,61,49,0,0,n97
25.006653,1.4049131,61,51,0,0,n98
25.032026,1.5544857,58,40,0,0,n99
25.046717,1.5397955,53,40,0,0,n100
25.058735,1.5277762,41,32,0,0,n101
25.064077,1.5224344,46,35,0,0,n102
25.082773,1.5037378,34,32,0,0,n103
26.374172,1.2593471,65,61,0,0,n104
26.411566,1.4115905,61,42,0,0,n105
26.420914,1.4022422,54,44,0,0,n106
26.43694,1.3862165,49,36,0,0,n107
26.456972,1.3661845,42,35,0,0,n108
26.478338,1.344817,37,32,0,0,n109
27.355742,0.33253172,63,60,0,0,n110
27.37978,0.33920905,60,45,0,0,n111
27.63352,0.18963656,65,48,0,0,n112
27.688274,1.4423063,63,53,0,0,n113
27.702963,1.4276161,53,38,0,0,n114
27.71899,1.4115905,60,37,0,0,n115
27.743029,1.387552,46,37,0,0,n116
27.753712,1.3768682,41,32,0,0,n117
27.77508,1.3555008,34,32,0,0,n118
28.648476,0.2871258,61,45,0,0,n119
28.660496,0.3031514,58,39,0,0,n120
28.935602,1.0176272,61,43,0,0,n121
28.963646,0.9869114,58,36,0,0,n122
28.983679,1.5037378,54,39,0,0,n123
29.01573,1.4716866,42,33,0,0,n124
29.01573,1.4716866,49,29,0,0,n125
29.066477,1.4209387,37,23,0,0,n126
29.950558,0.32318345,58,40,0,0,n127
29.953228,0.29647407,61,37,0,0,n128
30.249702,2.8151681,61,37,0,0,n129
30.27374,2.8672514,58,25,0,0,n130
30.287096,1.4356289,53,33,0,0,n131
30.31247,1.410255,46,29,0,0,n132
30.316477,1.4062486,41,26,0,0,n133
30.335173,1.387552,34,26,0,0,n134
31.558462,1.8295922,54,43,0,0,n135
31.5825,1.8055538,49,35,0,0,n136
31.591848,1.7962055,42,36,0,0,n137
31.637255,1.7507995,37,27,0,0,n138
33.051517,1.4943895,70,74,0,0,n139
33.06487,1.324785,61,39,0,0,n140
33.136986,1.4089196,46,31,0,0,n141
33.14099,1.2446569,58,40,0,0,n142
33.151676,1.3942294,41,32,0,0,n143
33.17705,1.3688555,34,26,0,0,n144
33.66049,0.6063028,68,75,0,0,n145
34.266792,0.27911296,68,56,0,0,n146
34.34158,1.5010669,66,59,0,0,n147
34.384315,1.4583318,49,35,0,0,n148
34.38565,1.3154367,58,36,0,0,n149
34.389656,1.3020821,61,31,0,0,n150
34.407017,1.4356289,42,32,0,0,n151
34.439068,1.4035777,37,25,0,0,n152
35.371223,0.27911296,65,52,0,0,n153
35.650337,1.53846,65,44,0,0,n154
35.69174,1.2593471,61,34,0,0,n155
35.701088,1.4877121,41,31,0,0,n156
35.701088,1.2833855,58,34,0,0,n157
35.70376,1.4850413,46,34,0,0,n158
35.72913,1.4596673,34,22,0,0,n159
36.951084,1.4636737,61,34,0,0,n160
36.97646,1.6880325,49,36,0,0,n161
36.9818,1.6826906,42,37,0,0,n162
36.98447,1.4770285,58,29,0,0,n163
37.007175,1.6573167,37,28,0,0,n164
38.40541,1.3982358,70,75,0,0,n165
38.414757,1.2406504,61,41,0,0,n166
38.4615,1.1992509,58,45,0,0,n167
38.48287,1.3207786,46,33,0,0,n168
38.49756,1.3060884,41,33,0,0,n169
38.5029,1.3007466,34,29,0,0,n170
38.999695,0.5622323,68,70,0,0,n171
39.561928,0.24171984,68,48,0,0,n172
39.63671,1.493054,66,57,0,0,n173
39.65541,1.3474879,61,22,0,0,n174
39.66075,1.3581717,58,42,0,0,n175
39.686127,1.4436417,49,38,0,0,n176
39.695473,1.4342934,42,35,0,0,n177
39.702152,1.4276161,37,34,0,0,n178
40.670364,0.299145,65,45,0,0,n179
40.96951,1.5371245,65,47,0,0,n180
41.002895,1.2860564,61,34,0,0,n181
41.017586,1.4890476,41,27,0,0,n182
41.01892,1.2833855,58,35,0,0,n183
41.036285,1.4703511,34,27,0,0,n184
41.038956,1.4676802,46,29,0,0,n185
42.28895,1.5331181,61,41,0,0,n186
42.302307,1.304753,58,38,0,0,n187
42.316998,1.5050733,49,35,0,0,n188
42.319668,1.5024023,42,33,0,0,n189
42.322342,1.4997314,37,34,0,0,n190
43.60706,1.2847209,58,45,0,0,n191
43.62843,1.5210989,53,32,0,0,n192
43.629765,1.5197635,46,35,0,0,n193
43.63377,1.5157571,41,29,0,0,n194
43.664486,1.4850413,34,30,0,0,n195
44.89178,1.1017617,58,49,0,0,n196
44.922497,1.5838659,54,37,0,0,n197
44.93051,1.5758531,49,34,0,0,n198
44.946537,1.5598274,42,37,0,0,n199
44.99595,1.5104152,37,26,0,0,n200
45.993546,0.299145,58,48,0,0,n201
46.29269,1.5678403,58,47,0,0,n202
46.296696,1.563834,46,38,0,0,n203
46.302036,1.5584921,53,44,0,0,n204
46.319397,1.5411309,41,35,0,0,n205
46.340767,1.5197635,34,31,0,0,n206
47.656204,1.3167722,61,58,0,0,n207
47.68024,1.5264407,42,31,0,0,n208
47.681576,1.5251054,49,31,0,0,n209
47.693596,1.5130861,54,41,0,0,n210
47.70962,1.4970604,37,33,0,0,n211
48.711224,0.30048046,60,49,0,0,n212
48.972973,0.23370703,61,29,0,0,n213
49.011703,1.4943895,60,53,0,0,n214
49.031734,1.4743575,53,34,0,0,n215
49.046425,1.4596673,46,35,0,0,n216
49.073135,1.432958,41,27,0,0,n217
49.078476,1.4276161,34,27,0,0,n218
