onset_sec,duration_sec,pitch,velocity,track,channel,id
1.5144216,0.41933718,37,59,0,0,n0
1.5758531,0.35790563,44,94,0,0,n1
1.6052334,0.3285253,49,109,0,0,n2
2.0379252,0.91078967,44,99,0,0,n3
2.0392609,0.91746706,49,112,0,0,n4
2.475959,0.9481828,37,96,0,0,n5
2.948715,0.9481828,44,101,0,0,n6
2.9567277,0.9361636,49,105,0,0,n7
3.424142,0.9241444,37,91,0,0,n8
3.8928914,0.9147961,49,103,0,0,n9
3.8968978,0.90544784,44,96,0,0,n10
4.348286,0.73183686,37,94,0,0,n11
4.8023458,0.34855735,44,93,0,0,n12
4.8076873,0.4180017,49,107,0,0,n13
5.080123,0.38862142,37,75,0,0,n14
5.1509027,0.31784156,44,72,0,0,n15
5.2256894,0.24305531,49,96,0,0,n16
5.248392,0.22035234,56,119,0,0,n17
5.703787,0.8854158,49,95,0,0,n18
5.706458,0.8894222,44,84,0,0,n19
5.7104645,0.88274485,56,111,0,0,n20
6.1257954,0.91746706,37,94,0,0,n21
6.589203,0.9254798,49,86,0,0,n22
6.5932093,0.9121252,56,107,0,0,n23
6.59588,0.9188025,44,76,0,0,n24
7.043262,0.93883455,37,87,0,0,n25
7.5053344,0.8894222,56,104,0,0,n26
7.514683,0.8680547,44,74,0,0,n27
7.514683,0.8733966,49,86,0,0,n28
7.9820967,1.1498386,37,89,0,0,n29
8.382737,0.74919796,44,80,0,0,n30
8.38808,0.35256374,49,87,0,0,n31
8.394756,0.40331155,56,104,0,0,n32
8.740643,0.47676235,49,74,0,0,n33
8.798068,0.3338672,56,69,0,0,n34
8.824778,0.3071578,61,99,0,0,n35
8.8341255,0.29780954,65,99,0,0,n36
8.835462,0.29647407,68,89,0,0,n37
8.839468,0.29246765,77,94,0,0,n38
8.856829,0.27510655,67,80,0,0,n39
9.233431,0.88675123,61,97,0,0,n40
9.2401085,0.8920931,53,77,0,0,n41
9.241444,0.028044844,65,105,0,0,n42
9.242779,0.8854158,56,91,0,0,n43
9.246785,0.020032031,73,98,0,0,n44
9.249456,0.0213675,77,95,0,0,n45
9.675471,0.88274485,49,98,0,0,n46
9.679478,0.88675123,37,82,0,0,n47
10.120182,0.8800739,61,91,0,0,n48
10.124188,0.88140935,65,104,0,0,n49
10.12686,0.88274485,73,104,0,0,n50
10.128195,0.8800739,56,84,0,0,n51
10.128195,0.87873846,77,93,0,0,n52
10.132201,1.2580116,53,75,0,0,n53
10.558216,0.4567303,49,101,0,0,n54
10.566229,0.8239842,37,85,0,0,n55
11.000257,0.38995686,61,101,0,0,n56
11.005598,0.384615,65,101,0,0,n57
11.006933,0.38327953,77,99,0,0,n58
11.008269,0.38194406,56,78,0,0,n59
11.009604,0.3806086,73,94,0,0,n60
11.014946,0.37526673,49,77,0,0,n61
11.299401,0.09081188,60,85,0,0,n62
11.300736,0.08947641,64,94,0,0,n63
11.306079,0.084134534,76,85,0,0,n64
11.308749,0.08146359,72,77,0,0,n65
11.404903,0.92681533,65,100,0,0,n66
11.407574,0.9241444,77,102,0,0,n67
11.40891,0.9228089,73,95,0,0,n68
11.41158,0.92013794,61,103,0,0,n69
11.420929,0.91078967,49,85,0,0,n70
11.424935,0.44070467,56,66,0,0,n71
11.86564,0.37927312,56,91,0,0,n72
11.869646,0.4620722,53,77,0,0,n73
12.190159,0.9788986,48,58,0,0,n74
12.244913,0.13488235,56,71,0,0,n75
12.298331,0.1535789,63,101,0,0,n76
12.299667,0.22702968,68,90,0,0,n77
12.299667,0.15491438,75,97,0,0,n78
12.303674,0.10817297,60,99,0,0,n79
12.729688,0.88808674,60,101,0,0,n80
12.732359,0.89476407,63,99,0,0,n81
12.732359,1.262018,68,87,0,0,n82
12.73503,0.90010595,75,99,0,0,n83
12.7377,0.8920931,51,83,0,0,n84
12.741708,0.8760675,56,67,0,0,n85
12.755062,1.239315,55,71,0,0,n86
13.169057,0.8253197,48,101,0,0,n87
13.177071,0.8173069,36,90,0,0,n88
13.617775,0.37660217,56,88,0,0,n89
13.617775,0.37660217,60,91,0,0,n90
13.627123,0.8840803,63,108,0,0,n91
13.627123,0.8840803,72,88,0,0,n92
13.629794,0.36458296,51,86,0,0,n93
13.635136,0.48076874,75,96,0,0,n94
14.074505,0.7999458,48,101,0,0,n95
14.083854,0.03338672,36,86,0,0,n96
14.511204,0.3632475,63,104,0,0,n97
