idx,matchtype,partid,ppartid
0,0,n1179-1,n1033
1,0,n593-1,n514
2,0,n834-1,n725
3,0,n2040-1,n1629
4,0,n4551-1,n3747
5,0,n5544-1,n4739
6,0,n5682-1,n4915
7,0,n495-1,n417
8,0,n595-1,n516
9,0,n738-1,n632
10,0,n836-1,n727
11,0,n1178-1,n1031
12,0,n5542-1,n4737
13,0,n5574-1,n4795
14,0,n5596-1,n4822
15,0,n5618-1,n4847
16,0,n5640-1,n4873
17,0,n4553-1,n3749
18,0,n5506-1,n4718
19,0,n5552-1,n4756
20,0,n5578-1,n4807
21,0,n5600-1,n4832
22,0,n5622-1,n4858
23,0,n5644-1,n4883
24,0,n247-1,n209
25,0,n481-1,n414
26,0,n614-1,n521
27,0,n616-1,n523
28,0,n855-1,n732
29,0,n857-1,n734
30,0,n1176-1,n1029
31,0,n2094-1,n1642
32,0,n2103-1,n1669
33,0,n5504-1,n4710
34,0,n5554-1,n4752
35,0,n4570-1,n3751
36,0,n4758-1,n3931
37,0,n4760-1,n3935
38,0,n5502-1,n4705
39,0,n5556-1,n4774
40,0,n5683-1,n4916
41,0,n619-1,n529
42,0,n1174-1,n1027
43,0,n1177-1,n1030
44,0,n1781-1,n1456
45,0,n1789-1,n1467
46,0,n2009-1,n1596
47,0,n2015-1,n1610
48,0,n2354-1,n1859
49,0,n2355-1,n1860
50,0,n4146-1,n3336
51,0,n4173-1,n3366
52,0,n4200-1,n3392
53,0,n4227-1,n3419
54,0,n4254-1,n3447
55,0,n4281-1,n3472
56,0,n4306-1,n3497
57,0,n4331-1,n3519
58,0,n4360-1,n3543
59,0,n4390-1,n3573
60,0,n4415-1,n3600
61,0,n4445-1,n3628
62,0,n4470-1,n3654
63,0,n4500-1,n3681
64,0,n4523-1,n3706
65,0,n4545-1,n3730
66,0,n4572-1,n3753
67,0,n4704-1,n3892
68,0,n4906-1,n4085
69,0,n4984-1,n4165
70,0,n5002-1,n4186
71,0,n5026-1,n4194
72,0,n5031-1,n4213
73,0,n5054-1,n4224
74,0,n5059-1,n4238
75,0,n5082-1,n4253
76,0,n5110-1,n4282
77,0,n5116-1,n4298
78,0,n5140-1,n4312
79,0,n5146-1,n4330
80,0,n5170-1,n4346
81,0,n5175-1,n4360
82,0,n5196-1,n4373
83,0,n5201-1,n4386
84,0,n5222-1,n4397
85,0,n5228-1,n4414
86,0,n5500-1,n4698
87,0,n5572-1,n4783
88,0,n5576-1,n4801
89,0,n5594-1,n4815
90,0,n5598-1,n4826
91,0,n5616-1,n4841
92,0,n5620-1,n4852
93,0,n5638-1,n4866
94,0,n5642-1,n4875
95,0,n5657-1,n4888
96,0,n5699-1,n4923
97,0,n5726-1,n4955
98,0,n5737-1,n4963
99,0,n325-1,n278
100,0,n347-1,n290
101,0,n4832-1,n4003
102,0,n4901-1,n4071
103,0,n4962-1,n4132
104,0,n4980-1,n4152
105,0,n4998-1,n4176
106,0,n5498-1,n4692
107,0,n109-1,n88
108,0,n125-1,n96
109,0,n617-1,n524
110,0,n622-1,n536
