onset_sec,duration_sec,pitch,velocity,track,channel,id
0.509375,1.6321875,70,50,0,0,n0
0.53,1.6115625,58,36,0,0,n1
1.009375,0.739375,65,29,0,0,n2
1.401875,0.785625,62,35,0,0,n3
1.74875,0.490625,65,39,0,0,n4
2.12375,0.579375,74,63,0,0,n5
2.151875,1.6303124,58,34,0,0,n6
2.5478125,0.4865625,65,36,0,0,n7
2.6165626,0.1040625,75,56,0,0,n8
2.725,0.083125,74,66,0,0,n9
2.8259375,0.10625,72,71,0,0,n10
2.9446876,0.8375,74,70,0,0,n11
2.9634376,0.8303125,62,31,0,0,n12
3.3175,0.4646875,75,72,0,0,n13
3.33625,0.4459375,65,38,0,0,n14
3.7259376,1.7165625,76,71,0,0,n15
3.7675,1.6084375,57,36,0,0,n16
4.1946874,0.7759375,65,33,0,0,n17
4.5696874,0.8728125,60,42,0,0,n18
4.951875,0.490625,77,60,0,0,n19
4.970625,0.471875,65,33,0,0,n20
5.3759375,1.6709375,57,35,0,0,n21
5.3853126,0.4928125,72,52,0,0,n22
5.8165627,0.7884375,65,23,0,0,n23
6.2,0.846875,60,42,0,0,n24
6.605,0.54375,65,40,0,0,n25
7.028125,0.628125,75,64,0,0,n26
7.0675,1.616875,55,38,0,0,n27
7.4884377,0.4,63,38,0,0,n28
7.546875,0.276875,77,64,0,0,n29
7.65625,0.1675,75,68,0,0,n30
7.75625,0.1165625,74,73,0,0,n31
7.86125,0.823125,75,77,0,0,n32
7.865625,0.81875,58,44,0,0,n33
8.258125,0.4646875,77,83,0,0,n34
8.270625,0.41375,63,49,0,0,n35
8.641562,0.6021875,79,79,0,0,n36
8.663438,1.640625,51,51,0,0,n37
9.058125,0.4178125,58,39,0,0,n38
9.14375,0.120625,81,65,0,0,n39
9.24375,0.0915625,79,76,0,0,n40
9.3375,0.1290625,77,81,0,0,n41
9.438437,0.865625,79,88,0,0,n42
9.46125,0.8428125,55,43,0,0,n43
9.828125,0.44375,81,78,0,0,n44
9.84375,0.551875,58,44,0,0,n45
10.271875,1.7040625,50,41,0,0,n46
10.271875,1.7134376,81,80,0,0,n47
10.75,0.80625,58,38,0,0,n48
11.145625,0.885625,53,44,0,0,n49
11.5375,0.4478125,82,66,0,0,n50
11.55625,0.4290625,58,35,0,0,n51
11.964375,1.7959375,77,56,0,0,n52
11.975938,1.784375,50,36,0,0,n53
12.39875,0.8146875,58,33,0,0,n54
12.791562,0.9771875,53,41,0,0,n55
13.213437,0.6709375,58,40,0,0,n56
13.665625,1.4321876,79,75,0,0,n57
13.69375,0.86875,51,41,0,0,n58
14.145625,2.1146874,55,41,0,0,n59
14.5625,0.584375,51,45,0,0,n60
14.919687,0.2271875,80,71,0,0,n61
14.960313,0.4446875,59,41,0,0,n62
15.097813,0.290625,79,80,0,0,n63
15.325,0.4625,77,76,0,0,n64
15.353125,0.533125,51,44,0,0,n65
15.755,0.428125,75,66,0,0,n66
15.76875,0.4259375,60,35,0,0,n67
16.1675,0.403125,74,65,0,0,n68
16.194687,0.9084375,51,42,0,0,n69
16.608126,0.495,72,66,0,0,n70
16.614374,0.48875,63,42,0,0,n71
17.06875,0.5540625,76,68,0,0,n72
17.125938,0.6040625,50,33,0,0,n73
17.5425,1.0053124,77,60,0,0,n74
17.564375,1.2,53,37,0,0,n75
17.9625,0.801875,50,41,0,0,n76
18.38,0.4575,57,41,0,0,n77
18.38,0.384375,79,62,0,0,n78
18.547813,0.2790625,77,71,0,0,n79
18.755,0.496875,75,65,0,0,n80
18.769688,0.4771875,50,34,0,0,n81
19.160313,0.4521875,74,66,0,0,n82
19.17375,0.48125,58,38,0,0,n83
19.563438,0.9375,72,65,0,0,n84
19.56875,0.9321875,50,37,0,0,n85
19.983126,0.5178125,70,63,0,0,n86
20.03125,0.4696875,62,36,0,0,n87
20.444687,0.6509375,77,63,0,0,n88
20.463438,1.7178125,57,46,0,0,n89
20.914375,1.21875,75,53,0,0,n90
20.940624,0.8103125,65,25,0,0,n91
21.32375,0.8575,60,37,0,0,n92
21.732187,0.4490625,72,63,0,0,n93
21.750938,0.5021875,65,31,0,0,n94
22.133125,0.546875,75,67,0,0,n95
22.16875,1.733125,58,34,0,0,n96
22.589375,1.2584375,74,60,0,0,n97
22.601875,0.4896875,65,32,0,0,n98
23.010313,0.8915625,62,34,0,0,n99
23.419687,0.4821875,70,56,0,0,n100
23.426874,0.475,65,39,0,0,n101
23.847813,1.425,74,61,0,0,n102
23.883125,1.6,53,28,0,0,n103
24.28,0.82625,62,35,0,0,n104
24.725,0.814375,58,37,0,0,n105
25.094688,0.3884375,75,51,0,0,n106
25.10625,0.376875,62,38,0,0,n107
25.272812,0.2415625,74,53,0,0,n108
25.528126,0.4759375,72,49,0,0,n109
25.544687,0.7584375,53,33,0,0,n110
25.554062,0.8946875,57,31,0,0,n111
25.554062,0.878125,60,25,0,0,n112
25.9875,0.6040625,77,61,0,0,n113
26.4375,0.646875,75,52,0,0,n114
26.985313,0.678125,72,46,0,0,n115
27.614374,0.8490625,70,37,0,0,n116
27.628124,1.853125,58,34,0,0,n117
28.276875,0.4271875,65,26,0,0,n118
28.351875,0.1896875,72,50,0,0,n119
28.463438,0.078125,70,57,0,0,n120
28.563438,0.1134375,69,50,0,0,n121
28.6675,0.8865625,61,37,0,0,n122
28.671875,0.83,70,61,0,0,n123
29.051874,0.471875,72,62,0,0,n124
29.084375,0.520625,65,32,0,0,n125
29.471874,0.639375,73,61,0,0,n126
29.48125,1.2946875,58,38,0,0,n127
29.910313,0.4540625,65,39,0,0,n128
30.019688,0.1646875,75,57,0,0,n129
30.11125,0.098125,73,65,0,0,n130
30.21875,0.16125,72,68,0,0,n131
30.30625,0.909375,61,35,0,0,n132
30.344688,0.4821875,73,68,0,0,n133
30.705,0.496875,75,70,0,0,n134
30.729063,0.5196875,65,36,0,0,n135
31.1375,1.764375,76,69,0,0,n136
31.157188,1.6540625,56,40,0,0,n137
31.588438,0.7884375,65,31,0,0,n138
31.972813,0.9290625,60,38,0,0,n139
32.363438,0.5384375,77,61,0,0,n140
32.376877,0.525,65,31,0,0,n141
32.81125,1.83125,56,41,0,0,n142
32.814377,1.828125,72,54,0,0,n143
33.266563,0.8,65,27,0,0,n144
33.663437,0.9790625,60,39,0,0,n145
34.066563,0.5821875,65,39,0,0,n146
34.53,0.703125,75,62,0,0,n147
34.553123,1.726875,54,43,0,0,n148
35.00094,0.478125,63,38,0,0,n149
35.13125,0.2509375,77,60,0,0,n150
35.233124,0.1490625,75,66,0,0,n151
35.329063,0.1134375,74,72,0,0,n152
35.40719,0.8728125,58,46,0,0,n153
35.43844,0.8415625,75,72,0,0,n154
35.8125,0.4728125,63,54,0,0,n155
35.8125,0.476875,77,79,0,0,n156
36.21031,0.6259375,78,79,0,0,n157
36.225937,1.7,51,53,0,0,n158
36.625,0.50625,58,50,0,0,n159
36.728127,0.3353125,80,70,0,0,n160
36.83625,0.209375,78,78,0,0,n161
36.93844,0.1375,77,81,0,0,n162
37.045624,0.8803125,78,90,0,0,n163
37.06344,0.953125,54,52,0,0,n164
37.44375,0.4821875,80,86,0,0,n165
37.4625,0.5675,58,54,0,0,n166
37.8875,1.8165625,81,79,0,0,n167
37.8925,1.8115625,50,50,0,0,n168
38.347813,0.7709375,58,45,0,0,n169
38.726875,1.059375,53,55,0,0,n170
39.079063,0.625,82,77,0,0,n171
39.11875,0.5853125,58,48,0,0,n172
39.5675,1.895,77,77,0,0,n173
39.57594,1.8865625,49,48,0,0,n174
39.997814,0.8053125,58,50,0,0,n175
40.394688,1.2446876,53,51,0,0,n176
40.803123,0.659375,58,50,0,0,n177
41.30406,2.0071876,48,42,0,0,n178
41.42375,0.4115625,76,57,0,0,n179
41.605,2.096875,85,74,0,0,n180
42.04875,0.835625,58,36,0,0,n181
42.46875,1.233125,55,29,0,0,n182
42.884377,0.8175,58,38,0,0,n183
43.31125,1.45,48,33,0,0,n184
43.78625,0.27625,84,54,0,0,n185
43.81125,0.4865625,58,25,0,0,n186
44.001877,0.0896875,82,60,0,0,n187
44.205,0.240625,80,68,0,0,n188
44.225937,0.946875,55,30,0,0,n189
44.403126,0.1009375,79,73,0,0,n190
44.59875,0.5075,58,41,0,0,n191
44.59875,0.2396875,77,73,0,0,n192
44.797813,0.0990625,76,73,0,0,n193
45.03219,1.0134375,79,69,0,0,n194
45.055,1.746875,49,38,0,0,n195
45.50094,0.53125,56,34,0,0,n196
45.908127,1.503125,77,64,0,0,n197
45.95094,0.8509375,53,24,0,0,n198
46.339375,0.579375,56,40,0,0,n199
46.746876,1.5728126,46,48,0,0,n200
47.165627,1.1540625,75,62,0,0,n201
47.19781,0.4853125,55,33,0,0,n202
47.603127,0.7165625,49,35,0,0,n203
48.004063,0.5240625,73,63,0,0,n204
48.033127,0.5584375,55,35,0,0,n205
48.445625,0.635625,72,66,0,0,n206
48.46031,1.7446876,48,35,0,0,n207
48.965626,0.3790625,56,28,0,0,n208
48.98,0.216875,73,57,0,0,n209
