onset_sec,duration_sec,pitch,velocity,track,channel,id
0.5088136,0.037393127,50,65,0,0,n0
0.7171467,1.3314624,43,54,0,0,n1
0.72783047,1.3181076,31,53,0,0,n2
0.72783047,0.057425156,55,63,0,0,n3
0.8186423,0.06944437,50,64,0,0,n4
0.84802264,0.05341875,57,36,0,0,n5
0.91746706,0.036057655,58,65,0,0,n6
1.1952446,0.08680547,57,69,0,0,n7
1.2713662,0.06677344,50,70,0,0,n8
1.3141012,0.07478625,58,66,0,0,n9
1.4062486,0.03205125,60,65,0,0,n10
1.6613231,0.060096093,58,65,0,0,n11
1.7200837,0.06944437,50,64,0,0,n12
1.7668252,0.07745719,60,61,0,0,n13
1.8536307,0.040064063,62,70,0,0,n14
2.1260662,0.05074781,55,68,0,0,n15
2.179485,0.08680547,50,60,0,0,n16
2.2288973,0.06677344,57,60,0,0,n17
2.315703,0.03205125,58,64,0,0,n18
2.325051,0.034722187,46,63,0,0,n19
2.327722,0.040064063,34,54,0,0,n20
2.5627646,0.044070467,48,79,0,0,n21
2.566771,0.07345078,36,75,0,0,n22
2.5707774,0.048076876,57,48,0,0,n23
2.6322088,0.09481828,58,65,0,0,n24
2.6375508,0.09081188,51,61,0,0,n25
2.7417173,0.042735,60,55,0,0,n26
3.0568879,0.034722187,50,59,0,0,n27
3.0649009,0.07478625,54,53,0,0,n28
3.0675716,0.034722187,38,64,0,0,n29
3.1209905,0.07211531,48,53,0,0,n30
3.1637254,0.078792654,55,54,0,0,n31
3.2812467,0.048076876,57,32,0,0,n32
3.587069,0.060096093,55,39,0,0,n33
3.6017592,0.49812984,31,50,0,0,n34
3.6017592,0.45272392,43,52,0,0,n35
3.637817,0.088140935,50,58,0,0,n36
3.6658616,0.09214734,57,52,0,0,n37
3.772699,0.03205125,58,61,0,0,n38
4.0758505,0.03205125,57,73,0,0,n39
4.241449,0.03338672,54,72,0,0,n40
4.278842,0.037393127,38,66,0,0,n41
4.2828484,0.03205125,50,69,0,0,n42
4.499194,1.2727017,31,66,0,0,n43
4.504536,0.037393127,55,66,0,0,n44
4.505872,1.2860564,43,58,0,0,n45
4.5472713,0.088140935,50,66,0,0,n46
4.620722,0.06810891,57,72,0,0,n47
4.70085,0.028044844,58,64,0,0,n48
4.95726,0.07345078,57,46,0,0,n49
5.0320463,0.06276703,50,58,0,0,n50
5.0667686,0.08146359,58,57,0,0,n51
5.173606,0.03071578,60,59,0,0,n52
5.4220033,0.06944437,58,66,0,0,n53
5.492783,0.05208328,50,61,0,0,n54
5.527505,0.06677344,60,59,0,0,n55
5.612975,0.040064063,62,63,0,0,n56
5.854695,0.06143156,55,65,0,0,n57
5.914791,0.07211531,50,62,0,0,n58
5.9748874,0.0641025,57,57,0,0,n59
6.0630283,0.034722187,58,60,0,0,n60
6.0750475,0.03071578,46,73,0,0,n61
6.0777183,0.03338672,34,63,0,0,n62
6.282045,0.078792654,57,47,0,0,n63
6.294064,0.04139953,48,78,0,0,n64
6.3007417,0.05341875,36,66,0,0,n65
6.3608375,0.0641025,51,56,0,0,n66
6.370186,0.10016016,58,57,0,0,n67
6.4650044,0.037393127,60,61,0,0,n68
6.774833,0.03338672,50,79,0,0,n69
6.7788396,0.044070467,38,72,0,0,n70
6.782846,0.10416656,59,65,0,0,n71
6.8068843,0.10817297,53,67,0,0,n72
6.883006,0.084134534,60,64,0,0,n73
6.9617987,0.048076876,62,68,0,0,n74
7.2596083,0.112179376,60,60,0,0,n75
7.262279,0.093482815,51,85,0,0,n76
7.267621,0.112179376,39,83,0,0,n77
7.2916594,0.09615375,55,67,0,0,n78
7.330388,0.08146359,62,73,0,0,n79
7.4212,0.03205125,63,69,0,0,n80
7.745719,0.08547,59,56,0,0,n81
7.7630796,0.09882469,53,68,0,0,n82
7.8191695,0.08680547,60,67,0,0,n83
7.897962,0.05208328,62,80,0,0,n84
7.911317,0.03205125,50,79,0,0,n85
7.917994,0.04139953,38,71,0,0,n86
8.157043,0.06677344,51,101,0,0,n87
8.158379,0.08279906,60,70,0,0,n88
8.159714,0.09081188,39,94,0,0,n89
8.207791,0.10016016,55,72,0,0,n90
8.243849,0.116185784,62,64,0,0,n91
8.360034,0.078792654,63,63,0,0,n92
8.63247,0.06143156,63,63,0,0,n93
8.6364765,0.065437965,48,100,0,0,n94
8.641818,0.07745719,36,91,0,0,n95
8.665856,0.080128126,55,78,0,0,n96
8.689896,0.14423062,65,76,0,0,n97
8.693902,0.05341875,38,41,0,0,n98
8.811422,0.084134534,67,78,0,0,n99
9.133271,0.17094,50,100,0,0,n100
9.139948,0.15224344,66,78,0,0,n101
9.141284,0.16960452,38,92,0,0,n102
9.163986,0.07478625,54,75,0,0,n103
9.246785,0.09214734,67,70,0,0,n104
9.308217,0.08547,69,70,0,0,n105
9.616711,0.056089688,62,94,0,0,n106
9.871785,0.080128126,50,97,0,0,n107
9.871785,0.08146359,62,83,0,0,n108
10.220343,0.50347173,55,103,0,0,n109
10.224349,0.49946532,46,91,0,0,n110
10.228355,0.4954589,43,86,0,0,n111
10.233697,0.49011704,67,69,0,0,n112
10.292458,0.4313564,62,74,0,0,n113
10.357896,0.36591843,69,67,0,0,n114
10.495449,0.22836515,70,58,0,0,n115
10.731827,0.45806578,50,96,0,0,n116
10.733162,0.4567303,57,108,0,0,n117
10.73984,0.45005298,69,72,0,0,n118
10.797265,0.3926278,62,69,0,0,n119
10.880064,0.30982876,70,66,0,0,n120
11.01094,0.17895281,72,64,0,0,n121
11.216602,0.046741407,58,103,0,0,n122
11.223279,0.04139953,55,92,0,0,n123
11.237969,0.42735,70,70,0,0,n124
11.272692,0.3926278,62,77,0,0,n125
11.343472,0.32184798,72,76,0,0,n126
11.456986,0.20833312,74,70,0,0,n127
11.708055,0.44070467,67,84,0,0,n128
11.774828,0.37393126,62,71,0,0,n129
11.848279,0.30048046,69,68,0,0,n130
11.905704,0.24305531,55,94,0,0,n131
11.90704,0.24171984,46,89,0,0,n132
11.931078,0.21768141,70,79,0,0,n133
12.171462,0.4740914,55,90,0,0,n134
12.175468,0.470085,48,89,0,0,n135
12.175468,0.470085,57,102,0,0,n136
12.17814,0.46741405,69,74,0,0,n137
12.234229,0.41132438,63,66,0,0,n138
12.3116865,0.3338672,70,65,0,0,n139
12.409176,0.23637797,72,70,0,0,n140
12.656238,0.05208328,62,105,0,0,n141
12.662914,0.46741405,50,87,0,0,n142
12.662914,0.46741405,54,94,0,0,n143
12.666921,0.46340767,66,59,0,0,n144
12.773759,0.35657015,60,9,0,0,n145
12.800468,0.32986078,67,72,0,0,n146
12.924666,0.20566219,69,62,0,0,n147
13.155703,0.470085,55,100,0,0,n148
13.158374,0.46741405,46,92,0,0,n149
13.161044,0.46474314,67,79,0,0,n150
13.16238,0.46340767,43,84,0,0,n151
13.267882,0.35790563,62,64,0,0,n152
13.314624,0.31116423,69,53,0,0,n153
13.450841,0.17494641,70,72,0,0,n154
13.669858,0.040064063,69,79,0,0,n155
13.820766,0.048076876,66,73,0,0,n156
13.856824,0.056089688,50,87,0,0,n157
13.868843,0.065437965,62,79,0,0,n158
14.115905,0.48878157,55,109,0,0,n159
14.118576,0.48611063,67,86,0,0,n160
14.119911,0.48477516,43,84,0,0,n161
14.121246,0.48343968,46,87,0,0,n162
14.176001,0.42868546,45,27,0,0,n163
14.192026,0.41265985,62,71,0,0,n164
14.264142,0.34054452,69,58,0,0,n165
14.373651,0.2310361,70,70,0,0,n166
14.624719,0.5448713,69,78,0,0,n167
14.626054,0.54353577,50,92,0,0,n168
14.628725,0.5408648,57,106,0,0,n169
14.70084,0.46874952,62,74,0,0,n170
14.756929,0.41265985,70,77,0,0,n171
14.865103,0.30448687,72,74,0,0,n172
15.181609,0.05341875,58,100,0,0,n173
15.186951,0.05208328,55,94,0,0,n174
15.196299,0.46874952,70,79,0,0,n175
15.233692,0.4313564,62,83,0,0,n176
15.24037,0.42467907,72,74,0,0,n177
15.380593,0.28445485,74,79,0,0,n178
15.657036,0.102831095,75,72,0,0,n179
15.678403,0.08146359,67,65,0,0,n180
15.686416,0.058760624,76,64,0,0,n181
15.790583,0.04540594,77,54,0,0,n182
15.795924,0.09481828,79,63,0,0,n183
15.839994,0.05475422,51,86,0,0,n184
15.848007,0.04540594,39,77,0,0,n185
16.067024,0.078792654,69,69,0,0,n186
16.079044,0.120192185,41,91,0,0,n187
16.079044,0.09214734,53,99,0,0,n188
16.124449,0.08947641,60,61,0,0,n189
16.144482,0.05475422,43,27,0,0,n190
16.16585,0.09615375,70,70,0,0,n191
16.169855,0.044070467,62,37,0,0,n192
16.263338,0.04540594,72,79,0,0,n193
16.521084,0.06810891,74,72,0,0,n194
16.522419,0.12954047,46,102,0,0,n195
16.526426,0.12152766,34,92,0,0,n196
16.58385,0.08947641,65,70,0,0,n197
16.598541,0.14022422,75,75,0,0,n198
16.72808,0.05074781,77,79,0,0,n199
16.99384,0.11351484,67,67,0,0,n200
16.996511,0.17628187,51,101,0,0,n201
17.011202,0.17628187,39,94,0,0,n202
17.065954,0.065437965,45,27,0,0,n203
17.077974,0.09882469,58,71,0,0,n204
17.110025,0.112179376,69,59,0,0,n205
17.188818,0.06276703,70,79,0,0,n206
17.471937,0.45005298,72,66,0,0,n207
17.558743,0.3632475,74,77,0,0,n208
17.566755,0.35523468,63,67,0,0,n209
17.652225,0.2697647,75,84,0,0,n210
17.654898,0.26709375,45,101,0,0,n211
17.660238,0.26175186,33,87,0,0,n212
17.89528,0.16159172,66,72,0,0,n213
17.901958,0.2350425,38,86,0,0,n214
17.901958,0.21768141,50,94,0,0,n215
17.980751,0.09081188,57,54,0,0,n216
18.039513,0.08279906,67,70,0,0,n217
18.115633,0.048076876,69,74,0,0,n218
18.366701,0.15491438,72,72,0,0,n219
18.436146,0.34855735,63,70,0,0,n220
18.454844,0.32986078,74,69,0,0,n221
18.548325,0.23637797,75,79,0,0,n222
18.552332,0.23237157,44,96,0,0,n223
18.556337,0.22836515,32,89,0,0,n224
18.804735,0.18429469,66,65,0,0,n225
18.83278,0.25106812,38,85,0,0,n226
18.839458,0.22435875,50,83,0,0,n227
18.872845,0.13755327,57,71,0,0,n228
18.895548,0.0013354687,48,31,0,0,n229
18.94496,0.11752125,67,66,0,0,n230
19.063816,0.03205125,69,66,0,0,n231
19.312214,0.20432672,72,58,0,0,n232
19.37498,0.16292718,63,70,0,0,n233
19.411037,0.13087593,74,71,0,0,n234
19.51387,0.0641025,75,81,0,0,n235
19.524553,0.057425156,45,97,0,0,n236
19.529896,0.0641025,33,90,0,0,n237
19.626049,0.0013354687,35,3,0,0,n238
19.878452,0.9014414,50,100,0,0,n239
19.883795,1.3060884,38,92,0,0,n240
