idx,matchtype,partid,ppartid
0,0,n12-1,n2
1,0,n48-1,n34
2,0,n60-1,n43
3,0,n279-1,n258
4,0,n380-1,n367
5,0,n414-1,n387
6,0,n414-2,n535
7,0,n848-1,n829
8,0,n1107-1,n952
9,0,n1143-1,n983
10,0,n1155-1,n994
11,0,n1374-1,n1204
12,0,n1480-1,n1309
13,0,n1514-1,n1352
14,0,n1687-1,n1538
15,0,n1700-1,n1551
16,0,n1713-1,n1565
17,0,n1736-1,n1587
18,0,n1756-1,n1609
19,0,n1823-1,n1653
20,0,n236-1,n224
21,0,n403-1,n382
22,0,n403-2,n531
23,0,n837-1,n825
24,0,n1331-1,n1172
25,0,n223-1,n212
26,0,n249-1,n237
27,0,n1076-1,n931
28,0,n1318-1,n1160
29,0,n1344-1,n1185
30,0,n25-1,n20
31,0,n73-1,n62
32,0,n210-1,n196
33,0,n292-1,n274
34,0,n492-1,n441
35,0,n589-1,n519
36,0,n492-2,n591
37,0,n825-1,n814
38,0,n1018-1,n886
39,0,n1064-1,n924
40,0,n1120-1,n969
41,0,n1168-1,n1010
42,0,n1305-1,n1144
43,0,n1387-1,n1221
44,0,n36-1,n22
45,0,n84-1,n65
46,0,n111-1,n95
47,0,n303-1,n277
48,0,n436-1,n405
49,0,n436-2,n554
50,0,n804-1,n797
51,0,n870-1,n848
52,0,n1131-1,n971
53,0,n1179-1,n1015
54,0,n1206-1,n1045
55,0,n1398-1,n1223
56,0,n1526-1,n1361
57,0,n1815-1,n1652
58,0,n1853-1,n1690
59,0,n341-1,n316
60,0,n343-1,n325
61,0,n362-1,n339
62,0,n364-1,n349
63,0,n1436-1,n1261
64,0,n1438-1,n1271
65,0,n1457-1,n1283
66,0,n1459-1,n1294
67,0,n38-1,n29
68,0,n50-1,n41
69,0,n86-1,n70
70,0,n99-1,n86
71,0,n119-1,n102
72,0,n233-1,n214
73,0,n246-1,n226
74,0,n259-1,n240
75,0,n269-1,n254
76,0,n305-1,n285
77,0,n318-1,n299
78,0,n331-1,n310
79,0,n350-1,n330
80,0,n352-1,n335
81,0,n372-1,n352
82,0,n374-1,n358
83,0,n1083-1,n937
84,0,n1092-1,n945
85,0,n1095-1,n950
86,0,n1133-1,n978
87,0,n1145-1,n991
88,0,n1181-1,n1020
89,0,n1194-1,n1035
90,0,n1214-1,n1051
91,0,n1328-1,n1161
92,0,n1341-1,n1175
93,0,n1354-1,n1188
94,0,n1364-1,n1201
95,0,n1400-1,n1231
96,0,n1413-1,n1245
97,0,n1426-1,n1256
98,0,n1445-1,n1275
99,0,n1447-1,n1278
100,0,n1468-1,n1296
101,0,n1470-1,n1303
102,0,n1677-1,n1536
103,0,n1688-1,n1542
104,0,n1690-1,n1549
105,0,n1701-1,n1555
106,0,n1726-1,n1582
107,0,n1749-1,n1606
108,0,n97-1,n77
109,0,n109-1,n89
110,0,n197-1,n185
111,0,n220-1,n202
112,0,n316-1,n290
113,0,n329-1,n303
114,0,n628-1,n677
115,0,n673-1,n706
116,0,n1075-1,n926
117,0,n1192-1,n1027
118,0,n1204-1,n1038
119,0,n1292-1,n1135
120,0,n1315-1,n1149
121,0,n1411-1,n1236
122,0,n1424-1,n1248
123,0,n1528-1,n1364
124,0,n1814-1,n1650
125,0,n208-1,n187
126,0,n467-1,n421
127,0,n606-1,n663
128,0,n649-1,n694
129,0,n694-1,n726
