onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-1.0,0.75,-1.0,0.75,0,18,58,1,n1-1
-0.25,0.25,-0.25,0.25,18,6,63,1,n2-1
0.0,3.0,0.0,3.0,24,72,51,7,n15-1
0.0,0.5,0.0,0.5,24,12,55,6,n9-1
0.0,2.0,0.0,2.0,24,48,63,1,n5-1
0.5,0.5,0.5,0.5,36,12,58,6,n10-1
1.0,0.5,1.0,0.5,48,12,55,6,n11-1
1.5,0.5,1.5,0.5,60,12,58,6,n12-1
2.0,0.5,2.0,0.5,72,12,55,6,n13-1
2.0,0.75,2.0,0.75,72,18,67,1,n6-1
2.5,0.5,2.5,0.5,84,12,58,6,n14-1
2.75,0.25,2.75,0.25,90,6,63,1,n7-1
3.0,2.5,3.0,2.5,96,60,53,7,n26-1
3.0,0.5,3.0,0.5,96,12,56,6,n20-1
3.0,1.0,3.0,1.0,96,24,63,1,n16-1
3.5,0.5,3.5,0.5,108,12,58,6,n21-1
4.0,0.5,4.0,0.5,120,12,56,6,n22-1
4.0,1.5,4.0,1.5,120,36,62,1,n17-1
4.5,0.5,4.5,0.5,132,12,58,6,n23-1
5.0,0.5,5.0,0.5,144,12,56,6,n24-1
5.5,0.5,5.5,0.5,156,12,51,7,n28-1
5.5,0.5,5.5,0.5,156,12,58,6,n25-1
5.5,0.5,5.5,0.5,156,12,63,1,n18-1
6.0,1.5,6.0,1.5,168,36,50,6,n42-1
6.0,1.5,6.0,1.5,168,36,53,6,n43-1
6.0,0.5,6.0,0.5,168,12,58,2,n35-1
6.0,1.5,6.0,1.5,168,36,65,1,n29-1
6.5,0.5,6.5,0.5,180,12,58,2,n36-1
7.0,0.5,7.0,0.5,192,12,58,2,n37-1
7.5,0.5,7.5,0.5,204,12,48,6,n44-1
7.5,0.5,7.5,0.5,204,12,51,6,n45-1
7.5,0.5,7.5,0.5,204,12,58,2,n38-1
7.5,0.5,7.5,0.5,204,12,67,1,n30-1
8.0,0.5,8.0,0.5,216,12,46,6,n46-1
8.0,0.5,8.0,0.5,216,12,50,6,n47-1
8.0,0.5,8.0,0.5,216,12,58,2,n39-1
8.0,0.5,8.0,0.5,216,12,65,1,n31-1
8.0,0.5,8.0,0.5,216,12,68,1,n32-1
8.5,0.5,8.5,0.5,228,12,50,6,n48-1
8.5,0.5,8.5,0.5,228,12,53,6,n49-1
8.5,0.5,8.5,0.5,228,12,58,2,n40-1
8.5,0.5,8.5,0.5,228,12,65,1,n33-1
8.5,0.5,8.5,0.5,228,12,70,1,n34-1
9.0,1.0,9.0,1.0,240,24,51,6,n63-1
9.0,0.5,9.0,0.5,240,12,58,2,n56-1
9.0,1.0,9.0,1.0,240,24,65,1,n50-1
9.0,1.0,9.0,1.0,240,24,68,1,n51-1
9.5,0.5,9.5,0.5,252,12,58,2,n57-1
10.0,1.0,10.0,1.0,264,24,39,6,n64-1
10.0,0.5,10.0,0.5,264,12,58,2,n58-1
10.0,1.0,10.0,1.0,264,24,63,1,n52-1
10.0,1.0,10.0,1.0,264,24,67,1,n53-1
10.5,0.5,10.5,0.5,276,12,58,2,n59-1
11.0,0.75,11.0,0.75,288,18,51,6,n65-1
11.0,0.5,11.0,0.5,288,12,63,2,n60-1
11.0,0.75,11.0,0.75,288,18,67,1,n54-1
11.5,0.5,11.5,0.5,300,12,63,2,n61-1
11.75,0.25,11.75,0.25,306,6,53,6,n66-1
11.75,0.25,11.75,0.25,306,6,68,1,n55-1
12.0,1.5,12.0,1.5,312,36,55,6,n78-1
12.0,0.5,12.0,0.5,312,12,63,2,n71-1
12.0,1.5,12.0,1.5,312,36,70,1,n67-1
12.5,0.5,12.5,0.5,324,12,63,2,n72-1
13.0,0.5,13.0,0.5,336,12,63,2,n73-1
13.5,0.5,13.5,0.5,348,12,51,6,n79-1
13.5,0.5,13.5,0.5,348,12,63,2,n74-1
13.5,0.5,13.5,0.5,348,12,67,1,n68-1
14.0,0.5,14.0,0.5,360,12,56,6,n80-1
14.0,0.5,14.0,0.5,360,12,63,2,n75-1
14.0,0.5,14.0,0.5,360,12,72,1,n69-1
14.5,0.5,14.5,0.5,372,12,53,6,n81-1
14.5,0.5,14.5,0.5,372,12,63,2,n76-1
14.5,0.5,14.5,0.5,372,12,68,1,n70-1
15.0,2.0,15.0,2.0,384,48,55,6,n93-1
15.0,0.5,15.0,0.5,384,12,63,2,n86-1
15.0,1.5,15.0,1.5,384,36,70,1,n82-1
15.5,0.5,15.5,0.5,396,12,63,2,n87-1
16.0,0.5,16.0,0.5,408,12,63,2,n88-1
16.5,0.5,16.5,0.5,420,12,63,2,n89-1
16.5,0.5,16.5,0.5,420,12,71,1,n83-1
17.0,0.5,17.0,0.5,432,12,56,6,n94-1
17.0,0.5,17.0,0.5,432,12,63,2,n90-1
17.0,0.5,17.0,0.5,432,12,72,1,n84-1
17.5,0.5,17.5,0.5,444,12,55,6,n95-1
17.5,0.5,17.5,0.5,444,12,63,2,n91-1
17.5,0.5,17.5,0.5,444,12,70,1,n85-1
18.0,1.5,18.0,1.5,456,36,53,6,n112-1
18.0,0.5,18.0,0.5,456,12,60,2,n102-1
18.0,0.5,18.0,0.5,456,12,70,1,n96-1
18.5,0.5,18.5,0.5,468,12,60,2,n103-1
18.5,1.0,18.5,1.0,468,24,68,1,n97-1
19.0,0.5,19.0,0.5,480,12,61,2,n104-1
19.5,0.5,19.5,0.5,492,12,46,6,n113-1
19.5,0.5,19.5,0.5,492,12,58,2,n105-1
19.5,0.5,19.5,0.5,492,12,62,2,n106-1
19.5,0.5,19.5,0.5,492,12,65,1,n98-1
20.0,0.5,20.0,0.5,504,12,51,6,n114-1
20.0,0.5,20.0,0.5,504,12,58,2,n107-1
20.0,0.5,20.0,0.5,504,12,63,2,n108-1
20.0,0.5,20.0,0.5,504,12,67,1,n99-1
20.5,0.5,20.5,0.5,516,12,44,6,n115-1
20.5,0.5,20.5,0.5,516,12,60,2,n109-1
20.5,0.5,20.5,0.5,516,12,65,2,n110-1
20.5,0.25,20.5,0.25,516,6,70,1,n100-1
20.75,0.25,20.75,0.25,522,6,68,1,n101-1
21.0,1.5,21.0,1.5,528,36,46,6,n127-1
21.0,0.5,21.0,0.5,528,12,63,2,n121-1
21.0,1.0,21.0,1.0,528,24,67,1,n116-1
21.5,0.5,21.5,0.5,540,12,58,2,n122-1
22.0,0.5,22.0,0.5,552,12,62,2,n123-1
22.0,0.5,22.0,0.5,552,12,65,1,n117-1
22.5,0.5,22.5,0.5,564,12,44,6,n128-1
23.0,0.5,23.0,0.5,576,12,43,6,n129-1
23.0,0.5,23.0,0.5,576,12,58,2,n124-1
23.0,0.75,23.0,0.75,576,18,58,1,n119-1
23.5,0.5,23.5,0.5,588,12,41,6,n130-1
23.5,0.5,23.5,0.5,588,12,56,2,n125-1
23.75,0.25,23.75,0.25,594,6,63,1,n120-1
24.0,0.5,24.0,0.5,600,12,39,6,n140-1
24.0,0.5,24.0,0.5,600,12,55,2,n138-1
24.0,1.5,24.0,1.5,600,36,63,1,n131-1
24.5,0.5,24.5,0.5,612,12,58,6,n141-1
25.0,2.0,25.0,2.0,624,48,51,7,n147-1
25.0,0.5,25.0,0.5,624,12,55,6,n142-1
25.5,0.5,25.5,0.5,636,12,58,6,n143-1
25.5,0.125,25.5,0.125,636,3,65,1,n132-1
25.625,0.125,25.625,0.125,639,3,63,1,n133-1
25.75,0.125,25.75,0.125,642,3,62,1,n134-1
25.875,0.125,25.875,0.125,645,3,63,1,n135-1
26.0,0.5,26.0,0.5,648,12,55,6,n144-1
26.0,0.75,26.0,0.75,648,18,67,1,n136-1
26.5,0.5,26.5,0.5,660,12,58,6,n145-1
26.75,0.25,26.75,0.25,666,6,63,1,n137-1
27.0,2.5,27.0,2.5,672,60,53,7,n26-2
27.0,0.5,27.0,0.5,672,12,56,6,n20-2
27.0,1.0,27.0,1.0,672,24,63,1,n16-2
27.5,0.5,27.5,0.5,684,12,58,6,n21-2
28.0,0.5,28.0,0.5,696,12,56,6,n22-2
28.0,1.5,28.0,1.5,696,36,62,1,n17-2
28.5,0.5,28.5,0.5,708,12,58,6,n23-2
29.0,0.5,29.0,0.5,720,12,56,6,n24-2
29.5,0.5,29.5,0.5,732,12,51,7,n28-2
29.5,0.5,29.5,0.5,732,12,58,6,n25-2
29.5,0.5,29.5,0.5,732,12,63,1,n18-2
30.0,1.5,30.0,1.5,744,36,50,6,n42-2
30.0,1.5,30.0,1.5,744,36,53,6,n43-2
30.0,0.5,30.0,0.5,744,12,58,2,n35-2
30.0,1.5,30.0,1.5,744,36,65,1,n29-2
30.5,0.5,30.5,0.5,756,12,58,2,n36-2
31.0,0.5,31.0,0.5,768,12,58,2,n37-2
31.5,0.5,31.5,0.5,780,12,48,6,n44-2
