onset_sec,duration_sec,pitch,velocity,track,channel,id
1.0026041,0.19921875,36,37,0,0,n0
1.2018229,0.14583333,36,41,0,0,n1
1.2057291,0.14192708,43,47,0,0,n2
1.2213541,0.12630208,52,49,0,0,n3
1.2252604,0.122395836,48,45,0,0,n4
1.4023438,0.057291668,43,38,0,0,n5
1.4036459,0.0390625,52,43,0,0,n6
1.4101562,0.053385418,36,35,0,0,n7
1.4296875,0.059895832,48,16,0,0,n8
1.5859375,0.053385418,52,34,0,0,n9
1.6002604,0.048177082,48,35,0,0,n10
1.6080729,0.05859375,36,30,0,0,n11
1.6145834,0.05859375,43,30,0,0,n12
1.7773438,0.044270832,48,45,0,0,n13
1.7773438,0.048177082,52,34,0,0,n14
1.7864584,0.079427086,43,32,0,0,n15
1.7955729,0.0625,36,35,0,0,n16
1.9674479,0.052083332,52,41,0,0,n17
1.9739584,0.045572918,48,40,0,0,n18
1.9856771,0.065104164,43,36,0,0,n19
1.9973959,0.048177082,36,44,0,0,n20
2.1536458,0.0390625,52,46,0,0,n21
2.157552,0.044270832,48,34,0,0,n22
2.1783855,0.059895832,43,20,0,0,n23
2.1966145,0.065104164,36,23,0,0,n24
2.329427,0.05078125,52,43,0,0,n25
2.3385417,0.044270832,48,36,0,0,n26
2.3476562,0.057291668,36,32,0,0,n27
2.3528645,0.05078125,43,38,0,0,n28
2.515625,0.05078125,52,47,0,0,n29
2.5208333,0.046875,48,41,0,0,n30
2.5260417,0.059895832,43,46,0,0,n31
2.546875,0.052083332,36,41,0,0,n32
2.7083333,0.045572918,52,43,0,0,n33
2.7148438,0.04296875,48,36,0,0,n34
2.748698,0.05859375,36,26,0,0,n35
2.7786458,0.1015625,43,3,0,0,n36
2.9010417,0.048177082,52,52,0,0,n37
2.904948,0.037760418,48,45,0,0,n38
2.907552,0.049479168,36,45,0,0,n39
2.907552,0.057291668,43,31,0,0,n40
3.0820312,0.044270832,52,50,0,0,n41
3.0833333,0.040364582,48,45,0,0,n42
3.0872395,0.046875,36,49,0,0,n43
3.1041667,0.052083332,43,40,0,0,n44
3.2604167,0.04296875,48,48,0,0,n45
3.2617188,0.046875,52,51,0,0,n46
3.265625,0.045572918,36,47,0,0,n47
3.2708333,0.053385418,43,43,0,0,n48
3.4348958,0.059895832,36,50,0,0,n49
3.438802,0.040364582,43,47,0,0,n50
3.438802,0.036458332,48,49,0,0,n51
3.438802,0.044270832,52,53,0,0,n52
