xml_id	midi_id	track	channel	pitch	onset
n2070-1	n1995	0	0	29	150.76296373749915
n2072-1	n1997	0	0	29	150.94351946458252
n2074-1	n2001	0	0	29	151.12621194583255
n2076-1	n2007	0	0	29	151.32706683749922
n2078-1	n2009	0	0	29	151.4969387937492
n2080-1	n2014	0	0	29	151.68604153749916
n2082-1	n2018	0	0	29	151.87407590416586
n2084-1	n2022	0	0	29	152.06104189374926
n2102-1	n2025	0	0	29	152.25655489999923
n2104-1	n2030	0	0	29	152.44352088958254
n2106-1	n2034	0	0	29	152.62300823958256
n2108-1	n2037	0	0	29	152.80142721249922
n2110-1	n2041	0	0	29	152.98198293958254
n2112-1	n2046	0	0	29	153.1582651583325
n2114-1	n2049	0	0	29	153.35912004999918
n2116-1	n2053	0	0	29	153.53006038333248
n6600-1	n6165	0	0	29	456.32415145625407
n222-1	n213	0	0	31	15.956211739583356
n224-1	n216	0	0	31	16.137835843750022
n226-1	n218	0	0	31	16.332280472916686
n228-1	n219	0	0	31	16.504289183333352
n230-1	n221	0	0	31	16.689118418750017
n232-1	n223	0	0	31	16.850443358333347
n254-1	n235	0	0	31	17.42523022916668
n256-1	n237	0	0	31	17.58228166041668
n262-1	n250	0	0	31	18.115401825000006
n264-1	n254	0	0	31	18.294889175
n286-1	n267	0	0	31	18.830146093749995
n314-1	n300	0	0	31	22.174166364583332
n3261-1	n3007	0	0	31	233.6102646645806
n3263-1	n3014	0	0	31	234.4168893624973
n3268-1	n3022	0	0	31	235.21389866666405
n3272-1	n3029	0	0	31	235.64124949999743
n3276-1	n3033	0	0	31	236.05257467708077
n3280-1	n3037	0	0	31	236.46710498541412
n3302-1	n3041	0	0	31	236.87522503124745
n3308-1	n3061	0	0	31	238.80150891249755
n3312-1	n3065	0	0	31	239.18932979374756
n3316-1	n3069	0	0	31	239.5974498395809
n3336-1	n3073	0	0	31	239.9970228687476
n3350-1	n3093	0	0	31	241.94787942291427
n3354-1	n3099	0	0	31	242.34638407499762
n3358-1	n3104	0	0	31	242.73847846458096
n3374-1	n3111	0	0	31	243.12523096874764
n3378-1	n3116	0	0	31	243.54296640833098
n3382-1	n3123	0	0	31	243.92651378124765
n3386-1	n3130	0	0	31	244.2951038749976
n3401-1	n3137	0	0	31	244.68078800208096
n3405-1	n3142	0	0	31	245.07501914583096
n3409-1	n3149	0	0	31	245.48207081458096
n3413-1	n3154	0	0	31	245.87523358124764
n3429-1	n3160	0	0	31	246.26839634791426
n3433-1	n3165	0	0	31	246.65942236041425
n3437-1	n3172	0	0	31	247.03335433958094
n3441-1	n3179	0	0	31	247.42224359791425
n3455-1	n3187	0	0	31	247.80151746249757
n3459-1	n3191	0	0	31	248.20322724583093
n3463-1	n3198	0	0	31	248.60921053749763
n3467-1	n3203	0	0	31	248.99489466458095
