onset_sec,duration_sec,pitch,velocity,track,channel,id
0.5,0.06666667,92,97,0,0,n0
0.5052083,0.70625,80,92,0,0,n1
0.5072917,0.036458332,68,89,0,0,n2
0.5072917,0.70416665,89,84,0,0,n3
0.51458335,0.052083332,86,80,0,0,n4
0.51666665,0.35833332,58,76,0,0,n5
0.51979166,0.04375,65,73,0,0,n6
0.528125,0.64375,62,69,0,0,n7
0.875,0.20416667,58,82,0,0,n8
0.8802083,0.19375,46,80,0,0,n9
0.96770835,0.24375,57,80,0,0,n10
0.97291666,0.18854167,50,77,0,0,n11
1.0739583,0.1375,46,79,0,0,n12
1.0791667,0.13229166,58,83,0,0,n13
1.1614584,0.05,50,72,0,0,n14
1.171875,0.079166666,62,81,0,0,n15
1.2458333,0.034375,65,71,0,0,n16
1.2552084,0.06875,50,84,0,0,n17
1.3104167,0.35,62,79,0,0,n18
1.3322917,0.16666667,53,76,0,0,n19
1.4010416,0.18645833,65,72,0,0,n20
1.415625,0.16979167,50,76,0,0,n21
1.49375,0.21145834,68,80,0,0,n22
1.4989583,0.1625,53,74,0,0,n23
1.5854167,0.119791664,50,76,0,0,n24
1.5875,0.11770833,65,72,0,0,n25
1.6604167,0.05,62,80,0,0,n26
1.6614584,0.04375,53,70,0,0,n27
1.7416667,0.0010416667,54,57,0,0,n28
1.7541667,0.16041666,68,82,0,0,n29
1.7645833,0.14479166,53,67,0,0,n30
1.8291667,0.18541667,56,80,0,0,n31
1.8302083,0.3625,65,82,0,0,n32
1.909375,0.18645833,53,64,0,0,n33
1.9145833,0.190625,68,75,0,0,n34
2.0135417,0.25625,70,79,0,0,n35
2.0145833,0.153125,56,77,0,0,n36
2.0958333,0.175,53,68,0,0,n37
2.1052084,0.165625,68,72,0,0,n38
2.1677084,0.103125,56,69,0,0,n39
2.1927083,0.078125,65,79,0,0,n40
2.259375,0.17395833,58,85,0,0,n41
2.2697916,0.16979167,70,80,0,0,n42
2.3479166,0.16458334,62,75,0,0,n43
2.3604167,0.33958334,68,81,0,0,n44
2.4333334,0.16770834,58,80,0,0,n45
2.4395833,0.19166666,70,77,0,0,n46
2.5125,0.16145833,62,76,0,0,n47
2.5260417,0.27604166,74,83,0,0,n48
2.6010416,0.20104167,58,77,0,0,n49
2.63125,0.17083333,70,73,0,0,n50
2.6739583,0.109375,62,74,0,0,n51
2.7,0.10208333,68,78,0,0,n52
2.7822917,0.05,77,89,0,0,n53
2.7833333,0.08020833,62,80,0,0,n54
2.8677084,0.190625,65,74,0,0,n55
2.8770833,0.353125,74,82,0,0,n56
2.95625,0.18541667,62,79,0,0,n57
2.9572916,0.190625,77,81,0,0,n58
3.0583334,0.17604166,65,77,0,0,n59
3.0614583,0.25,80,81,0,0,n60
3.1416667,0.18958333,62,79,0,0,n61
3.1479166,0.18333334,77,79,0,0,n62
3.2302084,0.10104167,74,80,0,0,n63
3.234375,0.08020833,65,66,0,0,n64
3.3114583,0.07604167,80,86,0,0,n65
3.3145833,0.08229167,65,85,0,0,n66
3.33125,0.0010416667,66,32,0,0,n67
3.3895833,0.33541667,77,82,0,0,n68
3.3979166,0.14791666,68,81,0,0,n69
3.4729166,0.16979167,80,80,0,0,n70
3.478125,0.15833333,65,68,0,0,n71
3.5458333,0.17083333,68,77,0,0,n72
3.5520833,0.25416666,82,84,0,0,n73
3.6364584,0.20625,65,72,0,0,n74
3.6427083,0.2,80,76,0,0,n75
3.7166667,0.12604167,68,71,0,0,n76
3.725,0.11770833,77,81,0,0,n77
3.80625,0.041666668,82,87,0,0,n78
3.8166666,0.09166667,74,93,0,0,n79
3.89375,0.346875,80,88,0,0,n80
3.9083333,0.17916666,77,77,0,0,n81
3.971875,0.20520833,82,84,0,0,n82
3.9864583,0.17916666,74,77,0,0,n83
4.0729165,0.27916667,86,85,0,0,n84
4.0875,0.15729167,77,74,0,0,n85
4.165625,0.18645833,74,81,0,0,n86
4.1770835,0.175,82,74,0,0,n87
4.240625,0.11145833,80,84,0,0,n88
4.2447915,0.088541664,77,67,0,0,n89
4.31875,0.039583333,81,11,0,0,n90
4.3229165,0.039583333,89,85,0,0,n91
4.3333335,0.08020833,77,82,0,0,n92
4.3479166,0.035416666,88,52,0,0,n93
4.4177084,0.16458334,80,71,0,0,n94
4.4177084,0.284375,86,85,0,0,n95
4.4864583,0.16770834,89,85,0,0,n96
4.4895835,0.15625,77,70,0,0,n97
4.5729165,0.334375,92,85,0,0,n98
4.5822916,0.325,80,79,0,0,n99
4.6458335,0.26145834,77,61,0,0,n100
4.6541667,0.140625,89,77,0,0,n101
4.702083,0.165625,86,80,0,0,n102
4.7947917,0.1125,89,90,0,0,n103
4.867708,0.096875,86,80,0,0,n104
4.959375,0.096875,89,85,0,0,n105
5.0583334,0.09791667,92,80,0,0,n106
5.1291666,0.43541667,80,86,0,0,n107
5.1302085,0.14895834,77,77,0,0,n108
5.1364584,0.428125,89,80,0,0,n109
5.2145834,0.34270832,86,79,0,0,n110
5.2791667,0.28541666,77,64,0,0,n111
5.2947917,0.26979166,74,76,0,0,n112
5.311458,0.15416667,82,81,0,0,n113
5.3927083,0.171875,81,81,0,0,n114
5.465625,0.098958336,82,80,0,0,n115
5.5572915,0.08020833,86,77,0,0,n116
5.6510415,0.033333335,89,51,0,0,n117
5.69375,0.08645833,86,82,0,0,n118
5.778125,0.08125,89,81,0,0,n119
5.853125,0.096875,86,80,0,0,n120
5.9416666,0.17916666,89,81,0,0,n121
6.034375,0.47083333,92,81,0,0,n122
6.1208334,0.384375,89,78,0,0,n123
6.134375,0.37083334,80,73,0,0,n124
6.146875,0.140625,77,60,0,0,n125
6.2010417,0.30416667,86,79,0,0,n126
6.2875,0.21770833,77,70,0,0,n127
6.304167,0.20104167,74,58,0,0,n128
6.30625,0.16354166,82,76,0,0,n129
6.3885417,0.11666667,81,80,0,0,n130
6.469792,0.077083334,82,81,0,0,n131
6.55,0.083333336,86,73,0,0,n132
6.63125,0.088541664,89,81,0,0,n133
6.717708,0.039583333,86,71,0,0,n134
6.796875,0.038541667,77,67,0,0,n135
6.8729167,0.063541666,74,72,0,0,n136
6.977083,0.07395833,77,64,0,0,n137
7.0677085,0.315625,80,70,0,0,n138
7.14375,0.23958333,68,59,0,0,n139
7.155208,0.228125,77,66,0,0,n140
7.15625,0.16875,65,51,0,0,n141
7.2395835,0.14375,74,66,0,0,n142
7.325,0.058333334,65,60,0,0,n143
7.3260417,0.057291668,62,53,0,0,n144
7.3333335,0.065625,70,71,0,0,n145
7.4166665,0.055208333,69,68,0,0,n146
7.503125,0.06875,70,68,0,0,n147
7.590625,0.07395833,74,72,0,0,n148
7.665625,0.032291666,77,67,0,0,n149
7.7395835,0.065625,74,68,0,0,n150
7.8104167,0.072916664,77,73,0,0,n151
7.9,0.08229167,74,74,0,0,n152
7.98125,0.08958333,77,71,0,0,n153
8.086458,0.088541664,80,73,0,0,n154
8.128125,0.041666668,65,51,0,0,n155
8.129167,0.032291666,68,53,0,0,n156
8.182292,0.055208333,77,69,0,0,n157
8.254167,0.18854167,74,73,0,0,n158
8.311459,0.13125,65,58,0,0,n159
8.329166,0.11354167,62,53,0,0,n160
8.346875,0.09583333,70,77,0,0,n161
8.436459,0.07083333,69,76,0,0,n162
8.511458,0.07604167,70,80,0,0,n163
8.583333,0.092708334,74,73,0,0,n164
8.666667,0.071875,77,80,0,0,n165
8.755208,0.040625,73,45,0,0,n166
8.76875,0.047916666,72,29,0,0,n167
8.838542,0.27395833,58,91,0,0,n168
8.844791,0.459375,80,87,0,0,n169
8.847917,0.45625,53,80,0,0,n170
8.847917,0.45625,77,77,0,0,n171
8.848958,0.25729167,46,83,0,0,n172
8.851042,0.453125,68,90,0,0,n173
8.852083,0.45208332,50,76,0,0,n174
9.10625,0.17708333,46,87,0,0,n175
9.1125,0.171875,58,88,0,0,n176
9.194792,0.109375,57,78,0,0,n177
9.283334,0.077083334,46,81,0,0,n178
9.284375,0.08645833,58,80,0,0,n179
9.367708,0.078125,57,75,0,0,n180
9.44375,0.06979167,60,77,0,0,n181
9.446875,0.084375,50,83,0,0,n182
9.516666,0.13854167,58,78,0,0,n183
9.608334,0.046875,53,77,0,0,n184
9.610416,0.044791665,63,78,0,0,n185
9.685416,0.07604167,62,79,0,0,n186
9.779166,0.078125,67,77,0,0,n187
9.788542,0.04375,58,43,0,0,n188
9.79375,0.042708334,57,66,0,0,n189
9.866667,0.07395833,65,80,0,0,n190
9.923959,0.060416665,62,81,0,0,n191
9.95,0.029166667,70,75,0,0,n192
10.033334,0.08229167,69,79,0,0,n193
10.121875,0.07083333,72,71,0,0,n194
10.134375,0.035416666,67,66,0,0,n195
10.139584,0.036458332,65,58,0,0,n196
10.217709,0.063541666,71,73,0,0,n197
10.275,0.051041666,68,81,0,0,n198
10.289583,0.023958333,75,68,0,0,n199
10.290625,0.034375,70,52,0,0,n200
10.358334,0.08541667,74,82,0,0,n201
10.454166,0.16354166,79,83,0,0,n202
10.45625,0.054166667,70,67,0,0,n203
10.466666,0.038541667,68,72,0,0,n204
10.535417,0.08229167,77,84,0,0,n205
10.630208,0.10625,82,87,0,0,n206
10.641666,0.045833334,68,67,0,0,n207
10.647917,0.034375,70,71,0,0,n208
10.730208,0.146875,81,86,0,0,n209
10.827084,0.09166667,68,68,0,0,n210
10.830209,0.184375,84,84,0,0,n211
10.835417,0.08020833,70,58,0,0,n212
10.967709,0.083333336,82,82,0,0,n213
11.263541,0.203125,67,33,0,0,n214
11.280209,0.23020834,63,34,0,0,n215
11.288542,0.225,70,41,0,0,n216
11.290625,0.24375,82,59,0,0,n217
11.507292,0.23333333,79,56,0,0,n218
11.702084,0.17916666,75,51,0,0,n219
11.892709,0.16979167,70,48,0,0,n220
11.894792,0.48854166,74,57,0,0,n221
11.898958,0.14270833,58,48,0,0,n222
11.902083,0.16770834,68,30,0,0,n223
11.907291,0.15729167,65,40,0,0,n224
12.102083,0.28125,77,63,0,0,n225
12.280209,0.103125,82,64,0,0,n226
12.485416,0.46666667,70,31,0,0,n227
12.4875,0.46458334,82,65,0,0,n228
12.49375,0.265625,63,34,0,0,n229
12.504167,0.23333333,67,31,0,0,n230
12.695833,0.25625,79,60,0,0,n231
12.872916,0.079166666,75,65,0,0,n232
13.086458,0.1875,75,69,0,0,n233
13.26875,0.22083333,79,64,0,0,n234
13.454166,0.055208333,70,38,0,0,n235
13.472917,0.045833334,84,63,0,0,n236
13.473958,0.041666668,72,34,0,0,n237
13.475,0.08229167,64,42,0,0,n238
13.654166,0.30208334,84,69,0,0,n239
13.658334,0.20729166,72,38,0,0,n240
13.675,0.121875,65,37,0,0,n241
13.690625,0.115625,68,47,0,0,n242
13.847917,0.28020832,80,61,0,0,n243
14.066667,0.16354166,77,60,0,0,n244
14.239583,0.19375,67,42,0,0,n245
14.24375,0.17604166,72,42,0,0,n246
