idx,matchtype,partid,ppartid
0,0,n1624-1,n1481
1,0,n1628-1,n1488
2,0,n1599-1,n1458
3,0,n3512-1,n3192
4,0,n3528-1,n3200
5,0,n3620-1,n3276
6,0,n482-1,n451
7,0,n3506-1,n3184
8,0,n3550-1,n3221
9,0,n3646-1,n3298
10,0,n820-1,n770
11,0,n499-1,n461
12,0,n502-1,n470
13,0,n787-1,n753
14,0,n1600-1,n1460
15,0,n1604-1,n1466
16,0,n1645-1,n1491
17,0,n2503-1,n2267
18,0,n2509-1,n2280
19,0,n3529-1,n3202
20,0,n3533-1,n3207
21,0,n3556-1,n3230
22,0,n3621-1,n3280
23,0,n3625-1,n3283
24,0,n3652-1,n3309
25,0,n3656-1,n3318
26,0,n483-1,n452
27,0,n1625-1,n1482
28,0,n2187-1,n1975
29,0,n2485-1,n2255
30,0,n3534-1,n3211
31,0,n3551-1,n3222
32,0,n3626-1,n3287
33,0,n3647-1,n3304
34,0,n406-1,n374
35,0,n462-1,n431
36,0,n464-1,n438
37,0,n1593-1,n1447
38,0,n1601-1,n1464
39,0,n2389-1,n2164
40,0,n2461-1,n2233
41,0,n2830-1,n2578
42,0,n3507-1,n3185
43,0,n3511-1,n3191
44,0,n3965-1,n3591
45,0,n405-1,n371
46,0,n423-1,n389
47,0,n424-1,n392
48,0,n478-1,n442
49,0,n481-1,n448
50,0,n500-1,n464
51,0,n517-1,n480
52,0,n658-1,n619
53,0,n1567-1,n1425
54,0,n1619-1,n1470
55,0,n1623-1,n1480
56,0,n1626-1,n1485
57,0,n1773-1,n1603
58,0,n2387-1,n2162
59,0,n2411-1,n2184
60,0,n2413-1,n2186
61,0,n2483-1,n2252
62,0,n2505-1,n2273
63,0,n2527-1,n2292
64,0,n2668-1,n2427
65,0,n2797-1,n2561
66,0,n3508-1,n3186
67,0,n3510-1,n3188
68,0,n3513-1,n3193
69,0,n3517-1,n3199
70,0,n3530-1,n3204
71,0,n3532-1,n3208
72,0,n3535-1,n3212
73,0,n3539-1,n3220
74,0,n3622-1,n3278
75,0,n3627-1,n3292
76,0,n3631-1,n3296
77,0,n3673-1,n3321
78,0,n3761-1,n3420
79,0,n3868-1,n3506
80,0,n3964-1,n3589
81,0,n3966-1,n3594
82,0,n4013-1,n3639
