idx,matchtype,partid,ppartid
0,0,n1038-1,n1148
1,0,n60-1,n59
2,0,n60-2,n126
3,0,n680-1,n840
4,0,n746-1,n911
5,0,n114-1,n166
6,0,n162-1,n207
7,0,n114-2,n357
8,0,n162-2,n398
9,0,n800-1,n952
10,0,n848-1,n992
11,0,n1040-1,n1154
12,0,n168-1,n212
13,0,n168-2,n404
14,0,n854-1,n996
15,0,n1016-1,n1135
16,0,n73-1,n137
17,0,n293-1,n326
18,0,n759-1,n923
19,0,n38-1,n33
20,0,n65-1,n65
21,0,n38-2,n98
22,0,n65-2,n132
23,0,n71-1,n133
24,0,n78-1,n144
25,0,n170-1,n217
26,0,n285-1,n321
27,0,n78-2,n333
28,0,n170-2,n408
29,0,n496-1,n682
30,0,n658-1,n817
31,0,n685-1,n851
32,0,n724-1,n885
33,0,n751-1,n917
34,0,n757-1,n920
35,0,n764-1,n928
36,0,n856-1,n1001
37,0,n1024-1,n1139
38,0,n1032-1,n1145
39,0,n1039-1,n1153
40,0,n1046-1,n1156
41,0,n86-1,n148
42,0,n122-1,n171
43,0,n176-1,n220
44,0,n86-2,n339
45,0,n122-2,n361
46,0,n176-2,n411
47,0,n304-1,n514
48,0,n350-1,n553
49,0,n504-1,n689
50,0,n511-1,n691
51,0,n557-1,n729
52,0,n772-1,n932
53,0,n808-1,n956
54,0,n862-1,n1005
55,0,n96-1,n155
56,0,n178-1,n225
57,0,n96-2,n343
58,0,n178-2,n417
59,0,n782-1,n939
60,0,n864-1,n1009
61,0,n105-1,n159
62,0,n124-1,n175
63,0,n184-1,n227
64,0,n105-2,n347
65,0,n124-2,n366
66,0,n184-2,n421
67,0,n489-1,n671
68,0,n791-1,n944
69,0,n810-1,n960
70,0,n870-1,n1013
71,0,n40-1,n36
72,0,n40-2,n102
73,0,n186-1,n233
74,0,n186-2,n424
75,0,n660-1,n823
76,0,n726-1,n891
77,0,n872-1,n1016
78,0,n999-1,n1121
79,0,n5-1,n1
80,0,n5-2,n68
81,0,n190-1,n234
82,0,n221-1,n263
83,0,n283-1,n316
84,0,n190-2,n426
85,0,n221-2,n456
86,0,n297-1,n510
