onset_sec,duration_sec,pitch,velocity,track,channel,id
1.5662408,0.9423086,72,58,0,0,n0
1.6004288,0.9081205,41,38,0,0,n1
1.6004288,0.42521408,68,41,0,0,n2
1.6196597,0.88888973,53,25,0,0,n3
1.8108991,0.69765025,70,67,0,0,n4
1.8226513,0.68589807,64,56,0,0,n5
1.8536342,0.65491515,43,42,0,0,n6
1.8750018,0.6335476,55,39,0,0,n7
2.0256429,0.48290643,68,71,0,0,n8
2.059831,0.44871837,44,51,0,0,n9
2.0608995,0.44765,65,60,0,0,n10
2.0715833,0.43696624,56,45,0,0,n11
2.269233,0.25747886,67,70,0,0,n12
2.280985,0.22756432,58,62,0,0,n13
2.2841902,0.22435918,46,52,0,0,n14
2.286327,0.22222243,61,58,0,0,n15
2.5203016,0.027777804,62,59,0,0,n16
2.5256433,0.034188066,65,60,0,0,n17
2.5320537,0.042735085,56,54,0,0,n18
2.533122,0.03632482,59,53,0,0,n19
2.5438058,0.042735085,47,42,0,0,n20
2.776712,0.04380346,47,49,0,0,n21
2.7863274,0.037393197,59,43,0,0,n22
2.7873957,0.039529953,56,42,0,0,n23
2.7873957,0.027777804,65,59,0,0,n24
2.7927377,0.037393197,62,47,0,0,n25
3.0747893,0.099359065,64,58,0,0,n26
3.0972252,0.091880426,48,44,0,0,n27
3.0972252,0.065171,60,27,0,0,n28
3.1132507,0.08012828,55,32,0,0,n29
3.555559,0.6047014,79,95,0,0,n30
3.5715847,0.23076946,72,85,0,0,n31
3.5737214,0.58653903,48,98,0,0,n32
3.5747898,0.5854706,36,92,0,0,n33
3.6282086,0.15705143,76,23,0,0,n34
3.78526,0.37500036,76,91,0,0,n35
3.797012,0.3632482,40,81,0,0,n36
3.797012,0.3632482,52,90,0,0,n37
3.7980804,0.25427374,67,87,0,0,n38
3.802354,0.22115405,72,75,0,0,n39
4.023508,0.13675226,72,97,0,0,n40
4.02885,0.29059857,43,93,0,0,n41
4.030987,0.2938037,55,88,0,0,n42
4.0384655,0.12179499,64,79,0,0,n43
4.0502176,0.11004284,65,64,0,0,n44
4.0523543,0.10790609,67,64,0,0,n45
4.260688,0.28098318,48,97,0,0,n46
4.263893,0.08547017,72,100,0,0,n47
4.2713714,0.038461573,60,86,0,0,n48
4.2735085,0.029914558,64,82,0,0,n49
4.2852607,0.04059833,67,46,0,0,n50
4.501073,0.074786395,72,96,0,0,n51
4.5096197,0.07264964,43,92,0,0,n52
4.5096197,0.045940213,55,88,0,0,n53
4.512825,0.03311969,64,87,0,0,n54
4.512825,0.026709426,67,85,0,0,n55
4.7393208,0.06623938,74,104,0,0,n56
4.7521415,0.055555608,43,89,0,0,n57
4.7521415,0.026709426,71,86,0,0,n58
4.7532096,0.039529953,31,81,0,0,n59
4.7532096,0.027777804,67,80,0,0,n60
5.00962,0.31089774,76,98,0,0,n61
5.0160303,0.30448747,67,89,0,0,n62
5.0160303,0.30448747,72,98,0,0,n63
5.0256457,0.29487208,48,93,0,0,n64
5.032056,0.2884618,36,86,0,0,n65
5.0673127,0.25320536,69,29,0,0,n66
5.606843,0.5235048,72,58,0,0,n67
5.6250052,0.49679536,41,43,0,0,n68
5.6335526,0.45619702,68,46,0,0,n69
5.6399627,0.48183808,53,25,0,0,n70
5.855775,0.2660259,70,66,0,0,n71
5.8664584,0.25534213,43,53,0,0,n72
5.873937,0.24786349,64,48,0,0,n73
5.887826,0.23397458,55,43,0,0,n74
6.0897493,0.06944451,68,56,0,0,n75
6.090818,0.45726538,65,59,0,0,n76
6.1068435,0.44123974,44,52,0,0,n77
6.111117,0.43696624,56,40,0,0,n78
6.3258605,0.22222243,46,43,0,0,n79
6.3258605,0.2713678,67,66,0,0,n80
6.3365445,0.21153866,58,57,0,0,n81
6.35257,0.19551301,61,49,0,0,n82
6.59616,0.03311969,65,63,0,0,n83
6.5982966,0.030982936,62,53,0,0,n84
6.6036386,0.04059833,47,42,0,0,n85
6.6036386,0.04807697,56,48,0,0,n86
6.612186,0.034188066,59,48,0,0,n87
6.867528,0.032051314,62,52,0,0,n88
6.867528,0.034188066,65,59,0,0,n89
6.8696647,0.04380346,47,45,0,0,n90
6.88569,0.042735085,59,41,0,0,n91
6.9059896,0.054487232,56,22,0,0,n92
7.153853,0.08333341,64,70,0,0,n93
7.1805625,0.057692364,60,39,0,0,n94
7.190178,0.22970107,48,49,0,0,n95
7.191246,0.22863269,55,35,0,0,n96
7.6346226,0.54700905,79,98,0,0,n97
