onset_sec,duration_sec,pitch,velocity,track,channel,id
2.0491433,0.4049141,63,95,0,0,n0
2.05128,0.40277737,51,92,0,0,n1
2.2296987,2.0576901,54,93,0,0,n2
2.230767,1.854699,42,91,0,0,n3
4.080124,0.18910238,75,93,0,0,n4
4.0811925,0.3888885,30,93,0,0,n5
4.0811925,0.18910238,63,94,0,0,n6
4.085466,0.20192288,42,90,0,0,n7
4.090808,0.19123912,72,80,0,0,n8
4.0929446,0.1923075,69,84,0,0,n9
4.2692266,6.9497795,75,95,0,0,n10
4.2702947,4.3835425,63,97,0,0,n11
4.282047,4.348286,72,80,0,0,n12
4.285252,4.3600383,69,80,0,0,n13
4.287389,6.931617,42,88,0,0,n14
4.287389,4.3632436,54,97,0,0,n15
8.630333,0.1752135,72,91,0,0,n16
8.64529,0.16773488,69,72,0,0,n17
8.650632,0.162393,54,64,0,0,n18
8.653837,0.15918787,63,64,0,0,n19
8.805547,0.34401676,72,89,0,0,n20
8.813025,2.4059806,54,63,0,0,n21
8.813025,2.4059806,63,67,0,0,n22
8.813025,2.4059806,69,78,0,0,n23
9.033111,0.2094015,74,63,0,0,n24
9.149564,0.15918787,72,60,0,0,n25
9.242512,0.16559812,74,55,0,0,n26
9.308751,0.15598275,72,54,0,0,n27
9.408111,0.17200838,74,53,0,0,n28
9.464734,0.16880324,72,51,0,0,n29
9.580118,0.1495725,74,51,0,0,n30
9.633537,0.17414513,72,51,0,0,n31
9.7296915,0.18269213,74,63,0,0,n32
9.807682,0.15705113,72,55,0,0,n33
9.912383,0.17841862,74,53,0,0,n34
9.964734,0.17735025,72,52,0,0,n35
10.090802,0.15491438,74,39,0,0,n36
10.142084,0.18482888,72,46,0,0,n37
10.245716,0.15170924,74,56,0,0,n38
10.326913,0.13782038,72,47,0,0,n39
10.397426,0.82158035,74,58,0,0,n40
10.464733,0.30982876,72,45,0,0,n41
10.641015,0.43696538,71,41,0,0,n42
10.774562,0.444444,72,57,0,0,n43
11.07798,1.1410245,71,48,0,0,n44
11.088664,1.1303407,67,35,0,0,n45
11.11751,1.1014947,55,33,0,0,n46
11.118579,1.1004262,62,30,0,0,n47
13.364303,1.4091866,72,58,0,0,n48
13.378192,1.3952978,63,38,0,0,n49
13.384602,1.3888875,67,47,0,0,n50
13.4049015,1.3685883,48,37,0,0,n51
13.40597,1.36752,60,31,0,0,n52
13.407038,1.3664516,55,38,0,0,n53
15.224343,0.8429479,35,46,0,0,n54
15.363233,0.91239226,38,67,0,0,n55
15.47007,0.80555475,43,72,0,0,n56
15.55554,0.5074781,47,67,0,0,n57
15.638873,0.6367515,50,77,0,0,n58
15.678403,0.5972216,55,75,0,0,n59
15.769215,0.50640976,59,80,0,0,n60
15.85148,0.21688013,62,77,0,0,n61
15.909172,0.15491438,67,70,0,0,n62
15.97007,0.30555525,71,82,0,0,n63
16.05554,3.820509,74,91,0,0,n64
16.063019,3.8130305,47,93,0,0,n65
16.064087,3.811962,67,87,0,0,n66
16.067291,3.8087568,35,87,0,0,n67
16.06836,3.8076885,62,98,0,0,n68
20.779894,0.37393126,56,91,0,0,n69
20.780962,0.37286288,68,90,0,0,n70
20.950834,2.0587587,59,92,0,0,n71
20.956175,1.8525623,47,89,0,0,n72
22.80126,0.1923075,80,90,0,0,n73
22.804464,0.18910238,68,95,0,0,n74
22.808739,0.521367,35,81,0,0,n75
22.808739,0.19871774,47,84,0,0,n76
22.813011,0.19123912,74,87,0,0,n77
22.813011,0.18696563,77,80,0,0,n78
22.993567,4.0865345,68,94,0,0,n79
22.993567,6.70619,80,95,0,0,n80
22.999977,4.077987,77,82,0,0,n81
23.00425,4.090808,74,80,0,0,n82
23.007456,6.692301,47,80,0,0,n83
23.009592,4.0694404,59,80,0,0,n84
23.040575,0.28952962,57,39,0,0,n85
27.077965,0.16132462,77,96,0,0,n86
27.079033,0.18055537,59,65,0,0,n87
27.080101,0.17307675,68,64,0,0,n88
27.095058,0.16987163,74,74,0,0,n89
27.239288,0.39423037,77,95,0,0,n90
27.253178,2.4465787,68,74,0,0,n91
27.259588,2.4401686,59,67,0,0,n92
27.26493,2.4348266,74,68,0,0,n93
27.316212,1.7980751,76,15,0,0,n94
27.515999,0.19337587,79,66,0,0,n95
27.63352,0.14850412,77,61,0,0,n96
27.709373,0.1752135,79,47,0,0,n97
27.782024,0.15598275,77,63,0,0,n98
27.884588,0.14636737,79,51,0,0,n99
27.938005,0.14423062,77,61,0,0,n100
28.030954,0.145299,79,58,0,0,n101
28.082237,0.15491438,77,65,0,0,n102
28.176254,0.14316225,79,58,0,0,n103
28.237152,0.13461526,77,55,0,0,n104
28.319416,0.15277763,79,55,0,0,n105
28.371767,0.16452976,77,60,0,0,n106
28.472195,0.1581195,79,48,0,0,n107
28.536297,0.14743575,77,54,0,0,n108
28.630314,0.1239315,79,53,0,0,n109
28.683731,0.14636737,77,43,0,0,n110
28.754244,0.17200838,79,60,0,0,n111
28.8301,0.13782038,77,61,0,0,n112
28.926252,0.7735035,79,61,0,0,n113
28.96792,0.29700825,77,51,0,0,n114
29.114286,0.44337562,76,57,0,0,n115
29.264929,0.43803376,77,59,0,0,n116
29.557663,1.0202981,76,55,0,0,n117
29.590782,0.9871785,67,44,0,0,n118
29.59826,0.97969985,61,34,0,0,n119
29.604671,0.9732896,58,35,0,0,n120
31.596123,1.427349,77,64,0,0,n121
31.619627,1.4038447,72,49,0,0,n122
31.621763,1.401708,65,37,0,0,n123
31.628174,1.3952978,60,34,0,0,n124
31.631378,1.3920926,56,39,0,0,n125
33.226463,0.811965,40,56,0,0,n126
33.35253,0.8856829,43,70,0,0,n127
33.45937,0.77884537,48,72,0,0,n128
33.5427,0.487179,52,63,0,0,n129
33.626034,0.61217886,55,75,0,0,n130
33.670906,0.5673071,60,76,0,0,n131
33.738213,0.4999995,64,83,0,0,n132
33.837574,0.19444425,67,73,0,0,n133
33.894196,0.13888875,72,72,0,0,n134
33.948685,0.28952962,76,85,0,0,n135
34.022404,3.7072613,79,90,0,0,n136
34.02988,3.6997826,52,93,0,0,n137
34.032017,3.697646,67,90,0,0,n138
34.033085,3.6965775,72,80,0,0,n139
34.03843,3.6912355,40,83,0,0,n140
38.600388,0.39529875,61,97,0,0,n141
38.601456,0.39423037,49,96,0,0,n142
38.77026,2.2457242,52,99,0,0,n143
38.7756,2.2403824,40,92,0,0,n144
40.614277,0.23397413,85,90,0,0,n145
40.615345,0.23290575,73,93,0,0,n146
40.61748,0.239316,77,88,0,0,n147
40.619617,0.24145275,82,85,0,0,n148
40.626026,0.2350425,53,90,0,0,n149
40.63137,0.23397413,41,88,0,0,n150
40.84825,3.4123898,73,92,0,0,n151
40.84825,5.592943,85,84,0,0,n152
40.856796,5.5843964,77,85,0,0,n153
40.86107,3.4027743,53,88,0,0,n154
40.86107,3.3803384,82,81,0,0,n155
40.865345,5.575849,41,82,0,0,n156
44.24141,0.18910238,82,88,0,0,n157
44.26064,0.196581,73,62,0,0,n158
44.261707,0.18696563,61,58,0,0,n159
44.262775,0.18910238,58,58,0,0,n160
44.263844,0.19017075,53,58,0,0,n161
44.43051,0.43803376,82,89,0,0,n162
44.448673,1.8194426,61,59,0,0,n163
44.451878,1.8183743,58,59,0,0,n164
44.454014,1.9871775,53,62,0,0,n165
44.457222,1.8226477,73,66,0,0,n166
44.739273,0.21581174,84,68,0,0,n167
44.868546,0.17841862,82,71,0,0,n168
44.955082,0.18696563,84,66,0,0,n169
45.046963,0.15491438,82,64,0,0,n170
45.142048,0.17628187,84,57,0,0,n171
45.201878,0.17628187,82,56,0,0,n172
45.31833,0.1581195,84,57,0,0,n173
45.37816,0.1581195,82,55,0,0,n174
45.47645,0.29593986,84,48,0,0,n175
45.536278,0.14209388,82,45,0,0,n176
45.67837,0.102564,82,43,0,0,n177
45.77239,0.66880274,84,8,0,0,n178
45.780937,0.25854674,82,55,0,0,n179
45.901665,0.5395294,80,65,0,0,n180
46.005295,0.435897,81,20,0,0,n181
46.039482,0.18910238,82,69,0,0,n182
46.22859,1.726494,82,66,0,0,n183
46.261707,1.7115368,75,44,0,0,n184
46.26491,2.0534167,54,33,0,0,n185
46.268116,1.7083316,61,39,0,0,n186
46.270252,1.7083316,58,33,0,0,n187
46.27987,0.06196575,73,45,0,0,n188
46.341835,1.6463659,73,15,0,0,n189
47.955082,0.20726475,82,76,0,0,n190
47.973244,0.19444425,75,51,0,0,n191
47.97538,0.213675,55,43,0,0,n192
47.976448,0.22115363,61,42,0,0,n193
47.978584,0.2179485,58,41,0,0,n194
47.9882,0.18696563,73,36,0,0,n195
48.162346,3.7702954,82,65,0,0,n196
48.167686,3.2745693,75,50,0,0,n197
48.175167,3.6452954,73,44,0,0,n198
48.189053,3.6314065,55,24,0,0,n199
48.196533,3.623928,58,38,0,0,n200
48.1976,3.6228597,61,39,0,0,n201
51.41875,0.20405963,80,69,0,0,n202
51.44012,0.20726475,72,40,0,0,n203
51.442257,0.19551262,75,47,0,0,n204
51.456146,0.19551262,60,46,0,0,n205
51.466827,0.18696563,56,35,0,0,n206
51.62281,1.9091861,80,63,0,0,n207
51.637768,1.5673062,75,41,0,0,n208
51.647385,1.5534172,72,42,0,0,n209
51.651657,1.88034,60,33,0,0,n210
51.653793,1.8782033,56,46,0,0,n211
53.18905,0.1752135,78,67,0,0,n212
53.2008,0.196581,72,41,0,0,n213
53.204006,0.205128,63,53,0,0,n214
53.205074,0.16346137,75,55,0,0,n215
53.20828,0.19444425,57,49,0,0,n216
53.209347,0.17200838,66,48,0,0,n217
53.36426,1.8130324,78,60,0,0,n218
53.368538,1.8237162,75,50,0,0,n219
53.381355,1.8215793,66,45,0,0,n220
53.39738,2.1324766,72,38,0,0,n221
53.402725,2.1271346,57,45,0,0,n222
53.409134,1.7927332,63,49,0,0,n223
55.177296,0.19978613,78,63,0,0,n224
55.18691,0.205128,70,39,0,0,n225
55.192253,0.18910238,75,51,0,0,n226
55.201866,0.22329037,63,43,0,0,n227
55.202938,0.19444425,66,36,0,0,n228
55.20828,0.21046987,58,35,0,0,n229
55.377083,3.3878171,78,66,0,0,n230
55.381355,3.3995693,75,39,0,0,n231
55.39204,3.7393124,70,25,0,0,n232
55.39738,3.3878171,66,30,0,0,n233
55.418747,3.712603,58,41,0,0,n234
55.42516,3.358971,63,40,0,0,n235
58.7649,0.19337587,78,66,0,0,n236
58.77131,0.21581174,69,43,0,0,n237
58.780926,0.213675,75,51,0,0,n238
58.78413,0.21046987,63,46,0,0,n239
58.7852,0.1752135,66,44,0,0,n240
58.788403,0.19123912,59,41,0,0,n241
58.958275,1.5886736,78,67,0,0,n242
58.96041,1.589742,66,37,0,0,n243
58.97964,1.8685879,59,31,0,0,n244
58.98712,1.5769215,69,18,0,0,n245
58.9946,1.5619643,63,37,0,0,n246
58.9946,1.5705112,75,52,0,0,n247
60.546947,0.179487,78,68,0,0,n248
60.55015,0.21153826,66,50,0,0,n249
60.556564,0.21260662,63,49,0,0,n250
60.562973,0.21153826,60,50,0,0,n251
60.56404,0.18696563,69,40,0,0,n252
60.56511,0.19123912,75,57,0,0,n253
60.726437,2.1805534,78,61,0,0,n254
60.751007,2.1559808,69,33,0,0,n255
60.756348,2.1506388,75,55,0,0,n256
60.761692,2.145297,66,44,0,0,n257
60.76917,2.1378183,63,32,0,0,n258
60.774513,2.1324766,60,30,0,0,n259
62.53733,0.22435875,77,56,0,0,n260
62.55122,0.24893138,68,34,0,0,n261
62.55122,0.22008525,73,46,0,0,n262
62.553356,0.222222,65,39,0,0,n263
62.56938,0.23183738,61,36,0,0,n264
62.76169,3.264954,77,55,0,0,n265
62.771305,3.6399536,73,30,0,0,n266
62.775578,3.2692275,65,29,0,0,n267
62.80015,3.2414498,68,18,0,0,n268
62.80122,3.6100392,61,33,0,0,n269
66.02664,0.1837605,77,63,0,0,n270
66.0416,0.20726475,68,38,0,0,n271
66.04267,0.20619637,62,45,0,0,n272
66.04374,0.18269213,71,52,0,0,n273
66.04481,0.19444425,65,36,0,0,n274
66.2104,1.632477,77,62,0,0,n275
66.22643,1.6346138,71,43,0,0,n276
66.23925,4.0491414,65,36,0,0,n277
66.24886,4.039526,62,37,0,0,n278
66.24886,1.6249983,68,32,0,0,n279
67.83861,0.18589725,50,48,0,0,n280
67.84288,0.18162376,77,60,0,0,n281
67.861046,0.1837605,71,49,0,0,n282
67.86425,0.153846,38,37,0,0,n283
67.87386,0.17094,68,26,0,0,n284
68.0181,2.2702968,38,37,0,0,n285
68.024506,2.2638867,50,34,0,0,n286
68.024506,2.2638867,77,55,0,0,n287
68.04481,1.8258529,68,37,0,0,n288
68.04481,2.2435875,71,48,0,0,n289
69.85997,0.21474338,75,58,0,0,n290
69.87066,0.21901688,68,43,0,0,n291
69.87707,0.22115363,72,47,0,0,n292
69.89309,0.2094015,51,32,0,0,n293
69.895226,0.21688013,39,35,0,0,n294
70.074715,3.3621762,75,54,0,0,n295
70.089676,3.3685863,68,30,0,0,n296
70.09822,3.350424,72,38,0,0,n297
70.10249,3.3546975,51,39,0,0,n298
70.11211,3.3525608,39,35,0,0,n299
73.43689,0.19444425,75,67,0,0,n300
73.44865,0.20619637,72,61,0,0,n301
73.45719,0.17735025,51,45,0,0,n302
73.45826,0.17841862,68,41,0,0,n303
73.46467,0.18696563,39,47,0,0,n304
73.63134,1.9893142,75,65,0,0,n305
73.634544,1.9861091,51,43,0,0,n306
73.63668,1.9839724,68,40,0,0,n307
73.651634,1.9690151,39,30,0,0,n308
73.65484,1.96581,72,54,0,0,n309
75.205055,0.179487,73,77,0,0,n310
75.216805,0.18162376,52,69,0,0,n311
75.21894,0.19017075,67,61,0,0,n312
75.21894,0.17414513,70,68,0,0,n313
75.22642,0.1752135,40,61,0,0,n314
75.38454,1.7136735,73,64,0,0,n315
75.39309,1.7126051,70,68,0,0,n316
75.39843,2.0416646,52,63,0,0,n317
75.401634,2.0384595,40,56,0,0,n318
75.40911,2.0309808,67,53,0,0,n319
77.09821,0.179487,73,81,0,0,n320
77.10569,0.17628187,70,76,0,0,n321
77.10783,0.16025625,53,80,0,0,n322
