onset_sec,duration_sec,pitch,velocity,track,channel,id
2.0045385,0.22168781,63,94,0,0,n0
2.0058742,0.22035234,51,94,0,0,n1
2.1527755,1.7013872,54,103,0,0,n2
2.1541111,1.5224344,42,99,0,0,n3
3.6645262,0.17361094,63,96,0,0,n4
3.6698682,0.17227547,75,89,0,0,n5
3.672539,0.16960452,72,80,0,0,n6
3.67521,0.25373906,30,91,0,0,n7
3.67521,0.17227547,69,80,0,0,n8
3.6765454,0.17094,42,94,0,0,n9
3.8381371,2.885948,63,111,0,0,n10
3.8421435,2.8672514,72,85,0,0,n11
3.8421435,4.9505825,75,100,0,0,n12
3.8474855,4.945241,42,90,0,0,n13
3.8474855,2.8779352,69,78,0,0,n14
3.854163,2.8712578,54,89,0,0,n15
6.709395,0.11752125,72,92,0,0,n16
6.7240853,0.11885672,63,66,0,0,n17
6.7254205,0.1322114,54,61,0,0,n18
6.7254205,0.11485031,69,75,0,0,n19
6.826916,0.42467907,72,97,0,0,n20
6.840271,0.9788986,69,77,0,0,n21
6.8429418,1.9497844,63,74,0,0,n22
6.857632,1.9350942,54,73,0,0,n23
7.116713,0.2524036,74,85,0,0,n24
7.2515955,0.19364297,72,82,0,0,n25
7.369117,0.16159172,74,79,0,0,n26
7.445238,0.14022422,72,70,0,0,n27
7.5307083,0.14423062,74,66,0,0,n28
7.5854626,0.15090796,72,64,0,0,n29
7.6749387,0.14022422,74,68,0,0,n30
7.7363706,0.14556609,72,63,0,0,n31
7.815163,0.120192185,74,60,0,0,n32
7.8191695,0.2644228,69,9,0,0,n33
7.8819366,0.13621782,72,55,0,0,n34
7.935355,0.14289516,74,48,0,0,n35
8.018154,0.11485031,72,65,0,0,n36
8.078251,0.7144758,74,60,0,0,n37
8.083592,0.7091339,69,3,0,0,n38
8.133005,0.30181593,72,59,0,0,n39
8.255868,0.535523,71,73,0,0,n40
8.43482,0.37393126,72,73,0,0,n41
8.786049,0.58760625,55,28,0,0,n42
8.79139,0.5902772,71,42,0,0,n43
8.810087,0.5969545,67,37,0,0,n44
8.830119,0.55288404,62,27,0,0,n45
10.580919,0.73717874,72,46,0,0,n46
10.596945,0.72115314,63,32,0,0,n47
10.600951,0.7171467,60,34,0,0,n48
10.602286,0.71581125,48,32,0,0,n49
10.606293,0.71180487,67,23,0,0,n50
10.627661,0.6904373,55,26,0,0,n51
12.069966,0.66372794,35,67,0,0,n52
12.138076,0.5956191,38,73,0,0,n53
12.190159,0.54353577,43,67,0,0,n54
12.2489195,0.48477516,47,57,0,0,n55
12.333054,0.40064064,48,81,0,0,n56
12.389144,0.34455094,55,67,0,0,n57
12.394485,0.33920905,53,53,0,0,n58
12.453246,0.28044844,59,88,0,0,n59
12.459924,0.2737711,54,59,0,0,n60
12.487968,0.24572624,62,82,0,0,n61
12.557413,0.17628187,67,69,0,0,n62
12.601483,0.1322114,71,87,0,0,n63
