xml_id	midi_id	track	channel	pitch	onset
n371-1	n354	0	0	25	75.88934718749687
n642-1	n589	0	0	25	116.39277890624405
n1622-1	n1825	0	0	25	418.80032906253257
n1893-1	n2064	0	0	25	459.22897453130093
n458-1	n453	0	0	29	90.48735609374636
n729-1	n689	0	0	29	130.98678140624355
n1709-1	n1927	0	0	29	433.4504212500364
n1980-1	n2163	0	0	29	474.3157650000537
n351-1	n351	0	0	32	74.50580156249687
n398-1	n389	0	0	32	80.94810281249669
n622-1	n579	0	0	32	116.08962749999408
n669-1	n625	0	0	32	121.17642796874395
n886-1	n816	0	0	32	156.65449078124115
n917-1	n842	0	0	32	168.38257734374068
n921-1	n847	0	0	32	170.32568437499063
n1010-1	n921	0	0	32	187.16861624998978
n917-2	n955	0	0	32	200.4592012499896
n921-2	n960	0	0	32	202.43569499998952
n1010-2	n1036	0	0	32	219.70864781248886
n1023-1	n1046	0	0	32	223.9407482812387
n1027-1	n1051	0	0	32	225.8945390624887
n1151-1	n1171	0	0	32	262.8336046874875
n1155-1	n1176	0	0	32	264.8354723437377
n1244-1	n1249	0	0	32	281.6303273437403
n1023-2	n1259	0	0	32	285.77562234374085
n1027-2	n1264	0	0	32	287.90168859374114
n1151-2	n1385	0	0	32	323.3517065624972
n1155-2	n1390	0	0	32	325.2373884374975
n1244-2	n1464	0	0	32	341.82257484375
n1602-1	n1822	0	0	32	417.5075953125325
n1649-1	n1863	0	0	32	423.71351859378353
n1873-1	n2057	0	0	32	458.8430240625508
n1920-1	n2099	0	0	32	464.22763406255183
n620-1	n575	0	0	33	115.12808999999409
n1871-1	n2054	0	0	33	457.87347375005066
n9-1	n4	0	0	34	0.6116446875000001
n15-1	n15	0	0	34	3.38007140625
n29-1	n24	0	0	34	6.068370000000007
n35-1	n35	0	0	34	8.812758281250018
n51-1	n44	0	0	34	11.467670156250035
n57-1	n55	0	0	34	14.18668453125005
n73-1	n66	0	0	34	16.87498312500007
n79-1	n79	0	0	34	19.623377812500085
n100-1	n89	0	0	34	22.2956507812501
n106-1	n103	0	0	34	25.082774062500107
n127-1	n118	0	0	34	27.77507906250011
n133-1	n134	0	0	34	30.335172656250123
n153-1	n144	0	0	34	33.17705015625006
n159-1	n159	0	0	34	35.729130937499946
n179-1	n170	0	0	34	38.502899531249724
n185-1	n184	0	0	34	41.03628374999958
n201-1	n195	0	0	34	43.664486249999364
n207-1	n206	0	0	34	46.3407656249992
n223-1	n218	0	0	34	49.078476562498956
n229-1	n230	0	0	34	51.758762343748714
n254-1	n239	0	0	34	54.43771265624853
n260-1	n259	0	0	34	56.87627859374831
n285-1	n270	0	0	34	59.58594468749812
n291-1	n289	0	0	34	62.292939843747895
n313-1	n301	0	0	34	65.02664437499769
n319-1	n315	0	0	34	67.7656907812474
n342-1	n329	0	0	34	70.57952343749724
n348-1	n344	0	0	34	73.17567468749705
n439-1	n421	0	0	34	85.84393124999652
n584-1	n537	0	0	34	105.72505453124502
n590-1	n548	0	0	34	108.40934671874467
n611-1	n558	0	0	34	111.02152359374449
n617-1	n572	0	0	34	113.72050593749428
n710-1	n657	0	0	34	126.1750874999938
n855-1	n779	0	0	34	146.67186187499183
n861-1	n790	0	0	34	149.33745749999161
n877-1	n802	0	0	34	152.05780734374142
n883-1	n813	0	0	34	154.85027249999123
n945-1	n871	0	0	34	178.28908453124026
n945-2	n984	0	0	34	210.3710503124895
n1034-1	n1059	0	0	34	227.59859718748865
n1038-1	n1065	0	0	34	229.5016401562386
n1047-1	n1070	0	0	34	231.29383921873847
n1051-1	n1075	0	0	34	233.1835274999884
n1179-1	n1199	0	0	34	272.61457781248805
n1034-2	n1272	0	0	34	289.5149348437412
n1038-2	n1278	0	0	34	291.2817599999914
n1047-2	n1283	0	0	34	293.0018437499917
n1051-2	n1288	0	0	34	294.719256562492
n1179-2	n1414	0	0	34	332.8722632812481
n1260-1	n1476	0	0	34	348.25686328125295
n1266-1	n1487	0	0	34	350.6473523437535
n1280-1	n1496	0	0	34	353.06989265625447
n1286-1	n1507	0	0	34	355.5471871875055
n1302-1	n1516	0	0	34	357.9603792187566
n1308-1	n1528	0	0	34	360.3455264062574
n1324-1	n1540	0	0	34	362.84552390625856
n1330-1	n1552	0	0	34	365.44968796875946
n1351-1	n1562	0	0	34	368.06320031251033
n1357-1	n1576	0	0	34	370.5859007812612
n1378-1	n1591	0	0	34	373.16869734376206
n1384-1	n1605	0	0	34	375.6860559375128
n1404-1	n1614	0	0	34	378.18471796876435
n1410-1	n1631	0	0	34	380.7221085937653
n1430-1	n1642	0	0	34	383.32627265626684
n1436-1	n1657	0	0	34	385.7982253125177
n1452-1	n1665	0	0	34	388.35431250001847
n1458-1	n1678	0	0	34	390.92241890626934
n1474-1	n1690	0	0	34	393.5426085937701
n1480-1	n1702	0	0	34	396.15612093752105
n1505-1	n1711	0	0	34	398.60136421877195
n1511-1	n1732	0	0	34	401.0786587500232
n1536-1	n1744	0	0	34	403.65344250002437
n1542-1	n1761	0	0	34	406.05461531252587
n1564-1	n1774	0	0	34	408.613373437527
n1570-1	n1788	0	0	34	411.2108601562785
n1593-1	n1802	0	0	34	413.8083468750305
n1599-1	n1817	0	0	34	416.2482482812813
n1690-1	n1895	0	0	34	428.79497718753504
n1835-1	n2016	0	0	34	448.5545728125463
n1841-1	n2027	0	0	34	451.1694206250475
n1862-1	n2039	0	0	34	453.7949521875483
n1868-1	n2051	0	0	34	456.51930843754945
n1961-1	n2131	0	0	34	469.58954109380255
n2106-1	n2253	0	0	34	490.1584307813136
n2112-1	n2263	0	0	34	492.8694323438147
n2127-1	n2273	0	0	34	495.8221537500656
n2133-1	n2288	0	0	34	499.36248140631665
n1058-1	n1083	0	0	36	234.80478656248826
n1062-1	n1089	0	0	36	236.7625837499882
n1058-2	n1296	0	0	36	296.35520578124203
n1062-2	n1302	0	0	36	298.3316995312423
n12-1	n9	0	0	37	1.992519375
n18-1	n19	0	0	37	4.7088628125
n32-1	n29	0	0	37	7.453251093750015
n38-1	n39	0	0	37	10.101485625000022
n54-1	n49	0	0	37	12.836525625000046
n60-1	n60	0	0	37	15.531501562500065
n76-1	n73	0	0	37	18.238496718750078
n82-1	n83	0	0	37	20.94549187500009
n103-1	n95	0	0	37	23.724602343750103
n109-1	n109	0	0	37	26.478338906250116
n130-1	n126	0	0	37	29.066477343750115
n136-1	n138	0	0	37	31.637254687500135
n156-1	n152	0	0	37	34.439068125000006
n162-1	n164	0	0	37	37.00717453124989
n182-1	n178	0	0	37	39.70215046874965
n188-1	n190	0	0	37	42.32234015624951
n204-1	n200	0	0	37	44.995948593749276
n210-1	n211	0	0	37	47.709621093749035
n226-1	n224	0	0	37	50.42062265624883
n232-1	n234	0	0	37	53.06752171874863
n257-1	n250	0	0	37	55.67168578124842
n263-1	n265	0	0	37	58.191715312498175
n288-1	n280	0	0	37	60.92007796874796
n294-1	n295	0	0	37	63.58967999999783
n316-1	n307	0	0	37	66.36879046874756
n322-1	n320	0	0	37	69.15591374999734
n345-1	n337	0	0	37	71.8722571874972
n372-1	n355	0	0	37	75.88934718749687
n444-1	n435	0	0	37	88.18500796874643
n538-1	n532	0	0	37	104.99054671874512
n587-1	n541	0	0	37	107.04716859374487
n593-1	n553	0	0	37	109.7114287499946
n614-1	n566	0	0	37	112.34363765624441
n643-1	n586	0	0	37	116.39010796874405
n715-1	n672	0	0	37	128.55756374999373
n809-1	n774	0	0	37	145.80113624999194
n858-1	n784	0	0	37	148.05540749999173
n864-1	n795	0	0	37	150.69162281249152
n880-1	n808	0	0	37	153.3865987499913
n893-1	n818	0	0	37	159.34278937499087
n897-1	n823	0	0	37	162.16730578124086
n928-1	n855	0	0	37	172.3449131249906
n932-1	n861	0	0	37	174.53241093749057
n941-1	n866	0	0	37	176.52760124999048
n1014-1	n926	0	0	37	189.21321890623975
n893-2	n931	0	0	37	191.76529968748977
n897-2	n936	0	0	37	194.07566062498975
n928-2	n968	0	0	37	204.3707892187395
n932-2	n974	0	0	37	206.6250604687395
n941-2	n979	0	0	37	208.6175798437395
n1014-2	n1041	0	0	37	221.74523765623883
n1075-1	n1098	0	0	37	240.5646632812379
n1127-1	n1147	0	0	37	254.47757671873703
n1131-1	n1152	0	0	37	256.730512499987
n1162-1	n1184	0	0	37	266.7184832812378
n1166-1	n1190	0	0	37	268.855233281238
n1075-2	n1312	0	0	37	302.46096890624335
n1127-2	n1361	0	0	37	315.78360515624644
n1131-2	n1366	0	0	37	317.7467442187466
n1162-2	n1398	0	0	37	327.0696515624976
n1166-2	n1404	0	0	37	329.0701837499978
n1175-2	n1409	0	0	37	330.9932587499979
n1263-1	n1481	0	0	37	349.4347467187531
n1269-1	n1491	0	0	37	351.83859046875403
n1283-1	n1501	0	0	37	354.29318203125507
n1289-1	n1511	0	0	37	356.74109625000597
n1305-1	n1520	0	0	37	359.13959812500696
n1311-1	n1533	0	0	37	361.6088798437581
n1327-1	n1546	0	0	37	364.151612343759
n1333-1	n1556	0	0	37	366.72105421875995
n1354-1	n1568	0	0	37	369.35593406251076
n1360-1	n1582	0	0	37	371.89866656251166
n1381-1	n1598	0	0	37	374.44807640626243
n1387-1	n1610	0	0	37	376.8826359375135
n1407-1	n1623	0	0	37	379.4240329687648
n1413-1	n1636	0	0	37	381.9854620312658
n1433-1	n1649	0	0	37	384.50682703126733
n1439-1	n1662	0	0	37	387.0455531250181
n1455-1	n1672	0	0	37	389.6203368750189
n1461-1	n1683	0	0	37	392.2592231250198
n1477-1	n1696	0	0	37	394.88475468752074
n1483-1	n1706	0	0	37	397.3807457812715
n1508-1	n1724	0	0	37	399.85670484377283
n1514-1	n1738	0	0	37	402.3366703125242
n1539-1	n1753	0	0	37	404.836667812525
n1545-1	n1768	0	0	37	407.3006076562764
n1567-1	n1779	0	0	37	409.88340421877757
n1573-1	n1793	0	0	37	412.50359390627904
n1596-1	n1809	0	0	37	415.03831359378097
n1623-1	n1826	0	0	37	418.8176901562826
n1695-1	n1910	0	0	37	431.2028273437858
n1789-1	n2011	0	0	37	447.75329156254577
n1838-1	n2021	0	0	37	449.8766868750471
n1844-1	n2032	0	0	37	452.4474642187979
n1865-1	n2045	0	0	37	455.1544593750489
n1894-1	n2065	0	0	37	459.23031000005096
n1966-1	n2145	0	0	37	472.0267715625531
n2060-1	n2248	0	0	37	489.28369875006325
n2109-1	n2258	0	0	37	491.50191234381424
n2115-1	n2269	0	0	37	494.37851203131515
n2130-1	n2282	0	0	37	497.31253687506614
n904-1	n831	0	0	39	164.25597890624078
n908-1	n837	0	0	39	166.29123328124072
n960-1	n881	0	0	39	180.14805703124017
n904-2	n944	0	0	39	196.09622484373972
n908-2	n950	0	0	39	198.35717343748965
n960-2	n994	0	0	39	212.25005484373935
n1086-1	n1106	0	0	39	242.30477906248768
n1117-1	n1140	0	0	39	251.71716281248715
n1138-1	n1160	0	0	39	258.71768999998716
n1142-1	n1166	0	0	39	260.7916729687374
n1194-1	n1208	0	0	39	274.5803878124885
n1086-2	n1320	0	0	39	304.19040093749334
n1117-2	n1354	0	0	39	313.28093671874564
n1138-2	n1374	0	0	39	319.57099453124675
n1142-2	n1380	0	0	39	321.4566764062471
n1194-2	n1424	0	0	39	334.8674535937484
n541-1	n503	0	0	40	100.06934437499558
n571-1	n526	0	0	40	102.55064531249533
n812-1	n743	0	0	40	140.4966543749927
n842-1	n768	0	0	40	143.25706828124225
n1792-1	n1980	0	0	40	442.8521212500421
n1822-1	n2005	0	0	40	445.3881764062944
n2063-1	n2217	0	0	40	484.1848790625596
n2093-1	n2242	0	0	40	486.6327932813119
n10-1	n2	0	0	41	0.5595614062500001
n16-1	n12	0	0	41	3.3627103125
n30-1	n21	0	0	41	6.037654218750007
n36-1	n32	0	0	41	8.783377968750017
n52-1	n42	0	0	41	11.430277031250034
n58-1	n54	0	0	41	14.18401359375005
n74-1	n64	0	0	41	16.84026093750007
n80-1	n77	0	0	41	19.581978281250084
n101-1	n86	0	0	41	22.279625156250102
n107-1	n101	0	0	41	25.058735625000107
n128-1	n117	0	0	41	27.753711562500115
n134-1	n133	0	0	41	30.316476093750122
n154-1	n143	0	0	41	33.15167625000006
n160-1	n156	0	0	41	35.70108609374995
n180-1	n169	0	0	41	38.497557656249725
n186-1	n182	0	0	41	41.017587187499586
n202-1	n194	0	0	41	43.63377046874936
n208-1	n205	0	0	41	46.3193981249992
n224-1	n217	0	0	41	49.07313468749896
n230-1	n229	0	0	41	51.73873031249872
n255-1	n240	0	0	41	54.457744687498526
n261-1	n258	0	0	41	56.85891749999831
n286-1	n269	0	0	41	59.57926734374812
n292-1	n288	0	0	41	62.2675659374979
n314-1	n298	0	0	41	64.99058671874769
n320-1	n312	0	0	41	67.7349749999974
n343-1	n328	0	0	41	70.55815593749725
n349-1	n345	0	0	41	73.17567468749705
n459-1	n452	0	0	41	90.47266593749636
n542-1	n504	0	0	41	100.25630999999558
n546-1	n508	0	0	41	100.59685453124557
n548-1	n510	0	0	41	101.0482429687455
n550-1	n512	0	0	41	101.25791156249547
n552-1	n514	0	0	41	101.47425749999543
n554-1	n516	0	0	41	101.67457781249541
n558-1	n521	0	0	41	101.9016074999954
n564-1	n523	0	0	41	102.15801749999538
n570-1	n525	0	0	41	102.37035703124536
n572-1	n527	0	0	41	102.71223703124531
n537-1	n531	0	0	41	104.37756656249519
n585-1	n535	0	0	41	105.70502249999502
n591-1	n547	0	0	41	108.37195359374468
n612-1	n559	0	0	41	111.02419453124449
