idx,matchtype,partid,ppartid
0,0,n371-1,n354
1,0,n642-1,n589
2,0,n1622-1,n1825
3,0,n1893-1,n2064
4,0,n458-1,n453
5,0,n729-1,n689
6,0,n1709-1,n1927
7,0,n1980-1,n2163
8,0,n351-1,n351
9,0,n398-1,n389
10,0,n622-1,n579
11,0,n669-1,n625
12,0,n886-1,n816
13,0,n917-1,n842
14,0,n921-1,n847
15,0,n1010-1,n921
16,0,n917-2,n955
17,0,n921-2,n960
18,0,n1010-2,n1036
19,0,n1023-1,n1046
20,0,n1027-1,n1051
21,0,n1151-1,n1171
22,0,n1155-1,n1176
23,0,n1244-1,n1249
24,0,n1023-2,n1259
25,0,n1027-2,n1264
26,0,n1151-2,n1385
27,0,n1155-2,n1390
28,0,n1244-2,n1464
29,0,n1602-1,n1822
30,0,n1649-1,n1863
31,0,n1873-1,n2057
32,0,n1920-1,n2099
33,0,n620-1,n575
34,0,n1871-1,n2054
35,0,n9-1,n4
36,0,n15-1,n15
37,0,n29-1,n24
38,0,n35-1,n35
39,0,n51-1,n44
40,0,n57-1,n55
41,0,n73-1,n66
42,0,n79-1,n79
43,0,n100-1,n89
44,0,n106-1,n103
45,0,n127-1,n118
46,0,n133-1,n134
47,0,n153-1,n144
48,0,n159-1,n159
49,0,n179-1,n170
50,0,n185-1,n184
51,0,n201-1,n195
52,0,n207-1,n206
53,0,n223-1,n218
54,0,n229-1,n230
55,0,n254-1,n239
56,0,n260-1,n259
57,0,n285-1,n270
58,0,n291-1,n289
59,0,n313-1,n301
60,0,n319-1,n315
61,0,n342-1,n329
62,0,n348-1,n344
63,0,n439-1,n421
64,0,n584-1,n537
65,0,n590-1,n548
66,0,n611-1,n558
67,0,n617-1,n572
68,0,n710-1,n657
69,0,n855-1,n779
70,0,n861-1,n790
71,0,n877-1,n802
72,0,n883-1,n813
73,0,n945-1,n871
74,0,n945-2,n984
75,0,n1034-1,n1059
76,0,n1038-1,n1065
77,0,n1047-1,n1070
78,0,n1051-1,n1075
79,0,n1179-1,n1199
80,0,n1034-2,n1272
81,0,n1038-2,n1278
82,0,n1047-2,n1283
83,0,n1051-2,n1288
84,0,n1179-2,n1414
85,0,n1260-1,n1476
86,0,n1266-1,n1487
87,0,n1280-1,n1496
88,0,n1286-1,n1507
89,0,n1302-1,n1516
90,0,n1308-1,n1528
91,0,n1324-1,n1540
92,0,n1330-1,n1552
93,0,n1351-1,n1562
94,0,n1357-1,n1576
95,0,n1378-1,n1591
96,0,n1384-1,n1605
97,0,n1404-1,n1614
