onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
0.0,1.0,0.0,1.0,0,16,34,5,n9-1
0.0,1.0,0.0,1.0,0,16,41,5,n10-1
0.0,1.0,0.0,1.0,0,16,46,5,n11-1
0.0,1.0,0.0,1.0,0,16,53,2,n5-1
0.0,1.0,0.0,1.0,0,16,58,1,n1-1
1.0,1.0,1.0,1.0,16,16,37,5,n12-1
1.0,1.0,1.0,1.0,16,16,42,5,n13-1
1.0,1.0,1.0,1.0,16,16,49,5,n14-1
1.0,1.0,1.0,1.0,16,16,54,2,n6-1
1.0,0.75,1.0,0.75,16,12,58,1,n2-1
1.75,0.25,1.75,0.25,28,4,58,1,n3-1
2.0,1.0,2.0,1.0,32,16,34,5,n15-1
2.0,1.0,2.0,1.0,32,16,41,5,n16-1
2.0,1.0,2.0,1.0,32,16,46,5,n17-1
2.0,1.0,2.0,1.0,32,16,53,2,n7-1
2.0,2.0,2.0,2.0,32,32,58,1,n4-1
3.0,1.0,3.0,1.0,48,16,37,5,n18-1
3.0,1.0,3.0,1.0,48,16,42,5,n19-1
3.0,1.0,3.0,1.0,48,16,49,5,n20-1
3.0,1.0,3.0,1.0,48,16,54,2,n8-1
4.0,1.0,4.0,1.0,64,16,34,5,n29-1
4.0,1.0,4.0,1.0,64,16,41,5,n30-1
4.0,1.0,4.0,1.0,64,16,46,5,n31-1
4.0,1.0,4.0,1.0,64,16,53,2,n25-1
4.0,1.0,4.0,1.0,64,16,58,1,n21-1
5.0,1.0,5.0,1.0,80,16,37,5,n32-1
5.0,1.0,5.0,1.0,80,16,42,5,n33-1
5.0,1.0,5.0,1.0,80,16,49,5,n34-1
5.0,1.0,5.0,1.0,80,16,54,2,n26-1
5.0,0.75,5.0,0.75,80,12,58,1,n22-1
5.75,0.25,5.75,0.25,92,4,58,1,n23-1
6.0,1.0,6.0,1.0,96,16,34,5,n35-1
6.0,1.0,6.0,1.0,96,16,41,5,n36-1
6.0,1.0,6.0,1.0,96,16,46,5,n37-1
6.0,1.0,6.0,1.0,96,16,53,2,n27-1
6.0,2.0,6.0,2.0,96,32,58,1,n24-1
7.0,1.0,7.0,1.0,112,16,37,5,n38-1
7.0,1.0,7.0,1.0,112,16,42,5,n39-1
7.0,1.0,7.0,1.0,112,16,49,5,n40-1
7.0,1.0,7.0,1.0,112,16,54,2,n28-1
8.0,1.0,8.0,1.0,128,16,34,5,n51-1
8.0,1.0,8.0,1.0,128,16,41,5,n52-1
8.0,1.0,8.0,1.0,128,16,46,5,n53-1
8.0,1.0,8.0,1.0,128,16,53,2,n47-1
8.0,1.0,8.0,1.0,128,16,58,1,n41-1
9.0,1.0,9.0,1.0,144,16,37,5,n54-1
9.0,1.0,9.0,1.0,144,16,42,5,n55-1
9.0,1.0,9.0,1.0,144,16,49,5,n56-1
9.0,1.0,9.0,1.0,144,16,54,2,n48-1
9.0,0.75,9.0,0.75,144,12,58,1,n42-1
9.75,0.25,9.75,0.25,156,4,58,1,n43-1
10.0,1.0,10.0,1.0,160,16,34,5,n57-1
10.0,1.0,10.0,1.0,160,16,41,5,n58-1
10.0,1.0,10.0,1.0,160,16,46,5,n59-1
10.0,1.0,10.0,1.0,160,16,53,2,n49-1
10.0,1.0,10.0,1.0,160,16,58,1,n44-1
11.0,1.0,11.0,1.0,176,16,37,5,n60-1
11.0,1.0,11.0,1.0,176,16,42,5,n61-1
11.0,1.0,11.0,1.0,176,16,49,5,n62-1
11.0,1.0,11.0,1.0,176,16,54,2,n50-1
11.0,0.75,11.0,0.75,176,12,61,1,n45-1
11.75,0.25,11.75,0.25,188,4,60,1,n46-1
12.0,1.0,12.0,1.0,192,16,34,5,n73-1
12.0,1.0,12.0,1.0,192,16,41,5,n74-1
12.0,1.0,12.0,1.0,192,16,46,5,n75-1
12.0,1.0,12.0,1.0,192,16,53,2,n69-1
12.0,0.75,12.0,0.75,192,12,60,1,n64-1
12.0,0.0,12.0,0.0,192,0,61,1,n63-1
12.75,0.25,12.75,0.25,204,4,58,1,n65-1
13.0,1.0,13.0,1.0,208,16,37,5,n76-1
13.0,1.0,13.0,1.0,208,16,42,5,n77-1
13.0,1.0,13.0,1.0,208,16,49,5,n78-1
13.0,1.0,13.0,1.0,208,16,54,2,n70-1
13.0,0.75,13.0,0.75,208,12,58,1,n66-1
13.75,0.25,13.75,0.25,220,4,58,1,n67-1
14.0,1.0,14.0,1.0,224,16,34,5,n79-1
14.0,1.0,14.0,1.0,224,16,41,5,n80-1
14.0,1.0,14.0,1.0,224,16,46,5,n81-1
14.0,1.0,14.0,1.0,224,16,53,2,n71-1
14.0,2.0,14.0,2.0,224,32,58,1,n68-1
15.0,1.0,15.0,1.0,240,16,37,5,n82-1
15.0,1.0,15.0,1.0,240,16,42,5,n83-1
15.0,1.0,15.0,1.0,240,16,49,5,n84-1
15.0,1.0,15.0,1.0,240,16,54,2,n72-1
16.0,1.0,16.0,1.0,256,16,34,5,n100-1
16.0,1.0,16.0,1.0,256,16,41,5,n101-1
16.0,1.0,16.0,1.0,256,16,46,5,n102-1
16.0,1.0,16.0,1.0,256,16,53,2,n95-1
16.0,1.0,16.0,1.0,256,16,58,1,n85-1
16.0,1.0,16.0,1.0,256,16,61,1,n86-1
17.0,1.0,17.0,1.0,272,16,37,5,n103-1
17.0,1.0,17.0,1.0,272,16,42,5,n104-1
17.0,1.0,17.0,1.0,272,16,49,5,n105-1
17.0,1.0,17.0,1.0,272,16,54,2,n96-1
17.0,1.0,17.0,1.0,272,16,58,3,n99-1
17.0,0.75,17.0,0.75,272,12,61,1,n87-1
17.75,0.25,17.75,0.25,284,4,61,1,n88-1
18.0,1.0,18.0,1.0,288,16,34,5,n106-1
18.0,1.0,18.0,1.0,288,16,41,5,n107-1
18.0,1.0,18.0,1.0,288,16,46,5,n108-1
18.0,1.0,18.0,1.0,288,16,53,2,n97-1
18.0,1.0,18.0,1.0,288,16,58,1,n89-1
18.0,1.0,18.0,1.0,288,16,61,1,n90-1
19.0,1.0,19.0,1.0,304,16,37,5,n109-1
19.0,1.0,19.0,1.0,304,16,42,5,n110-1
19.0,1.0,19.0,1.0,304,16,49,5,n111-1
19.0,1.0,19.0,1.0,304,16,54,2,n98-1
19.0,0.75,19.0,0.75,304,12,61,1,n91-1
19.0,0.75,19.0,0.75,304,12,65,1,n92-1
19.75,0.25,19.75,0.25,316,4,60,1,n93-1
19.75,0.25,19.75,0.25,316,4,63,1,n94-1
20.0,1.0,20.0,1.0,320,16,34,5,n127-1
20.0,1.0,20.0,1.0,320,16,41,5,n128-1
20.0,1.0,20.0,1.0,320,16,46,5,n129-1
20.0,1.0,20.0,1.0,320,16,53,2,n123-1
20.0,0.75,20.0,0.75,320,12,60,1,n113-1
20.0,0.75,20.0,0.75,320,12,63,1,n114-1
20.0,0.0,20.0,0.0,320,0,65,1,n112-1
