onset_sec,duration_sec,pitch,velocity,track,channel,id
0.5084375,1.79875,70,57,0,0,n0
0.5771875,1.701875,58,26,0,0,n1
1.0071875,0.796875,65,26,0,0,n2
1.3990625,0.908125,62,39,0,0,n3
1.8040625,0.5459375,65,37,0,0,n4
2.2384374,0.6271875,74,60,0,0,n5
2.2790625,1.609375,58,36,0,0,n6
2.6696875,0.4615625,65,35,0,0,n7
2.7553124,0.3103125,75,52,0,0,n8
2.865625,0.19375,74,54,0,0,n9
2.9459374,0.1196875,72,73,0,0,n10
3.059375,0.8290625,74,68,0,0,n11
3.090625,0.7978125,62,35,0,0,n12
3.43125,0.4571875,75,72,0,0,n13
3.4709375,0.42375,65,41,0,0,n14
3.85,1.634375,76,70,0,0,n15
3.915625,1.56875,57,38,0,0,n16
4.2853127,0.77625,65,40,0,0,n17
4.6625,0.821875,60,40,0,0,n18
5.0459375,0.4384375,77,54,0,0,n19
5.0615625,0.4875,65,29,0,0,n20
5.4490623,1.615625,72,57,0,0,n21
5.4928126,1.571875,57,34,0,0,n22
5.8771877,0.7696875,65,31,0,0,n23
6.2375,0.8271875,60,37,0,0,n24
6.646875,0.459375,65,33,0,0,n25
7.0571876,0.5825,75,59,0,0,n26
7.1115627,1.533125,55,37,0,0,n27
7.4834375,0.4009375,63,42,0,0,n28
7.5353127,0.248125,77,60,0,0,n29
7.6396875,0.14375,75,68,0,0,n30
7.7165623,0.1115625,74,76,0,0,n31
7.8334374,0.81125,75,79,0,0,n32
7.85,0.7946875,58,54,0,0,n33
8.207188,0.4375,77,79,0,0,n34
8.2125,0.4321875,63,43,0,0,n35
8.615625,0.5853125,79,77,0,0,n36
8.678125,1.6665626,51,44,0,0,n37
9.017813,0.48125,58,43,0,0,n38
9.097813,0.290625,81,61,0,0,n39
9.200937,0.1875,79,72,0,0,n40
9.28125,0.1165625,77,75,0,0,n41
9.413438,0.93125,79,77,0,0,n42
9.455313,0.889375,55,35,0,0,n43
9.799063,0.4875,81,72,0,0,n44
9.841562,0.5178125,58,41,0,0,n45
10.286563,1.6603125,81,66,0,0,n46
10.324062,1.6228125,50,37,0,0,n47
10.710313,0.82625,58,35,0,0,n48
11.108438,0.8384375,53,42,0,0,n49
11.497812,0.4490625,82,55,0,0,n50
11.536563,0.445625,58,43,0,0,n51
11.927188,1.6571875,77,56,0,0,n52
11.953125,1.63125,50,31,0,0,n53
12.313437,0.8084375,58,36,0,0,n54
12.708438,0.8759375,53,33,0,0,n55
13.121875,0.4625,58,42,0,0,n56
13.577188,1.4125,79,65,0,0,n57
13.589687,0.7978125,51,40,0,0,n58
14.045938,0.4040625,55,41,0,0,n59
14.414687,0.7915625,51,44,0,0,n60
14.8375,0.36875,80,65,0,0,n61
14.865625,0.340625,59,39,0,0,n62
14.989688,0.2165625,79,71,0,0,n63
15.18125,0.1321875,77,69,0,0,n64
15.20625,0.484375,51,41,0,0,n65
15.596875,0.09375,75,59,0,0,n66
15.60625,0.3946875,60,44,0,0,n67
16.000938,0.473125,51,38,0,0,n68
16.000938,0.06375,74,58,0,0,n69
16.399063,0.128125,72,58,0,0,n70
16.408438,0.5978125,63,30,0,0,n71
16.825937,0.54375,76,63,0,0,n72
16.872812,0.698125,50,40,0,0,n73
17.360313,0.803125,77,57,0,0,n74
17.400938,0.7625,53,39,0,0,n75
