idx,matchtype,partid,ppartid
0,0,n212-1,n200
1,0,n914-1,n869
2,0,n1284-1,n1201
3,0,n1432-1,n1369
4,0,n200-1,n178
5,0,n204-1,n184
6,0,n233-1,n207
7,0,n237-1,n217
8,0,n280-1,n243
9,0,n314-1,n271
10,0,n386-1,n336
11,0,n417-1,n363
12,0,n451-1,n391
13,0,n527-1,n457
14,0,n584-1,n515
15,0,n588-1,n520
16,0,n592-1,n530
17,0,n596-1,n552
18,0,n902-1,n847
19,0,n906-1,n853
20,0,n931-1,n878
21,0,n935-1,n888
22,0,n1288-1,n1212
23,0,n180-1,n174
24,0,n208-1,n195
25,0,n214-1,n203
26,0,n881-1,n843
27,0,n910-1,n864
28,0,n916-1,n873
29,0,n52-1,n46
30,0,n56-1,n53
31,0,n83-1,n73
32,0,n85-1,n76
33,0,n87-1,n81
34,0,n89-1,n85
35,0,n176-1,n168
36,0,n347-1,n311
37,0,n482-1,n433
38,0,n725-1,n690
39,0,n729-1,n697
40,0,n761-1,n718
41,0,n763-1,n721
42,0,n765-1,n726
43,0,n767-1,n731
44,0,n877-1,n833
45,0,n1285-1,n1202
46,0,n1318-1,n1222
47,0,n1333-1,n1227
48,0,n1435-1,n1373
49,0,n48-1,n37
50,0,n75-1,n58
51,0,n77-1,n60
52,0,n79-1,n65
53,0,n81-1,n69
54,0,n172-1,n158
55,0,n721-1,n680
56,0,n753-1,n701
57,0,n755-1,n705
58,0,n757-1,n710
59,0,n759-1,n714
60,0,n873-1,n813
61,0,n1289-1,n1213
62,0,n1322-1,n1233
63,0,n1326-1,n1245
64,0,n278-1,n237
65,0,n266-1,n244
66,0,n312-1,n265
67,0,n305-1,n272
68,0,n415-1,n357
69,0,n403-1,n364
70,0,n449-1,n385
71,0,n442-1,n392
72,0,n594-1,n540
73,0,n598-1,n563
74,0,n54-1,n49
75,0,n58-1,n55
76,0,n84-1,n75
77,0,n112-1,n103
78,0,n116-1,n110
79,0,n178-1,n170
80,0,n182-1,n176
81,0,n210-1,n198
82,0,n235-1,n213
83,0,n250-1,n225
84,0,n252-1,n231
85,0,n282-1,n251
86,0,n284-1,n259
87,0,n316-1,n279
88,0,n387-1,n343
89,0,n389-1,n351
90,0,n419-1,n371
91,0,n421-1,n379
92,0,n453-1,n399
93,0,n518-1,n462
94,0,n586-1,n518
95,0,n590-1,n525
96,0,n619-1,n569
97,0,n647-1,n607
98,0,n727-1,n692
99,0,n731-1,n699
100,0,n762-1,n720
101,0,n795-1,n754
102,0,n799-1,n761
103,0,n879-1,n838
104,0,n883-1,n845
105,0,n912-1,n867
106,0,n933-1,n883
107,0,n948-1,n896
108,0,n978-1,n914
109,0,n1024-1,n943
110,0,n1114-1,n1037
111,0,n1148-1,n1065
112,0,n1199-1,n1097
113,0,n1292-1,n1196
114,0,n1319-1,n1225
115,0,n1353-1,n1254
116,0,n1357-1,n1261
117,0,n1361-1,n1272
118,0,n1365-1,n1292
119,0,n1436-1,n1372
120,0,n168-1,n148
121,0,n174-1,n164
122,0,n348-1,n313
123,0,n483-1,n429
124,0,n869-1,n801
125,0,n871-1,n804
126,0,n875-1,n823
127,0,n44-1,n27
128,0,n50-1,n43
129,0,n76-1,n59
130,0,n202-1,n182
131,0,n206-1,n189
132,0,n213-1,n202
133,0,n215-1,n205
134,0,n239-1,n220
135,0,n253-1,n234
136,0,n262-1,n238
137,0,n281-1,n247
138,0,n285-1,n262
139,0,n301-1,n266
140,0,n315-1,n275
141,0,n355-1,n317
142,0,n390-1,n354
143,0,n399-1,n358
144,0,n418-1,n367
145,0,n422-1,n382
146,0,n438-1,n386
147,0,n452-1,n395
148,0,n490-1,n436
149,0,n516-1,n458
150,0,n522-1,n473
151,0,n649-1,n610
152,0,n717-1,n670
153,0,n723-1,n686
154,0,n754-1,n704
155,0,n904-1,n851
156,0,n908-1,n858
157,0,n915-1,n871
158,0,n917-1,n875
159,0,n937-1,n892
160,0,n1071-1,n1011
161,0,n1246-1,n1172
162,0,n1286-1,n1205
163,0,n1323-1,n1234
164,0,n1327-1,n1243
165,0,n144-1,n137
166,0,n148-1,n142
167,0,n209-1,n196
168,0,n211-1,n199
169,0,n234-1,n208
170,0,n236-1,n215
171,0,n827-1,n791
172,0,n831-1,n797
173,0,n911-1,n865
174,0,n913-1,n868
175,0,n932-1,n879
176,0,n934-1,n886
177,0,n1334-1,n1230
178,0,n20-1,n16
179,0,n24-1,n21
180,0,n86-1,n77
181,0,n104-1,n89
182,0,n117-1,n111
183,0,n241-1,n226
184,0,n245-1,n230
185,0,n270-1,n252
186,0,n274-1,n258
187,0,n309-1,n280
188,0,n349-1,n312
189,0,n384-1,n327
190,0,n374-1,n337
191,0,n376-1,n344
192,0,n380-1,n350
193,0,n407-1,n372
194,0,n411-1,n378
195,0,n446-1,n400
196,0,n484-1,n430
197,0,n525-1,n446
198,0,n515-1,n456
199,0,n519-1,n463
200,0,n552-1,n483
201,0,n562-1,n488
202,0,n585-1,n516
203,0,n587-1,n519
204,0,n589-1,n522
205,0,n591-1,n527
206,0,n625-1,n587
207,0,n648-1,n608
208,0,n651-1,n612
209,0,n693-1,n659
210,0,n697-1,n664
211,0,n764-1,n723
212,0,n787-1,n738
213,0,n800-1,n762
214,0,n939-1,n897
215,0,n976-1,n908
216,0,n964-1,n915
217,0,n1022-1,n936
218,0,n1008-1,n944
219,0,n1146-1,n1058
220,0,n1134-1,n1066
221,0,n1197-1,n1090
222,0,n1182-1,n1098
223,0,n1290-1,n1216
224,0,n1367-1,n1303
225,0,n12-1,n1
226,0,n16-1,n6
227,0,n46-1,n33
228,0,n49-1,n38
229,0,n51-1,n45
230,0,n53-1,n48
231,0,n55-1,n51
232,0,n57-1,n54
233,0,n59-1,n56
234,0,n88-1,n83
235,0,n108-1,n96
236,0,n114-1,n105
237,0,n136-1,n117
238,0,n140-1,n127
239,0,n170-1,n153
240,0,n173-1,n159
241,0,n175-1,n166
242,0,n177-1,n169
243,0,n179-1,n172
244,0,n181-1,n175
245,0,n183-1,n177
246,0,n201-1,n181
247,0,n203-1,n183
248,0,n205-1,n186
249,0,n207-1,n191
250,0,n238-1,n218
251,0,n240-1,n223
252,0,n247-1,n233
253,0,n268-1,n248
254,0,n276-1,n261
255,0,n307-1,n276
256,0,n351-1,n314
257,0,n385-1,n331
258,0,n375-1,n340
259,0,n382-1,n353
260,0,n405-1,n368
261,0,n413-1,n381
262,0,n444-1,n396
263,0,n486-1,n435
264,0,n526-1,n451
265,0,n523-1,n474
266,0,n564-1,n494
267,0,n566-1,n506
268,0,n595-1,n546
269,0,n597-1,n558
270,0,n599-1,n567
271,0,n624-1,n584
272,0,n630-1,n603
273,0,n650-1,n611
274,0,n653-1,n615
275,0,n685-1,n639
276,0,n689-1,n649
277,0,n719-1,n676
278,0,n722-1,n681
279,0,n724-1,n688
280,0,n726-1,n691
281,0,n728-1,n693
282,0,n730-1,n698
283,0,n732-1,n700
284,0,n766-1,n729
