onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
0.0,0.25,0.0,0.25,0,120,58,5,n12-1
0.0,1.0,0.0,1.0,0,480,70,1,n1-1
0.25,0.25,0.25,0.25,120,120,65,5,n13-1
0.5,0.25,0.5,0.25,240,120,62,5,n14-1
0.75,0.25,0.75,0.25,360,120,65,5,n15-1
1.0,0.25,1.0,0.25,480,120,58,5,n16-1
1.0,0.75,1.0,0.75,480,360,74,1,n2-1
1.25,0.25,1.25,0.25,600,120,65,5,n17-1
1.5,0.25,1.5,0.25,720,120,62,5,n18-1
1.75,0.25,1.75,0.25,840,120,65,5,n19-1
1.75,0.0,1.75,0.0,840,0,72,1,n5-1
1.75,0.0,1.75,0.0,840,0,74,1,n6-1
1.75,0.0,1.75,0.0,840,0,74,1,n4-1
1.75,0.25,1.75,0.25,840,120,75,1,n7-1
1.75,0.0,1.75,0.0,840,0,75,1,n3-1
2.0,0.25,2.0,0.25,960,120,57,5,n20-1
2.0,0.75,2.0,0.75,960,360,76,1,n8-1
2.25,0.25,2.25,0.25,1080,120,65,5,n21-1
2.5,0.25,2.5,0.25,1200,120,60,5,n22-1
2.75,0.25,2.75,0.25,1320,120,65,5,n23-1
2.75,0.25,2.75,0.25,1320,120,77,1,n9-1
3.0,0.25,3.0,0.25,1440,120,57,5,n24-1
3.0,0.5,3.0,0.5,1440,240,72,1,n10-1
3.25,0.25,3.25,0.25,1560,120,65,5,n25-1
3.5,0.25,3.5,0.25,1680,120,60,5,n26-1
3.75,0.25,3.75,0.25,1800,120,65,5,n27-1
4.0,0.25,4.0,0.25,1920,120,55,5,n44-1
4.0,0.75,4.0,0.75,1920,360,75,1,n28-1
4.25,0.25,4.25,0.25,2040,120,63,5,n45-1
4.5,0.25,4.5,0.25,2160,120,58,5,n46-1
4.75,0.25,4.75,0.25,2280,120,63,5,n47-1
4.75,0.0,4.75,0.0,2280,0,74,1,n31-1
4.75,0.0,4.75,0.0,2280,0,75,1,n32-1
4.75,0.0,4.75,0.0,2280,0,75,1,n30-1
4.75,0.25,4.75,0.25,2280,120,77,1,n33-1
4.75,0.0,4.75,0.0,2280,0,77,1,n29-1
5.0,0.25,5.0,0.25,2400,120,51,5,n48-1
5.0,0.75,5.0,0.75,2400,360,79,1,n34-1
5.25,0.25,5.25,0.25,2520,120,58,5,n49-1
5.5,0.25,5.5,0.25,2640,120,55,5,n50-1
5.75,0.25,5.75,0.25,2760,120,58,5,n51-1
5.75,0.0,5.75,0.0,2760,0,77,1,n37-1
5.75,0.0,5.75,0.0,2760,0,79,1,n36-1
5.75,0.0,5.75,0.0,2760,0,79,1,n38-1
5.75,0.25,5.75,0.25,2760,120,81,1,n39-1
5.75,0.0,5.75,0.0,2760,0,81,1,n35-1
6.0,0.25,6.0,0.25,2880,120,50,5,n52-1
6.0,0.75,6.0,0.75,2880,360,81,1,n40-1
6.25,0.25,6.25,0.25,3000,120,58,5,n53-1
6.5,0.25,6.5,0.25,3120,120,53,5,n54-1
6.75,0.25,6.75,0.25,3240,120,58,5,n55-1
6.75,0.25,6.75,0.25,3240,120,82,1,n41-1
7.0,0.25,7.0,0.25,3360,120,50,5,n56-1
7.0,0.5,7.0,0.5,3360,240,77,1,n42-1
7.25,0.25,7.25,0.25,3480,120,58,5,n57-1
7.5,0.25,7.5,0.25,3600,120,53,5,n58-1
7.75,0.25,7.75,0.25,3720,120,58,5,n59-1
8.0,0.25,8.0,0.25,3840,120,51,5,n75-1
8.0,0.75,8.0,0.75,3840,360,79,1,n60-1
8.25,0.25,8.25,0.25,3960,120,55,5,n76-1
8.5,0.25,8.5,0.25,4080,120,51,5,n77-1
8.75,0.25,8.75,0.25,4200,120,59,5,n78-1
8.75,0.125,8.75,0.125,4200,60,80,1,n61-1
8.875,0.125,8.875,0.125,4260,60,79,1,n62-1
9.0,0.25,9.0,0.25,4320,120,51,5,n79-1
9.0,0.25,9.0,0.25,4320,120,77,1,n63-1
9.25,0.25,9.25,0.25,4440,120,60,5,n80-1
9.25,0.25,9.25,0.25,4440,120,75,1,n64-1
9.5,0.25,9.5,0.25,4560,120,51,5,n81-1
9.5,0.25,9.5,0.25,4560,120,74,1,n65-1
9.75,0.25,9.75,0.25,4680,120,63,5,n82-1
9.75,0.25,9.75,0.25,4680,120,72,1,n66-1
10.0,0.25,10.0,0.25,4800,120,50,5,n83-1
10.0,0.25,10.0,0.25,4800,120,76,1,n67-1
10.25,0.25,10.25,0.25,4920,120,53,5,n84-1
10.25,0.5,10.25,0.5,4920,240,77,1,n68-1
10.5,0.25,10.5,0.25,5040,120,50,5,n85-1
10.75,0.25,10.75,0.25,5160,120,57,5,n86-1
10.75,0.125,10.75,0.125,5160,60,79,1,n69-1
10.875,0.125,10.875,0.125,5220,60,77,1,n70-1
11.0,0.25,11.0,0.25,5280,120,50,5,n87-1
11.0,0.25,11.0,0.25,5280,120,75,1,n71-1
11.25,0.25,11.25,0.25,5400,120,58,5,n88-1
11.25,0.25,11.25,0.25,5400,120,74,1,n72-1
11.5,0.25,11.5,0.25,5520,120,50,5,n89-1
11.5,0.25,11.5,0.25,5520,120,72,1,n73-1
11.75,0.25,11.75,0.25,5640,120,62,5,n90-1
