onset_beat,duration_beat,onset_quarter,duration_quarter,onset_div,duration_div,pitch,voice,id
-0.5,0.5,-0.5,0.5,0,512,50,4,n2-1
0.0,3.0,0.0,3.0,512,3072,31,5,n12-1
0.0,3.0,0.0,3.0,512,3072,43,5,n13-1
0.0,0.16699219,0.0,0.16699219,512,171,55,4,n4-1
0.16699219,0.16601562,0.16699219,0.16601562,683,170,50,4,n5-1
0.3330078,0.16699219,0.3330078,0.16699219,853,171,57,4,n6-1
0.5,0.5,0.5,0.5,1024,512,58,4,n7-1
1.0,0.16699219,1.0,0.16699219,1536,171,57,4,n8-1
1.1669922,0.16601562,1.1669922,0.16601562,1707,170,50,4,n9-1
1.3330078,0.16699219,1.3330078,0.16699219,1877,171,58,4,n10-1
1.5,0.5,1.5,0.5,2048,512,60,4,n11-1
2.0,0.16699219,2.0,0.16699219,2560,171,58,4,n15-1
2.1669922,0.16601562,2.1669922,0.16601562,2731,170,50,4,n16-1
2.3330078,0.16699219,2.3330078,0.16699219,2901,171,60,4,n17-1
2.5,0.5,2.5,0.5,3072,512,62,4,n18-1
3.0,0.16699219,3.0,0.16699219,3584,171,55,4,n19-1
3.1669922,0.16601562,3.1669922,0.16601562,3755,170,50,4,n20-1
3.3330078,0.16699219,3.3330078,0.16699219,3925,171,57,4,n21-1
3.5,0.5,3.5,0.5,4096,512,34,5,n25-1
3.5,0.5,3.5,0.5,4096,512,46,5,n26-1
3.5,0.5,3.5,0.5,4096,512,58,4,n22-1
4.0,0.5,4.0,0.5,4608,512,36,5,n36-1
4.0,0.5,4.0,0.5,4608,512,48,5,n37-1
4.0,0.16699219,4.0,0.16699219,4608,171,57,4,n28-1
4.166992,0.16601562,4.166992,0.16601562,4779,170,51,4,n29-1
4.333008,0.16699219,4.333008,0.16699219,4949,171,58,4,n30-1
4.5,0.5,4.5,0.5,5120,512,60,4,n31-1
5.0,0.5,5.0,0.5,5632,512,38,5,n38-1
5.0,0.5,5.0,0.5,5632,512,50,5,n39-1
5.0,0.16699219,5.0,0.16699219,5632,171,54,4,n32-1
5.166992,0.16601562,5.166992,0.16601562,5803,170,48,4,n33-1
5.333008,0.16699219,5.333008,0.16699219,5973,171,55,4,n34-1
5.5,0.5,5.5,0.5,6144,512,57,4,n35-1
6.0,1.0,6.0,1.0,6656,1024,31,5,n48-1
6.0,1.0,6.0,1.0,6656,1024,43,5,n49-1
6.0,0.16699219,6.0,0.16699219,6656,171,55,4,n41-1
6.166992,0.16601562,6.166992,0.16601562,6827,170,50,4,n42-1
6.333008,0.16699219,6.333008,0.16699219,6997,171,57,4,n43-1
6.5,0.5,6.5,0.5,7168,512,58,4,n44-1
7.0,0.16699219,7.0,0.16699219,7680,171,57,4,n45-1
7.416992,0.055664062,7.416992,0.055664062,8107,57,54,4,n46-1
7.4726562,0.02734375,7.4726562,0.02734375,8164,28,50,4,n47-1
7.5,0.5,7.5,0.5,8192,512,38,5,n50-1
8.0,3.0,8.0,3.0,8704,3072,31,5,n60-1
8.0,3.0,8.0,3.0,8704,3072,43,5,n61-1
8.0,0.16699219,8.0,0.16699219,8704,171,55,4,n52-1
8.166992,0.11035156,8.166992,0.11035156,8875,113,50,4,n53-1
8.25,0.16699219,8.25,0.16699219,8960,171,57,4,n56-1
8.277344,0.111328125,8.277344,0.111328125,8988,114,57,4,n54-1
8.388672,-0.13867188,8.388672,-0.13867188,9102,-142,58,4,n55-1
8.416992,0.11035156,8.416992,0.11035156,9131,113,50,4,n57-1
8.527344,0.111328125,8.527344,0.111328125,9244,114,58,4,n58-1
8.638672,0.111328125,8.638672,0.111328125,9358,114,60,4,n59-1
10.0,0.16699219,10.0,0.16699219,10752,171,58,4,n63-1
10.166992,0.11035156,10.166992,0.11035156,10923,113,50,4,n64-1
10.277344,0.111328125,10.277344,0.111328125,11036,114,60,4,n65-1
10.388672,0.111328125,10.388672,0.111328125,11150,114,62,4,n66-1
10.5,0.16699219,10.5,0.16699219,11264,171,55,4,n67-1
10.666992,0.11035156,10.666992,0.11035156,11435,113,50,4,n68-1
