onset_sec,duration_sec,pitch,velocity,track,channel,id
2.8002164,0.04059833,50,71,0,0,n0
3.082268,0.08440179,55,73,0,0,n1
3.0918832,1.351497,31,56,0,0,n2
3.1014986,1.34295,43,55,0,0,n3
3.1613278,0.09615394,50,59,0,0,n4
3.1976526,0.099359065,57,59,0,0,n5
3.2884645,0.035256445,58,65,0,0,n6
3.5373964,0.19230787,57,75,0,0,n7
3.6036358,0.1356839,50,60,0,0,n8
3.6730804,0.06196587,58,60,0,0,n9
3.7425249,0.038461573,60,60,0,0,n10
4.0021405,0.15491468,58,73,0,0,n11
4.071585,0.12713687,50,57,0,0,n12
4.128209,0.08119666,60,56,0,0,n13
4.197654,0.03632482,62,63,0,0,n14
4.4487224,0.108974464,55,75,0,0,n15
4.493594,0.11965823,50,60,0,0,n16
4.5544915,0.08547017,57,55,0,0,n17
4.6399617,0.042735085,34,73,0,0,n18
4.643167,0.028846182,58,58,0,0,n19
4.6474404,0.03632482,46,64,0,0,n20
4.855774,0.030982936,48,85,0,0,n21
4.862184,0.039529953,36,75,0,0,n22
4.8856883,0.08547017,57,63,0,0,n23
4.955133,0.0512821,51,51,0,0,n24
4.9850473,0.08333341,58,64,0,0,n25
5.094022,0.035256445,60,40,0,0,n26
5.3023553,0.032051314,38,79,0,0,n27
5.3023553,0.026709426,50,74,0,0,n28
5.320518,0.12713687,54,60,0,0,n29
5.4038515,0.094017185,48,57,0,0,n30
5.462612,0.06623938,55,60,0,0,n31
5.5117574,0.047008593,57,63,0,0,n32
5.7350483,0.45940214,43,74,0,0,n33
5.7403903,0.46474403,31,66,0,0,n34
5.7532105,0.19230787,55,76,0,0,n35
5.8333387,0.12393174,50,53,0,0,n36
5.8974414,0.074786395,57,48,0,0,n37
5.9540653,0.037393197,58,64,0,0,n38
6.1869717,0.03632482,57,75,0,0,n39
6.338681,0.04059833,54,71,0,0,n40
6.371801,0.04380346,50,82,0,0,n41
6.3728695,0.03311969,38,90,0,0,n42
6.6057754,1.3482919,43,84,0,0,n43
6.6057754,0.19978651,55,83,0,0,n44
6.6089807,1.3376081,31,74,0,0,n45
6.6485105,0.1773506,50,68,0,0,n46
6.750006,0.094017185,57,58,0,0,n47
6.824793,0.04059833,58,69,0,0,n48
7.0737247,0.2190173,57,84,0,0,n49
7.1250067,0.16239332,50,67,0,0,n50
7.2265024,0.07585477,58,64,0,0,n51
7.2799215,0.038461573,60,59,0,0,n52
7.52458,0.19551301,58,79,0,0,n53
7.589751,0.13888901,50,55,0,0,n54
7.6645374,0.08119666,60,62,0,0,n55
7.723298,0.03311969,62,66,0,0,n56
7.9765034,0.07371802,55,73,0,0,n57
8.027785,0.10790609,50,59,0,0,n58
8.088683,0.07799153,57,54,0,0,n59
8.161332,0.03632482,34,73,0,0,n60
8.170948,0.032051314,46,59,0,0,n61
8.173084,0.03311969,58,61,0,0,n62
8.397444,0.030982936,48,77,0,0,n63
8.401717,0.03632482,36,67,0,0,n64
8.408128,0.07264964,57,57,0,0,n65
8.473299,0.041666705,51,54,0,0,n66
8.502145,0.08547017,58,62,0,0,n67
8.598299,0.044871837,60,60,0,0,n68
8.829068,0.034188066,50,74,0,0,n69
8.831205,0.039529953,38,72,0,0,n70
8.835479,0.11217959,59,75,0,0,n71
8.927359,0.106837705,53,60,0,0,n72
8.9679575,0.10576933,60,60,0,0,n73
9.039538,0.05876074,62,67,0,0,n74
9.305564,0.11538473,60,78,0,0,n75
9.310906,0.43910298,51,67,0,0,n76
9.311975,0.44871837,39,68,0,0,n77
9.3536415,0.14316253,55,71,0,0,n78
9.411334,0.09615394,62,64,0,0,n79
9.492531,0.035256445,63,73,0,0,n80
9.732915,0.11752148,59,84,0,0,n81
9.80236,0.11538473,53,65,0,0,n82
9.877146,0.057692364,60,62,0,0,n83
9.93377,0.029914558,50,78,0,0,n84
9.940181,0.03311969,62,56,0,0,n85
9.9476595,0.034188066,38,64,0,0,n86
10.176291,0.029914558,51,85,0,0,n87
10.177361,0.037393197,39,88,0,0,n88
10.180565,0.130342,60,79,0,0,n89
10.236121,0.15491468,55,65,0,0,n90
10.303429,0.11324797,62,64,0,0,n91
10.389967,0.07051289,63,82,0,0,n92
10.6143265,0.030982936,48,99,0,0,n93
10.6186,0.037393197,36,86,0,0,n94
10.626079,0.14316253,63,79,0,0,n95
10.689113,0.12393174,55,66,0,0,n96
10.764968,0.08440179,65,64,0,0,n97
10.825865,0.10363258,67,80,0,0,n98
11.0833435,0.4658124,50,98,0,0,n99
11.090822,0.4380346,38,87,0,0,n100
11.092959,0.21153866,66,68,0,0,n101
11.16454,0.056623984,54,62,0,0,n102
11.258557,0.06944451,67,70,0,0,n103
11.313045,0.026709426,69,77,0,0,n104
11.525652,0.028846182,62,91,0,0,n105
11.717959,0.049145345,50,90,0,0,n106
11.723302,0.23717971,62,92,0,0,n107
11.976507,0.11324797,55,86,0,0,n108
11.981849,0.10576933,67,87,0,0,n109
11.985054,0.49145347,43,73,0,0,n110
11.990396,0.5427356,46,76,0,0,n111
12.113259,0.3450858,62,64,0,0,n112
12.151721,0.30662423,69,58,0,0,n113
12.237191,0.22115405,70,79,0,0,n114
12.469028,0.06837613,50,81,0,0,n115
12.469028,0.42521408,57,95,0,0,n116
12.478644,0.4155987,69,80,0,0,n117
12.570525,0.32371825,62,73,0,0,n118
12.642106,0.252137,70,73,0,0,n119
