idx,matchtype,partid,ppartid
0,0,n12-1,n2
1,0,n48-1,n34
2,0,n60-1,n45
3,0,n279-1,n250
4,0,n380-1,n348
5,0,n414-1,n367
6,0,n414-2,n522
7,0,n848-1,n814
8,0,n1107-1,n933
9,0,n1143-1,n965
10,0,n1155-1,n976
11,0,n1374-1,n1182
12,0,n1480-1,n1284
13,0,n1514-1,n1318
14,0,n1687-1,n1489
15,0,n1700-1,n1502
16,0,n1713-1,n1516
17,0,n1736-1,n1537
18,0,n1756-1,n1559
19,0,n1823-1,n1608
20,0,n236-1,n218
21,0,n403-1,n363
22,0,n403-2,n517
23,0,n837-1,n809
24,0,n1331-1,n1150
25,0,n223-1,n206
26,0,n249-1,n231
27,0,n1076-1,n912
28,0,n1318-1,n1138
29,0,n1344-1,n1162
30,0,n25-1,n18
31,0,n73-1,n60
32,0,n210-1,n190
33,0,n292-1,n266
34,0,n391-1,n353
35,0,n492-1,n423
36,0,n589-1,n505
37,0,n492-2,n576
38,0,n825-1,n798
39,0,n1018-1,n869
40,0,n1064-1,n907
41,0,n1120-1,n949
42,0,n1168-1,n991
43,0,n1305-1,n1121
44,0,n1387-1,n1199
45,0,n36-1,n22
46,0,n84-1,n64
47,0,n111-1,n94
48,0,n303-1,n270
49,0,n436-1,n387
50,0,n436-2,n541
51,0,n804-1,n782
52,0,n870-1,n833
53,0,n1131-1,n953
54,0,n1179-1,n995
55,0,n1206-1,n1025
56,0,n1398-1,n1203
57,0,n1526-1,n1327
58,0,n1815-1,n1605
59,0,n1853-1,n1636
60,0,n341-1,n307
61,0,n343-1,n317
62,0,n362-1,n328
63,0,n364-1,n336
64,0,n1436-1,n1239
65,0,n1438-1,n1249
66,0,n1457-1,n1260
67,0,n1459-1,n1269
68,0,n38-1,n27
69,0,n50-1,n42
70,0,n86-1,n70
71,0,n99-1,n86
72,0,n119-1,n100
73,0,n233-1,n210
74,0,n246-1,n222
75,0,n259-1,n233
76,0,n269-1,n247
77,0,n305-1,n276
78,0,n318-1,n292
79,0,n331-1,n302
80,0,n350-1,n321
81,0,n352-1,n325
82,0,n372-1,n341
83,0,n374-1,n347
84,0,n1083-1,n917
85,0,n1092-1,n925
86,0,n1095-1,n930
87,0,n1133-1,n960
88,0,n1145-1,n972
89,0,n1181-1,n1000
90,0,n1194-1,n1017
91,0,n1214-1,n1031
92,0,n1328-1,n1141
93,0,n1341-1,n1153
94,0,n1354-1,n1164
95,0,n1364-1,n1178
96,0,n1400-1,n1209
97,0,n1413-1,n1223
98,0,n1426-1,n1234
99,0,n1445-1,n1253
100,0,n1447-1,n1257
101,0,n1468-1,n1274
102,0,n1470-1,n1279
103,0,n1677-1,n1487
104,0,n1688-1,n1493
105,0,n1690-1,n1499
106,0,n1701-1,n1506
107,0,n1703-1,n1513
108,0,n1726-1,n1534
109,0,n1749-1,n1555
110,0,n97-1,n77
111,0,n109-1,n88
112,0,n197-1,n183
113,0,n220-1,n196
114,0,n316-1,n283
115,0,n329-1,n295
116,0,n628-1,n665
117,0,n673-1,n693
118,0,n1075-1,n908
119,0,n1192-1,n1006
120,0,n1204-1,n1019
121,0,n1292-1,n1114
122,0,n1315-1,n1127
123,0,n1411-1,n1214
124,0,n1424-1,n1227
125,0,n1528-1,n1331
126,0,n1814-1,n1603
127,0,n208-1,n185
128,0,n467-1,n403
129,0,n467-2,n557
